"School name","Cases among staff and students"
"Unassigned",998
"102ND ST EEC",3
"107TH ST EL",73
"109TH ST EL",23
"10TH ST EL",31
"112TH ST EEC",3
"112TH ST EL",27
"116TH ST EL",32
"118TH ST EL",47
"122ND ST EL",51
"135TH ST EL",37
"153RD ST EL",32
"156TH ST EL",9
"15TH ST EL",38
"186TH ST EL",37
"1ST ST EL",20
"20TH ST EL",32
"232ND PL EL",23
"24TH ST EEC",6
"24TH ST EL",55
"28TH ST EEC",6
"28TH ST EL",67
"2ND ST EL",8
"32ND ST USC PA MAG",41
"36TH ST EEC",3
"37TH ST EEC",5
"3RD ST EL",11
"42ND ST EL",14
"49TH ST EL",45
"4TH ST EEC",3
"4TH ST EL",19
"4TH ST PC",11
"52ND ST EL",51
"54TH ST EL",18
"59TH ST EL",20
"61ST ST EL",49
"66TH ST EEC",9
"66TH ST EL",65
"6TH AVE EL",23
"74TH ST EL",25
"75TH ST EEC",4
"75TH ST EL",62
"7TH ST EL AI MAG",20
"92ND ST EL",51
"93RD ST EL",70
"95TH ST EEC",4
"95TH ST EL",49
"96TH ST EL",32
"97TH ST EEC",4
"99TH ST EL",62
"9TH ST EL",16
"ACAD ENRICH SCI MAG",12
"ADAMS MS",49
"ADDAMS HS",6
"AGGELER HS",1
"ALBION ST EEC",3
"ALBION ST EL",6
"ALDAMA EL",23
"ALEXANDER SCS",38
"ALEXANDRIA AVE EEC",4
"ALEXANDRIA AVE EL",36
"ALLESANDRO EL",13
"ALTA CALIFORNIA EL",40
"ALTA LOMA EL",21
"AMANECER PC",9
"AMBLER AVE EL",22
"AMESTOY EL",46
"ANATOLA AVE EL",23
"ANDASOL AVE EL",22
"ANGELES MESA EL",20
"ANGELOU COMMUNITY SH",73
"ANGEL'S GATE HS",1
"ANN ST EL",1
"ANNALEE AVE EL",12
"ANNANDALE EL",5
"ANTON EEC",6
"ANTON EL",21
"APPERSON ST EL",15
"ARAGON AVE EL",7
"ARLETA SH",50
"ARLINGTON HTS EL",27
"ARMINTA ST EEC",9
"ARMINTA ST EL",30
"ARROYO SECO MUS/S MAG",25
"ASCOT AVE EL",71
"ATWATER AVE EL",19
"AUDUBON MS",22
"AURORA EL",34
"AVALON GARDENS EL",10
"BACA ARTS ACAD",40
"BAKEWELL PC",12
"BALA",0
"BALBOA EL G/HG/HA MAG",11
"BALDWIN HILLS EL",28
"BANCROFT MS",14
"BANDINI ST EL",7
"BANNEKER CTC",16
"BANNING SH",147
"BARRETT EL",56
"BARTON HILL EL",34
"BASSETT ST EL",35
"BEACHY AVE EL",18
"BECKFORD CES",13
"BEETHOVEN ST EL",20
"BELL SH",130
"BELLINGHAM EL",30
