"Community of Schools","Staff and Student Case Rate"
"- Community of Schools",0
"Achievement Network Community of Schools","5.7797900009632981"
"Bell/Cudahy/Maywood Community of Schools","9.7713504006253658"
"Boyle Heights Community of Schools","6.2437562437562439"
"Canoga Park/Chatsworth Community of Schools","2.5946899669825703"
"Carson Community of Schools","4.3112368076153684"
"Cleveland Community of Schools","6.9538006866878179"
"Downtown Community of Schools","3.1302578549908051"
"Eagle Rock/Highland Park Community of Schools","12.911111302386834"
"East Los Angeles Community of Schools","7.3055721591286442"
"Fairfax Community of Schools","4.108041491219061"
"Fremont Community of Schools","5.0125313283208026"
"Gardena Community of Schools","3.2332812415799972"
"Glassell Park/Los Feliz Community of Schools","9.4164618586212416"
"H.E.E.T. (C/D) Community of Schools","5.4685648662935895"
"H.E.E.T. (W) Community of Schools",0
"Hamilton Community of Schools","4.5132973021765377"
"Harbor City/Lomita Community of Schools","8.3885580068786165"
"Historic Central Avenue Community of Schools","9.2005630744601579"
"Hollywood Community of Schools","8.51748450291014"
"Huntington Park/Vernon Community of Schools","5.3384582532564595"
"Kennedy/NAHS/VAAS Community of Schools","5.9416529678556573"
"Kreatwn/PcoUnion Community of Schools","8.1353726000650841"
"LA Mid-City Community of Schools","2.5003437972721252"
"Lincoln Heights/El Sereno Community of Schools","5.3798728198065406"
"MacArthur Park Community of Schools","10.387721712935312"
"Manual Arts/Vermont Square Community of Schools","5.7310969319527763"
"Monroe Community of Schools","3.3776366676236633"
"North Hollywood/Valley Village Community of Schools","2.3269162155034668"
"Panorama City Community of Schools","1.3756104271270377"
"Reseda Community of Schools","10.267643233623108"
"Rivera Community of Schools","7.2826846888837107"
"San Fernando Valley/Sylmar Community of Schools","11.784462186606959"
"San Pedro Community of Schools",0
"SO Los Angeles Community of Schools","5.3047583682563255"
"South Gate Community of Schools","8.6674640733614154"
"South Mid-City Community of Schools","2.7736558170496624"
"Sun Valley Community of Schools","20.793300255255684"
"Sunland/Tujunga Community of Schools","2.341536516261971"
"Taft Community of Schools","4.6963790917202832"
"Van Nuys/Valley Glen Community of Schools","3.4140956629604764"
"Venice Community of Schools","2.9178338001867412"
"West LA Community of Schools","4.54149106234559"
"Westchester Community of Schools","4.8823357094033781"
"Wilmington Community of Schools","11.936411480657586"
"District Wide","6.4177614483652627"
