"Community of Schools","Staff and Student Case Rate"
"Achievement Network Community of Schools","26.481432441791775"
"Bell/Cudahy/Maywood Community of Schools","19.382589961309371"
"Boyle Heights Community of Schools","19.651513166513819"
"Canoga Park/Chatsworth Community of Schools","11.797843944019231"
"Carson Community of Schools","30.332616093348626"
"Cleveland Community of Schools","23.067829028940512"
"Downtown Community of Schools","5.9084776807255608"
"Eagle Rock/Highland Park Community of Schools","21.530070331563081"
"East Los Angeles Community of Schools","21.086501515104182"
"Fairfax Community of Schools","14.440954547095563"
"Fremont Community of Schools","30.990214839664379"
"Gardena Community of Schools","28.057049333645079"
"Glassell Park/Los Feliz Community of Schools","26.897571976868086"
"H.E.E.T. (C/D) Community of Schools","18.031826173195689"
"H.E.E.T. (W) Community of Schools","23.048233667183503"
"Hamilton Community of Schools","11.640690680980404"
"Harbor City/Lomita Community of Schools","41.779238503746207"
"Historic Central Avenue Community of Schools","16.0322247717913"
"Hollywood Community of Schools","13.947178232258555"
"Huntington Park/Vernon Community of Schools","23.560379565839074"
"Kennedy/NAHS/VAAS Community of Schools","19.380567254295407"
"Kreatwn/PcoUnion Community of Schools","23.235374342085326"
"LA Mid-City Community of Schools","12.793176972281449"
"Lincoln Heights/El Sereno Community of Schools","18.034890576769673"
"MacArthur Park Community of Schools","13.211203100228994"
"Manual Arts/Vermont Square Community of Schools","28.754606061896954"
"Monroe Community of Schools","34.73026163463765"
"North Hollywood/Valley Village Community of Schools","25.213050274822248"
"Panorama City Community of Schools","21.181952976064395"
"Reseda Community of Schools","31.838223234184603"
"Rivera Community of Schools","26.907887968217036"
"San Fernando Valley/Sylmar Community of Schools","25.910427651608391"
"San Pedro Community of Schools","22.611431963143364"
"South Gate Community of Schools","18.204374443755224"
"South Mid-City Community of Schools","24.357569114602363"
"Sun Valley Community of Schools","22.454510259388307"
"Sunland/Tujunga Community of Schools","22.828733766233768"
"Taft Community of Schools","20.992967355935765"
"Van Nuys/Valley Glen Community of Schools","27.220311301378338"
"Venice Community of Schools","20.94850160023276"
"West LA Community of Schools","10.348217519532261"
"Westchester Community of Schools","23.617088275427733"
"Wilmington Community of Schools","28.531009641103676"
"District Wide","22.197879845446675"
