"School name","Cases among staff and students"
"Unassigned",145
"102ND ST EEC",0
"107TH ST EL",0
"109TH ST EL",1
"10TH ST EL",2
"112TH ST EEC",0
"112TH ST EL",2
"116TH ST EL",0
"118TH ST EL",0
"122ND ST EL",4
"135TH ST EL",3
"153RD ST EL",5
"156TH ST EL",0
"15TH ST EL",1
"186TH ST EL",5
"1ST ST EL",1
"20TH ST EL",7
"232ND PL EL",1
"24TH ST EEC",0
"24TH ST EL",2
"28TH ST EEC",0
"28TH ST EL",0
"2ND ST EL",1
"32ND ST USC PA MAG",5
"36TH ST EEC",1
"37TH ST EEC",0
"3RD ST EL",9
"42ND ST EL",7
"49TH ST EL",1
"4TH ST EEC",0
"4TH ST EL",3
"4TH ST PC",0
"52ND ST EL",4
"54TH ST EL",1
"59TH ST EL",1
"61ST ST EL",0
"66TH ST EEC",0
"66TH ST EL",0
"6TH AVE EL",1
"74TH ST EL",4
"75TH ST EEC",0
"75TH ST EL",8
"7TH ST EL AI MAG",1
"92ND ST EL",3
"93RD ST EL",4
"95TH ST EEC",0
"95TH ST EL",0
"96TH ST EL",1
"97TH ST EEC",0
"99TH ST EL",1
"9TH ST EL",0
"ACAD ENRICH SCI MAG",0
"ADAMS MS",3
"ADDAMS HS",0
"AGGELER HS",0
"ALBION ST EEC",0
"ALBION ST EL",0
"ALDAMA EL",1
"ALEXANDER SCS",2
"ALEXANDRIA AVE EEC",0
"ALEXANDRIA AVE EL",1
"ALLESANDRO EL",1
"ALTA CALIFORNIA EL",1
"ALTA LOMA EL",1
"AMANECER PC",0
"AMBLER AVE EL",1
"AMESTOY EL",1
"ANATOLA AVE EL",2
"ANDASOL AVE EL",7
"ANGELES MESA EL",0
"ANGELOU COMMUNITY SH",1
"ANGEL'S GATE HS",0
"ANN ST EL",0
"ANNALEE AVE EL",2
"ANNANDALE EL",4
"ANTON EEC",1
"ANTON EL",0
"APPERSON ST EL",3
"ARAGON AVE EL",0
"ARLETA SH",6
"ARLINGTON HTS EL",0
"ARMINTA ST EEC",1
