"Community of Schools","Staff and Student Case Rate"
"Achievement Network Community of Schools","20.315293352836015"
"Bell/Cudahy/Maywood Community of Schools","17.526691690887581"
"Boyle Heights Community of Schools","18.903591682419659"
"Canoga Park/Chatsworth Community of Schools","18.217856414142886"
"Carson Community of Schools","30.968177851183832"
"Cleveland Community of Schools","20.94819131411813"
"Downtown Community of Schools","7.5972687818729172"
"Eagle Rock/Highland Park Community of Schools","12.978844483491908"
"East Los Angeles Community of Schools","19.050667154363744"
"Fairfax Community of Schools","12.938893136505323"
"Fremont Community of Schools","23.71644314556541"
"Gardena Community of Schools","19.715631016166817"
"Glassell Park/Los Feliz Community of Schools","14.340001434000143"
"H.E.E.T. (C/D) Community of Schools","45.906656465187453"
"H.E.E.T. (W) Community of Schools","18.676849008051796"
"Hamilton Community of Schools","12.653422750854105"
"Harbor City/Lomita Community of Schools","27.273223149511811"
"Historic Central Avenue Community of Schools","18.917519614480863"
"Hollywood Community of Schools","17.860119543733479"
"Huntington Park/Vernon Community of Schools","6.4502604292648318"
"Kennedy/NAHS/VAAS Community of Schools","17.751741889672925"
"Kreatwn/PcoUnion Community of Schools","25.849298589224819"
"LA Mid-City Community of Schools","27.812156693690813"
"Lincoln Heights/El Sereno Community of Schools","9.2353158478019957"
"MacArthur Park Community of Schools","27.199977094756129"
"Manual Arts/Vermont Square Community of Schools","11.533420707732635"
"Monroe Community of Schools","11.49364313122204"
"North Hollywood/Valley Village Community of Schools","28.318230277185503"
"Panorama City Community of Schools","2.98926852599169"
"Reseda Community of Schools","25.709143885508613"
"Rivera Community of Schools","14.880952380952381"
"San Fernando Valley/Sylmar Community of Schools","12.218806672754635"
"San Pedro Community of Schools","20.35133810048011"
"South Gate Community of Schools","11.894849530153442"
"South Mid-City Community of Schools","18.086998462605131"
"Sun Valley Community of Schools","10.019653936567883"
"Sunland/Tujunga Community of Schools",25.315814789499
"Taft Community of Schools","26.746708668905463"
"Van Nuys/Valley Glen Community of Schools","15.942508860355886"
"Venice Community of Schools","12.450903822427474"
"West LA Community of Schools","29.755491940365889"
"Westchester Community of Schools","31.231293756343856"
"Wilmington Community of Schools","10.576787477083627"
"District Wide","17.969220701093732"
