"Community of Schools","Staff and Student Case Rate"
"Achievement Network Community of Schools","678.72844783921221"
"Bell/Cudahy/Maywood Community of Schools","570.17391001289513"
"Boyle Heights Community of Schools","512.30612363322859"
"Canoga Park/Chatsworth Community of Schools","466.94589087616032"
"Carson Community of Schools","506.55953223686026"
"Cleveland Community of Schools","598.446821737073"
"Downtown Community of Schools","429.56002904560683"
"Eagle Rock/Highland Park Community of Schools","471.74648753973952"
"East Los Angeles Community of Schools","473.97762882697674"
"Fairfax Community of Schools","366.67074078600871"
"Fremont Community of Schools","835.38231335483829"
"Gardena Community of Schools","616.10779604550066"
"Glassell Park/Los Feliz Community of Schools","452.49774752227449"
"H.E.E.T. (C/D) Community of Schools","446.93645376239232"
"H.E.E.T. (W) Community of Schools","671.64634766857307"
"Hamilton Community of Schools","318.6223838305221"
"Harbor City/Lomita Community of Schools","443.74463212138562"
"Historic Central Avenue Community of Schools","731.01567022852828"
"Hollywood Community of Schools","359.58288385472855"
"Huntington Park/Vernon Community of Schools","688.26776705026975"
"Kennedy/NAHS/VAAS Community of Schools","480.55035661894891"
"Kreatwn/PcoUnion Community of Schools","664.4072989066957"
"LA Mid-City Community of Schools","625.37185165597941"
"Lincoln Heights/El Sereno Community of Schools","416.440340394713"
"MacArthur Park Community of Schools","803.300043421624"
"Manual Arts/Vermont Square Community of Schools","719.05235187927224"
"Monroe Community of Schools","694.04631608206944"
"North Hollywood/Valley Village Community of Schools","451.45615129526874"
"Panorama City Community of Schools",720.76532172343
"Reseda Community of Schools","631.87520694602847"
"Rivera Community of Schools","786.92167043411848"
"San Fernando Valley/Sylmar Community of Schools","635.17318887247279"
"San Pedro Community of Schools","513.53584533508661"
"South Gate Community of Schools","598.248349113401"
"South Mid-City Community of Schools","808.486153936944"
"Sun Valley Community of Schools","660.4969670282951"
"Sunland/Tujunga Community of Schools","604.366548311551"
"Taft Community of Schools","329.27421869900417"
"Van Nuys/Valley Glen Community of Schools","570.852316723992"
"Venice Community of Schools","351.41898727437308"
"West LA Community of Schools","285.02940939489162"
"Westchester Community of Schools","377.35849056603774"
"Wilmington Community of Schools","622.56630560883991"
"District Wide","555.432263700353"
