"Community of Schools","Staff and Student Case Rate"
"- Community of Schools",0
"Achievement Network Community of Schools","3.7387370546229484"
"Bell/Cudahy/Maywood Community of Schools","5.7160640453220362"
"Boyle Heights Community of Schools","6.0745037889717386"
"Canoga Park/Chatsworth Community of Schools","6.9357309945207728"
"Carson Community of Schools","14.037985136251033"
"Cleveland Community of Schools","10.039740640033466"
"Downtown Community of Schools","6.1184064610372229"
"Eagle Rock/Highland Park Community of Schools","6.7492892154794948"
"East Los Angeles Community of Schools","8.3343484142299378"
"Fairfax Community of Schools","6.9798282962239133"
"Fremont Community of Schools","9.460737937559129"
"Gardena Community of Schools","7.10883628350039"
"Glassell Park/Los Feliz Community of Schools","12.715366520439952"
"H.E.E.T. (C/D) Community of Schools",0
"H.E.E.T. (W) Community of Schools","5.3725890506635148"
"Hamilton Community of Schools","6.5335990330273432"
"Harbor City/Lomita Community of Schools","4.6792382200177807"
"Historic Central Avenue Community of Schools","2.682427417984782"
"Hollywood Community of Schools","8.17936437250643"
"Huntington Park/Vernon Community of Schools","5.1395384694454433"
"Kennedy/NAHS/VAAS Community of Schools","10.281190561867064"
"Kreatwn/PcoUnion Community of Schools","6.1709348966368411"
"LA Mid-City Community of Schools","8.4189257450749277"
"Lincoln Heights/El Sereno Community of Schools","5.2229139681611167"
"MacArthur Park Community of Schools","3.7610480787312732"
"Manual Arts/Vermont Square Community of Schools",5.4249547920434
"Monroe Community of Schools","2.4371420447621754"
"North Hollywood/Valley Village Community of Schools","15.687915076086387"
"Panorama City Community of Schools","2.6812526812526811"
"Reseda Community of Schools","2.4885113724969723"
"Rivera Community of Schools","5.6171097161955315"
"San Fernando Valley/Sylmar Community of Schools","8.55636936135259"
"San Pedro Community of Schools","5.6666855556185194"
"SO Los Angeles Community of Schools","7.0806485874106064"
"South Gate Community of Schools","6.1479991057455843"
"South Mid-City Community of Schools","1.3036789820874508"
"Sun Valley Community of Schools","4.172229639519359"
"Sunland/Tujunga Community of Schools","6.7887126337942112"
"Taft Community of Schools","7.10699910193375"
"Van Nuys/Valley Glen Community of Schools","6.6022942972683012"
"Venice Community of Schools","8.4325722156115024"
"West LA Community of Schools","11.496489149082933"
"Westchester Community of Schools","4.5229426264727834"
"Wilmington Community of Schools","7.4172971369233052"
"District Wide","6.8780145047946792"
