"School name","Cases among staff and students"
"Unassigned",358
"102ND ST EEC",2
"107TH ST EL",5
"109TH ST EL",2
"10TH ST EL",2
"112TH ST EEC",1
"112TH ST EL",1
"116TH ST EL",1
"118TH ST EL",2
"122ND ST EL",3
"135TH ST EL",4
"153RD ST EL",7
"156TH ST EL",4
"15TH ST EL",8
"186TH ST EL",8
"1ST ST EL",9
"20TH ST EL",7
"232ND PL EL",3
"24TH ST EEC",0
"24TH ST EL",2
"28TH ST EEC",1
"28TH ST EL",4
"2ND ST EL",0
"32ND ST USC PA MAG",6
"36TH ST EEC",2
"37TH ST EEC",1
"3RD ST EL",16
"42ND ST EL",2
"49TH ST EL",6
"4TH ST EEC",2
"4TH ST EL",5
"4TH ST PC",1
"52ND ST EL",10
"54TH ST EL",3
"59TH ST EL",2
"61ST ST EL",5
"66TH ST EEC",1
"66TH ST EL",0
"6TH AVE EL",13
"74TH ST EL",2
"75TH ST EEC",0
"75TH ST EL",13
"7TH ST EL AI MAG",0
"92ND ST EL",1
"93RD ST EL",13
"95TH ST EEC",1
"95TH ST EL",7
"96TH ST EL",2
"97TH ST EEC",0
"99TH ST EL",12
"9TH ST EL",4
"ACAD ENRICH SCI MAG",9
"ADAMS MS",4
"ADDAMS HS",1
"AGGELER HS",0
"ALBION ST EEC",0
"ALBION ST EL",0
"ALDAMA EL",1
"ALEXANDER SCS",3
"ALEXANDRIA AVE EEC",0
"ALEXANDRIA AVE EL",4
"ALLESANDRO EL",2
"ALTA CALIFORNIA EL",3
"ALTA LOMA EL",4
"AMANECER PC",0
"AMBLER AVE EL",2
"AMESTOY EL",9
"ANATOLA AVE EL",1
"ANDASOL AVE EL",4
"ANGELES MESA EL",4
"ANGELOU COMMUNITY SH",8
"ANGEL'S GATE HS",0
"ANN ST EL",1
"ANNALEE AVE EL",2
"ANNANDALE EL",0
"ANTON EEC",1
"ANTON EL",4
"APPERSON ST EL",2
"ARAGON AVE EL",1
"ARLETA SH",17
"ARLINGTON HTS EL",0
"ARMINTA ST EEC",0
"ARMINTA ST EL",5
"ARMSTRONG MS",12
"ARROYO SECO MUS/S MAG",2
"ASCOT AVE EL",4
"ATWATER AVE EL",5
"AUDUBON MS",3
"AURORA EL",1
"AVALON GARDENS EL",1
"BACA ARTS ACAD",9
"BAKEWELL PC",3
"BALA",0
