"Community of Schools","Staff and Student Case Rate"
"- Community of Schools",0
"Achievement Network Community of Schools","8.0268095438765474"
"Bell/Cudahy/Maywood Community of Schools","6.023773827372028"
"Boyle Heights Community of Schools","10.547752922944609"
"Canoga Park/Chatsworth Community of Schools","9.86679822397632"
"Carson Community of Schools","12.520345561537498"
"Cleveland Community of Schools","6.2707719320248314"
"Downtown Community of Schools","5.8126017205301093"
"Eagle Rock/Highland Park Community of Schools","8.95319270851986"
"East Los Angeles Community of Schools","11.698320946875858"
"Fairfax Community of Schools","9.58415419839199"
"Fremont Community of Schools","9.4650775044231032"
"Gardena Community of Schools","11.104325134639941"
"Glassell Park/Los Feliz Community of Schools","8.8407775955049566"
"H.E.E.T. (C/D) Community of Schools","7.5826508947528053"
"H.E.E.T. (W) Community of Schools","33.995618342524743"
"Hamilton Community of Schools","12.089121000012089"
"Harbor City/Lomita Community of Schools","13.965771164491391"
"Historic Central Avenue Community of Schools","16.2381079738662"
"Hollywood Community of Schools","5.7665692757188989"
"Huntington Park/Vernon Community of Schools","17.218304623114793"
"Kennedy/NAHS/VAAS Community of Schools","4.3711706723589021"
"Kreatwn/PcoUnion Community of Schools","6.5329587770301174"
"LA Mid-City Community of Schools","20.797905528572652"
"Lincoln Heights/El Sereno Community of Schools","9.8669604828232647"
"MacArthur Park Community of Schools","14.315647002173376"
"Manual Arts/Vermont Square Community of Schools","12.717543361931503"
"Monroe Community of Schools","16.083702976331562"
"North Hollywood/Valley Village Community of Schools","18.58120390043706"
"Panorama City Community of Schools","7.2767493305390616"
"Reseda Community of Schools","9.0847149670679084"
"Rivera Community of Schools","11.495398008997066"
"San Fernando Valley/Sylmar Community of Schools","9.8462750310773064"
"San Pedro Community of Schools","12.147716229348884"
"SO Los Angeles Community of Schools","8.804754567466432"
"South Gate Community of Schools","6.7100583775078846"
"South Mid-City Community of Schools","14.770176060498642"
"Sun Valley Community of Schools","9.5966456032599066"
"Sunland/Tujunga Community of Schools","4.9525790555431746"
"Taft Community of Schools","6.5772165219679035"
"Van Nuys/Valley Glen Community of Schools","7.0955534531693472"
"Venice Community of Schools","13.601456402100903"
"West LA Community of Schools","3.9591808454830693"
"Westchester Community of Schools","2.6078339331351379"
"Wilmington Community of Schools","10.274207173679764"
"District Wide","10.347391496513668"
