"School name","Cases among staff and students"
"Unassigned",1538
"102ND ST EEC",3
"107TH ST EL",138
"109TH ST EL",30
"10TH ST EL",37
"112TH ST EEC",4
"112TH ST EL",42
"116TH ST EL",36
"118TH ST EL",73
"122ND ST EL",83
"135TH ST EL",63
"153RD ST EL",44
"156TH ST EL",23
"15TH ST EL",67
"186TH ST EL",86
"1ST ST EL",29
"20TH ST EL",50
"232ND PL EL",36
"24TH ST EEC",7
"24TH ST EL",56
"28TH ST EEC",8
"28TH ST EL",101
"2ND ST EL",18
"32ND ST USC PA MAG",75
"36TH ST EEC",6
"37TH ST EEC",6
"3RD ST EL",27
"42ND ST EL",25
"49TH ST EL",87
"4TH ST EEC",4
"4TH ST EL",36
"4TH ST PC",18
"52ND ST EL",93
"54TH ST EL",32
"59TH ST EL",34
"61ST ST EL",81
"66TH ST EEC",11
"66TH ST EL",127
"6TH AVE EL",39
"74TH ST EL",43
"75TH ST EEC",8
"75TH ST EL",108
"7TH ST EL AI MAG",33
"92ND ST EL",63
"93RD ST EL",138
"95TH ST EEC",7
"95TH ST EL",103
"96TH ST EL",64
"97TH ST EEC",4
"99TH ST EL",69
"9TH ST EL",21
"ACAD ENRICH SCI MAG",34
"ADAMS MS",99
"ADDAMS HS",10
"AGGELER HS",5
"ALBION ST EEC",4
"ALBION ST EL",11
"ALDAMA EL",33
"ALEXANDER SCS",68
"ALEXANDRIA AVE EEC",9
"ALEXANDRIA AVE EL",47
"ALLESANDRO EL",27
"ALTA CALIFORNIA EL",88
"ALTA LOMA EL",29
"AMANECER PC",14
"AMBLER AVE EL",44
"AMESTOY EL",70
"ANATOLA AVE EL",36
"ANDASOL AVE EL",30
"ANGELES MESA EL",24
"ANGELOU COMMUNITY SH",116
"ANGEL'S GATE HS",4
"ANN ST EL",4
"ANNALEE AVE EL",13
"ANNANDALE EL",9
"ANTON EEC",8
"ANTON EL",32
"APPERSON ST EL",28
"ARAGON AVE EL",21
"ARLETA SH",100
"ARLINGTON HTS EL",46
"ARMINTA ST EEC",10
"ARMINTA ST EL",34
"ARROYO SECO MUS/S MAG",32
"ASCOT AVE EL",122
"ATWATER AVE EL",25
"AUDUBON MS",40
"AURORA EL",47
"AVALON GARDENS EL",16
"BACA ARTS ACAD",57
"BAKEWELL PC",15
"BALA",6
"BALBOA EL G/HG/HA MAG",29
"BALDWIN HILLS EL",32
"BANCROFT MS",35
"BANDINI ST EL",16
"BANNEKER CTC",24
"BANNING SH",260
"BARRETT EL",68
"BARTON HILL EL",61
"BASSETT ST EL",71
"BEACHY AVE EL",33
"BECKFORD CES",32
"BEETHOVEN ST EL",23
"BELL SH",219
"BELLINGHAM EL",70
"BELMONT SH",76
"BELVEDERE EL",48
"BELVEDERE MS",65
"BERENDO MS",72
"BERNSTEIN SH",95
"BERNSTEIN SH STEM",72
"BERTRAND AVE EL",28
"BETHUNE MS",103
"BLYTHE ST EL",36
"BONITA ST EL",41
"BOYLE HEIGHTS HS",4
"BOYLE HTS STEM MAG",10
"BRADDOCK DR EL",31
"BRADLEY EEC",4
"BRADLEY GLBL AWR MAG",20
"BRAINARD EL",3
"BRAVO SH MEDICAL MAG",156
"BREED ST EL",21
"BRENTWOOD EL SCI MAG",30
"BRIDGE ST EL",16
"BRIDGES SCHOOL",128
"BRIGHT EL",47
"BROAD AVE EL",49
"BROADACRES AV EL",21
"BROADOUS EEC",6
"BROADOUS EL",43
"BROADWAY EL",13
"BROCKTON AVE EL",18
"BROOKLYN AVE EEC",3
"BROOKLYN AVE EL",27
"BRYSON AVE EL",62
"BUCHANAN ST EL",17
"BUDLONG AVE EL",79
"BURBANK BLVD EL",46
"BURBANK MS A/T/C MAG",87
"BURKE HS",11
"BURROUGHS MS",96
"BURTON ST EL",35
"BUSHNELL WAY EL",16
"BYRD MS",98
"CABRILLO AVE EEC",9
"CABRILLO AVE EL",25
"CAHUENGA EL",25
"CALABASH CA",29
"CALAHAN ST EL",44
"CALVERT CES",19
"CAMELLIA AVE EL",34
"CANFIELD AVE EL",10
"CANOGA PARK EEC",10
"CANOGA PARK EL",63
"CANOGA PRK SH",127
"CANTARA ST EL",24
"CANTERBURY AVE EL",63
"CANYON CEL",8
"CAPISTRANO AVE EL",42
"CARDENAS EL",56
"CARLSON HOSPITAL",6
"CARNEGIE MS",55
"CAROLDALE LC",52
"CARPENTER COMM CHTR",29
"CARSON ACAD ED & EMP",33
"CARSON ACAD MED ARTS",26
"CARSON SH",100
"CARSON ST EL",67
"CARSON-GORE ACADEMY",47
"CARTHAY EL ES MAG",19
"CARVER MS",100
"CASTELAR ST EEC",11
"CASTELAR ST EL",49
"CASTLE HTS EL",33
"CASTLEBAY LN CHTR",42
"CASTRO MS",42
"CATSKILL AVE EL",41
"CDS AGGELER",0
"CDS ALONZO",4
"CDS JOHNSON",2
"CDS JOHNSTON",4
"CDS LONDON",4
"CDS TRI-C",20
"CDS WEST HOLLYWOOD",0
"CENTRAL HS",21
"CENTURY PARK EL",21
"CHANDLER EL",19
"CHAPMAN EL",32
"CHARNOCK ROAD EL",15
"CHASE ST EEC",18
"CHASE ST EL",69
"CHATSWORTH CHS",111
"CHATSWORTH UP/CD MAG",26
"CHAVEZ EL",13
"CHAVEZ LA ARTES MAG",30
"CHAVEZ LA ASE",39
"CHAVEZ LA SJ HUM AC",34
"CHAVEZ LA TECH PREP",38
"CHEREMOYA AVE EL",31
"CHEVIOT HILLS HS",4
"CIENEGA EL",48
"CIMARRON AVE EL",26
"CITY OF ANGELS",136
"CITY TERRACE EL",26
"CLEVELAND CHS",201
"CLEVELAND EEC",5
"CLEVELAND INFANT CTR",0
"CLIFFORD ST M/T MAG",6
"CLINTON MS",61
"CLOVER AVE EL",18
"COCHRAN MS",58
"COEUR D ALENE AVE EL",19
"COHASSET ST EL",51
"COLDWATER CYN EL",72
"COLFAX CEL",39
"COLISEUM ST EL",19
"COLLINS EEC",3
"COLUMBUS AVE EL",52
"COLUMBUS MS",63
"COMMONWLTH AVE EL",53
"COMMUNITY EL MAG CS",15
"COMPTON AVE EL",28
"CONTRERAS LC ALC",48
"CONTRERAS LC BUS TR",36
"CONTRERAS LC GLBL ST",44
"CONTRERAS LC SOC JUS",65
"CORONA AVE EL",52
"CORTINES SCH OF VAPA",102
"COUGHLIN EL",56
"COWAN AVE EL",40
"CRENSHAW ARTS TECH",24
"CRENSHAW MAG STEMM",46
"CRESCENT HTS BL EEC",5
"CRESCENT HTS BL EL MG",21
"CRESTWOOD ST STEAM MG",28
"CRUZ EEC",5
"CURTISS MS",27
"DACOTAH EEC",4
"DAHLIA HTS EL",23
"DANA MS",107
"DANUBE AVE EL",21
"DARBY AVE EL",23
"DAYTON EEC",7
"DAYTON HEIGHTS EL",18
"DBM",67
"DE LA TORRE JR EL",64
"DEARBORN EL CA",39
"DEL AMO EL",35
"DEL OLMO EL",57
"DELEVAN DRIVE EL",38
"DENA EL",40
"DENKER AVE EL",60
"DIXIE CYN CC",27
"DODSON MS",96
"DOLORES ST EEC",7
"DOLORES ST EL",38
"DOMINGUEZ EL",49
"DORRIS PLACE EL",26
"DORSEY SH",48
"DREW MS",109
"DREW MS UP PBLC SRVC",37
"DYER ST EL",52
"DYMALLY SH",87
"EAGLE ROCK EL",43
"EAGLE ROCK HS",116
"EAGLE TREE CONTN HS",2
"EARHART HS",9
"EARLY COLLEGE ACAD",20
"EAST VALLEY SH",47
"EAST VALLEY SKLS CTR",0
"EASTMAN AVE EEC",4
"EASTMAN AVE EL",57
"EDISON MS",117
"EINSTEIN HS",5
"EL DORADO AVE EL",40
"EL ORO WAY CES",21
"EL SERENO EEC",4
"EL SERENO EL",17
"EL SERENO MS",93
"ELA OCC CTR",32
"ELEMENTARY CDS",0
"ELIZABETH LC",137
"ELLINGTON HS",5
"ELYSIAN HTS ARTS MAG",27
"EMELITA ST EL",23
"EMERSON CC",34
"ENADIA WAY",15
"ENCINO CEL",24
"ERWIN EL",73
"ESCALANTE EEC",7
"ESCALANTE EL",35
"ESCUTIA PC",23
"ESHELMAN AVE EL",30
"ESPERANZA EL",70
"ESTRELLA EEC",10
"ESTRELLA EL",66
"EUCLID AVE EL",66
"EVANS CAS",30
"EVERGREEN AVE EEC",10
"EVERGREEN AVE EL",59
"EVERGREEN HS",1
"FAIR AVE EEC",3
"FAIR AVE EL",71
"FAIRBURN AVE EL",12
"FAIRFAX SH",110
"FARMDALE EL",36
"FERNANGELES EL",47
"FIGUEROA ST EL",39
"FISHBURN AVE EL",34
"FLEMING MS",76
"FLETCHER DR EL",18
"FLORENCE AVE EL",52
"FLOURNOY EL",77
"FORD BLVD EL",98
"FOSHAY LC",170
"FRANKLIN AVE EL",22
"FRANKLIN HS",129
"FREMONT SH",233
"FRIEDMAN OCC CTR",27
"FRIES AVE EL",29
"FROST MS",82
"FULLBRIGHT AVE EL",54
"FULTON COLLEGE PREP",126
"GAGE MS",120
"GAL KING SCH FOR STEM",25
"GARCETTI LA",107
"GARDEN GROVE EL",38
"GARDENA EEC",12
"GARDENA EL",62
"GARDENA SH",150
"GARDNER ST EL",24
"GARFIELD SH",178
"GARVANZA EL T/L MAG",25
"GARZA PC",22
"GATES ST EEC",10
"GATES ST EL",60
"GAULT ST EL",34
"GERMAIN ACAD AA",35
"GLASSELL PARK EEC",4
"GLASSELL PK STEAM MAG",32
"GLEDHILL ST EEC",5
"GLEDHILL ST EL",32
"GLEN ALTA EL",7
"GLENFELIZ BLVD EEC",2
"GLENFELIZ BLVD EL",10
"GLENWOOD EL",23
"GOMPERS MS",48
"GOMPERS MS UP MED MAG",26
"GRAHAM EEC",2
"GRAHAM EL",72
"GRANADA EL",47
"GRAND VW BL EL",39
"GRANT EEC",2
"GRANT EL",27
"GRANT SH",165
"GRAPE ST EL",62
"GRATTS EEC",8
"GRATTS LA FOR YS",41
"GREY HS",3
"GRIDLEY ST EL",35
"GRIFFIN AVE EL",18
"GRIFFITH JOYNER EL",40
"GRIFFITH MS STEAM MG",101
"GULF AVE EL",72
"HADDON AVE EEC",11
"HADDON AVE EL",66
"HALE CA",87
"HALLDALE EL",47
"HAMASAKI MED/SCI MAG",38
"HAMILTON SH",122
"HAMLIN CA",29
"HANCOCK PARK EL",19
"HARBOR CITY EL",43
"HARBOR OCC CTR",27
"HARDING ST EL",43
"HARMONY EL",58
"HARRISON ST EL",35
"HART ST EL",72
"HARTE PREP MS",49
"HARVARD EL",26
"HASKELL EL STEAM MAG",58
"HAWAIIAN AVE EEC",14
"HAWAIIAN AVE EL",40
"HAWKINS SH C/DAGS",190
"HAYNES CES",31
"HAZELTINE AVE EL",55
"HELIOTROPE AVE EL",40
"HENRY MS",61
"HERRICK AVE EL",48
"HESBY OAKS LEAD CHTR",13
"HIGHLAND PARK HS",5
"HILLCREST DR EL",68
"HILLSIDE EL",11
"HOBART BLVD EEC",8
"HOBART BLVD EL",24
"HOLLENBECK MS",112
"HOLLYWOOD EL",15
"HOLLYWOOD SH",102
"HOLMES AVE EEC",2
"HOLMES AVE EL",32
"HOLMES MS",66
"HOOPER AVE EEC",13
"HOOPER AVE EL",100
"HOOPER AVE PC",26
