"Community of Schools","Staff and Student Case Rate"
"- Community of Schools",0
"Achievement Network Community of Schools","9.9718793003729473"
"Bell/Cudahy/Maywood Community of Schools","7.9457043535838432"
"Boyle Heights Community of Schools","6.4353687868525418"
"Canoga Park/Chatsworth Community of Schools","10.411316406846481"
"Carson Community of Schools","7.1161714997331433"
"Cleveland Community of Schools","16.136985073288805"
"Downtown Community of Schools","4.8623942429252169"
"Eagle Rock/Highland Park Community of Schools","13.443269403118839"
"East Los Angeles Community of Schools","14.27959445951735"
"Fairfax Community of Schools","1.0666552890102505"
"Fremont Community of Schools","2.9065542799011772"
"Gardena Community of Schools","8.9861388807764033"
"Glassell Park/Los Feliz Community of Schools","9.8712785279949458"
"H.E.E.T. (C/D) Community of Schools","3.6785668303628904"
"H.E.E.T. (W) Community of Schools","1.8674136321195145"
"Hamilton Community of Schools","6.1259495221759375"
"Harbor City/Lomita Community of Schools","12.494065318973487"
"Historic Central Avenue Community of Schools","9.37998311603039"
"Hollywood Community of Schools","4.8475447186000284"
"Huntington Park/Vernon Community of Schools","7.8609554205218108"
"Kennedy/NAHS/VAAS Community of Schools","5.7638548661344711"
"Kreatwn/PcoUnion Community of Schools","5.649504726752288"
"LA Mid-City Community of Schools","9.8522167487684733"
"Lincoln Heights/El Sereno Community of Schools","10.419522895530573"
"MacArthur Park Community of Schools","9.2242413061525674"
"Manual Arts/Vermont Square Community of Schools","5.8954732591158754"
"Monroe Community of Schools","14.709699749069827"
"North Hollywood/Valley Village Community of Schools","11.346873936230567"
"Panorama City Community of Schools","17.001742678624559"
"Reseda Community of Schools","14.392760441497927"
"Rivera Community of Schools","8.2269439894695129"
"San Fernando Valley/Sylmar Community of Schools","13.388673182487617"
"San Pedro Community of Schools","10.452324335624136"
"SO Los Angeles Community of Schools","9.9690958030106653"
"South Gate Community of Schools","8.41467519353753"
"South Mid-City Community of Schools","5.9203125925048843"
"Sun Valley Community of Schools","16.99360892533895"
"Sunland/Tujunga Community of Schools","17.346053772766695"
"Taft Community of Schools","7.3740330799123965"
"Van Nuys/Valley Glen Community of Schools","8.3122064752088445"
"Venice Community of Schools","13.431278347746128"
"West LA Community of Schools","4.8093570851448577"
"Westchester Community of Schools","5.3374609698166582"
"Wilmington Community of Schools","10.129317621636222"
"District Wide","9.2963093441579954"
