"Community of Schools","Staff and Student Case Rate"
"Achievement Network Community of Schools","831.744228506512"
"Bell/Cudahy/Maywood Community of Schools","652.30932900326854"
"Boyle Heights Community of Schools","643.62097319498127"
"Canoga Park/Chatsworth Community of Schools","535.29774607743741"
"Carson Community of Schools","581.26681159954308"
"Cleveland Community of Schools","642.83853682134486"
"Downtown Community of Schools","536.73884878771048"
"Eagle Rock/Highland Park Community of Schools","476.56572479267516"
"East Los Angeles Community of Schools","591.11321539763844"
"Fairfax Community of Schools","406.1548074669999"
"Fremont Community of Schools","848.23077909054587"
"Gardena Community of Schools","771.24347299505268"
"Glassell Park/Los Feliz Community of Schools","510.49007046764893"
"H.E.E.T. (C/D) Community of Schools","580.67022429409724"
"H.E.E.T. (W) Community of Schools","772.25584285918046"
"Hamilton Community of Schools","420.77789025624764"
"Harbor City/Lomita Community of Schools","547.190262886396"
"Historic Central Avenue Community of Schools","920.99313924000865"
"Hollywood Community of Schools","496.47894638442847"
"Huntington Park/Vernon Community of Schools","757.17932860790006"
"Kennedy/NAHS/VAAS Community of Schools","528.32425087813124"
"Kreatwn/PcoUnion Community of Schools","764.98005862284367"
"LA Mid-City Community of Schools","719.46265962248128"
"Lincoln Heights/El Sereno Community of Schools","444.54677482200412"
"MacArthur Park Community of Schools","862.127671165711"
"Manual Arts/Vermont Square Community of Schools","721.09036988889113"
"Monroe Community of Schools","716.11297704609922"
"North Hollywood/Valley Village Community of Schools","558.88453560728283"
"Panorama City Community of Schools","704.29723384709609"
"Reseda Community of Schools","691.55655549510834"
"Rivera Community of Schools","865.68385935919309"
"San Fernando Valley/Sylmar Community of Schools","680.18180324034563"
"San Pedro Community of Schools","534.51163453657841"
"South Gate Community of Schools","708.82345468865128"
"South Mid-City Community of Schools","934.952144629564"
"Sun Valley Community of Schools","719.98783547479673"
"Sunland/Tujunga Community of Schools","551.58170461414466"
"Taft Community of Schools","387.45602047047197"
"Van Nuys/Valley Glen Community of Schools","625.66928565412513"
"Venice Community of Schools","432.57676902536713"
"West LA Community of Schools","330.39869452223138"
"Westchester Community of Schools","441.29720853858782"
"Wilmington Community of Schools","682.1894484964223"
"District Wide","627.12654320577064"
