"School name","Cases among staff and students"
"Unassigned",998
"102ND ST EEC",3
"107TH ST EL",70
"109TH ST EL",32
"10TH ST EL",26
"112TH ST EEC",4
"112TH ST EL",21
"116TH ST EL",27
"118TH ST EL",39
"122ND ST EL",34
"135TH ST EL",34
"153RD ST EL",40
"156TH ST EL",13
"15TH ST EL",46
"186TH ST EL",35
"1ST ST EL",30
"20TH ST EL",39
"232ND PL EL",14
"24TH ST EEC",9
"24TH ST EL",59
"28TH ST EEC",5
"28TH ST EL",65
"2ND ST EL",21
"32ND ST USC PA MAG",44
"36TH ST EEC",3
"37TH ST EEC",5
"3RD ST EL",5
"42ND ST EL",19
"49TH ST EL",31
"4TH ST EEC",5
"4TH ST EL",29
"4TH ST PC",17
"52ND ST EL",53
"54TH ST EL",22
"59TH ST EL",21
"61ST ST EL",51
"66TH ST EEC",10
"66TH ST EL",61
"6TH AVE EL",22
"74TH ST EL",15
"75TH ST EEC",5
"75TH ST EL",89
"7TH ST EL AI MAG",18
"92ND ST EL",58
"93RD ST EL",58
"95TH ST EEC",4
"95TH ST EL",64
"96TH ST EL",29
"97TH ST EEC",5
"99TH ST EL",71
"9TH ST EL",20
"ACAD ENRICH SCI MAG",12
"ADAMS MS",55
"ADDAMS HS",7
"AGGELER HS",1
"ALBION ST EEC",7
"ALBION ST EL",13
"ALDAMA EL",15
"ALEXANDER SCS",30
"ALEXANDRIA AVE EEC",4
"ALEXANDRIA AVE EL",40
"ALLESANDRO EL",23
"ALTA CALIFORNIA EL",43
"ALTA LOMA EL",33
"AMANECER PC",7
"AMBLER AVE EL",22
"AMESTOY EL",35
"ANATOLA AVE EL",21
"ANDASOL AVE EL",24
"ANGELES MESA EL",21
"ANGELOU COMMUNITY SH",91
"ANGEL'S GATE HS",1
"ANN ST EL",3
"ANNALEE AVE EL",12
"ANNANDALE EL",5
"ANTON EEC",5
"ANTON EL",19
"APPERSON ST EL",18
"ARAGON AVE EL",16
"ARLETA SH",69
"ARLINGTON HTS EL",25
"ARMINTA ST EEC",11
"ARMINTA ST EL",23
"ARROYO SECO MUS/S MAG",17
"ASCOT AVE EL",61
"ATWATER AVE EL",16
"AUDUBON MS",29
"AURORA EL",38
"AVALON GARDENS EL",11
"BACA ARTS ACAD",55
"BAKEWELL PC",13
"BALA",0
"BALBOA EL G/HG/HA MAG",9
"BALDWIN HILLS EL",27
"BANCROFT MS",16
"BANDINI ST EL",7
"BANNEKER CTC",18
"BANNING SH",138
"BARRETT EL",60
"BARTON HILL EL",23
"BASSETT ST EL",42
"BEACHY AVE EL",19
"BECKFORD CES",17
"BEETHOVEN ST EL",14
"BELL SH",145
"BELLINGHAM EL",32
