"School name","Cases among staff and students"
"Unassigned",31
"102ND ST EEC",0
"107TH ST EL",1
"109TH ST EL",0
"10TH ST EL",1
"112TH ST EEC",0
"112TH ST EL",0
"116TH ST EL",0
"118TH ST EL",0
"122ND ST EL",0
"135TH ST EL",2
"153RD ST EL",0
"156TH ST EL",1
"15TH ST EL",0
"186TH ST EL",0
"1ST ST EL",0
"20TH ST EL",0
"232ND PL EL",0
"24TH ST EEC",0
"24TH ST EL",0
"28TH ST EEC",0
"28TH ST EL",0
"2ND ST EL",0
"32ND ST USC PA MAG",0
"36TH ST EEC",0
"37TH ST EEC",0
"3RD ST EL",1
"42ND ST EL",0
"49TH ST EL",0
"4TH ST EEC",0
"4TH ST EL",0
"4TH ST PC",0
"52ND ST EL",0
"54TH ST EL",0
"59TH ST EL",0
"61ST ST EL",1
"66TH ST EEC",0
"66TH ST EL",1
"6TH AVE EL",0
"74TH ST EL",0
"75TH ST EEC",0
"75TH ST EL",0
"7TH ST EL AI MAG",0
"92ND ST EL",1
"93RD ST EL",1
"95TH ST EEC",0
"95TH ST EL",0
"96TH ST EL",1
"97TH ST EEC",0
"99TH ST EL",0
"9TH ST EL",0
"ACAD ENRICH SCI MAG",0
"ADAMS MS",0
"ADDAMS HS",0
"AGGELER HS",0
"ALBION ST EEC",1
"ALBION ST EL",0
"ALDAMA EL",0
"ALEXANDER SCS",0
"ALEXANDRIA AVE EEC",0
"ALEXANDRIA AVE EL",1
"ALLESANDRO EL",0
"ALTA CALIFORNIA EL",1
"ALTA LOMA EL",1
"AMANECER PC",0
"AMBLER AVE EL",1
"AMESTOY EL",0
"ANATOLA AVE EL",0
"ANDASOL AVE EL",0
"ANGELES MESA EL",0
"ANGELOU COMMUNITY SH",1
"ANGEL'S GATE HS",0
"ANN ST EL",0
"ANNALEE AVE EL",0
"ANNANDALE EL",1
"ANTON EEC",0
"ANTON EL",0
"APPERSON ST EL",0
"ARAGON AVE EL",0
"ARLETA SH",7
"ARLINGTON HTS EL",0
"ARMINTA ST EEC",0
"ARMINTA ST EL",0
"ARMSTRONG MS",0
"ARROYO SECO MUS/S MAG",0
"ASCOT AVE EL",0
"ATWATER AVE EL",3
"AUDUBON MS",0
"AURORA EL",0
"AVALON GARDENS EL",0
