"School name","Cases among staff and students"
"Unassigned",537
"102ND ST EEC",0
"107TH ST EL",31
"109TH ST EL",10
"10TH ST EL",15
"112TH ST EEC",1
"112TH ST EL",16
"116TH ST EL",10
"118TH ST EL",11
"122ND ST EL",27
"135TH ST EL",28
"153RD ST EL",13
"156TH ST EL",6
"15TH ST EL",20
"186TH ST EL",9
"1ST ST EL",19
"20TH ST EL",25
"232ND PL EL",6
"24TH ST EEC",6
"24TH ST EL",28
"28TH ST EEC",0
"28TH ST EL",19
"2ND ST EL",21
"32ND ST USC PA MAG",19
"36TH ST EEC",4
"37TH ST EEC",0
"3RD ST EL",18
"42ND ST EL",5
"49TH ST EL",22
"4TH ST EEC",3
"4TH ST EL",13
"4TH ST PC",5
"52ND ST EL",25
"54TH ST EL",10
"59TH ST EL",7
"61ST ST EL",35
"66TH ST EEC",2
"66TH ST EL",32
"6TH AVE EL",14
"74TH ST EL",14
"75TH ST EEC",3
"75TH ST EL",37
"7TH ST EL AI MAG",7
"92ND ST EL",50
"93RD ST EL",26
"95TH ST EEC",1
"95TH ST EL",24
"96TH ST EL",17
"97TH ST EEC",4
"99TH ST EL",27
"9TH ST EL",6
"ACAD ENRICH SCI MAG",5
"ADAMS MS",24
"ADDAMS HS",1
"AGGELER HS",1
"ALBION ST EEC",5
"ALBION ST EL",4
"ALDAMA EL",6
"ALEXANDER SCS",17
"ALEXANDRIA AVE EEC",1
"ALEXANDRIA AVE EL",25
"ALLESANDRO EL",14
"ALTA CALIFORNIA EL",19
"ALTA LOMA EL",21
"AMANECER PC",1
"AMBLER AVE EL",15
"AMESTOY EL",20
"ANATOLA AVE EL",20
"ANDASOL AVE EL",4
"ANGELES MESA EL",11
"ANGELOU COMMUNITY SH",46
"ANGEL'S GATE HS",6
"ANN ST EL",2
"ANNALEE AVE EL",6
"ANNANDALE EL",4
"ANTON EEC",3
"ANTON EL",19
"APPERSON ST EL",5
"ARAGON AVE EL",10
"ARLETA SH",43
"ARLINGTON HTS EL",12
"ARMINTA ST EEC",4
"ARMINTA ST EL",11
"ARROYO SECO MUS/S MAG",10
"ASCOT AVE EL",21
"ATWATER AVE EL",4
"AUDUBON MS",14
"AURORA EL",17
"AVALON GARDENS EL",6
"BACA ARTS ACAD",28
"BAKEWELL PC",5
"BALA",1
"BALBOA EL G/HG/HA MAG",5
"BALDWIN HILLS EL",12
"BANCROFT MS",18
"BANDINI ST EL",7
"BANNEKER CTC",13
"BANNING SH",67
"BARRETT EL",23
"BARTON HILL EL",4
"BASSETT ST EL",13
"BEACHY AVE EL",7
"BECKFORD CES",8
"BEETHOVEN ST EL",4
"BELL SH",79
"BELLINGHAM EL",15
"BELMONT SH",16
"BELVEDERE EL",33
"BELVEDERE MS",9
"BERENDO MS",11
"BERNSTEIN SH",18
"BERNSTEIN SH STEM",16
