"Community of Schools","Staff and Student Case Rate"
"Achievement Network Community of Schools","4.0072129833700663"
"Bell/Cudahy/Maywood Community of Schools","7.4082055979095385"
"Boyle Heights Community of Schools","11.732682560540642"
"Canoga Park/Chatsworth Community of Schools","11.028778218163017"
"Carson Community of Schools","8.1230369327412539"
"Cleveland Community of Schools","18.093489057962493"
"Downtown Community of Schools","6.5606035755289493"
"Eagle Rock/Highland Park Community of Schools","11.335792328284546"
"East Los Angeles Community of Schools","9.5374344301382923"
"Fairfax Community of Schools","33.11576630951491"
"Fremont Community of Schools","5.8773830951768726"
"Gardena Community of Schools","7.7972709551656925"
"Glassell Park/Los Feliz Community of Schools","6.8282690337999323"
"H.E.E.T. (C/D) Community of Schools","5.6869881710646046"
"H.E.E.T. (W) Community of Schools","9.9385795782066833"
"Hamilton Community of Schools","10.611705890675848"
"Harbor City/Lomita Community of Schools","11.371964317303076"
"Historic Central Avenue Community of Schools",13.430029546065
"Hollywood Community of Schools","4.7017227112013842"
"Huntington Park/Vernon Community of Schools","18.651786685732937"
"Kennedy/NAHS/VAAS Community of Schools",7.0840594494269
"Kreatwn/PcoUnion Community of Schools","12.981955082435416"
"LA Mid-City Community of Schools","13.937282229965158"
"Lincoln Heights/El Sereno Community of Schools","6.4792717298575644"
"MacArthur Park Community of Schools",5.2000052000052
"Manual Arts/Vermont Square Community of Schools","8.7936138821851149"
"Monroe Community of Schools","10.244327203810888"
"North Hollywood/Valley Village Community of Schools","8.07193710346609"
"Panorama City Community of Schools","9.966115208291809"
"Reseda Community of Schools","9.84974659288311"
"Rivera Community of Schools",9.114177863181
"San Fernando Valley/Sylmar Community of Schools","4.9510771687265214"
"San Pedro Community of Schools","11.165411273629875"
"South Gate Community of Schools","10.403853097594263"
"South Mid-City Community of Schools","10.128633647320976"
"Sun Valley Community of Schools","8.9781382334016673"
"Sunland/Tujunga Community of Schools","4.9862877088007975"
"Taft Community of Schools","14.958863126402393"
"Van Nuys/Valley Glen Community of Schools","14.683339108780048"
"Venice Community of Schools","24.426983674632577"
"West LA Community of Schools","31.765885424422009"
"Westchester Community of Schools","7.5201163111322789"
"Wilmington Community of Schools","7.9038887132469169"
"District Wide","10.976206237994106"
