"Community of Schools","Staff and Student Case Rate"
"Achievement Network Community of Schools","8.19252432155658"
"Bell/Cudahy/Maywood Community of Schools","8.461278114519553"
"Boyle Heights Community of Schools","11.812069966827769"
"Canoga Park/Chatsworth Community of Schools","9.761078824465768"
"Carson Community of Schools","9.6226015665595348"
"Cleveland Community of Schools","14.60507867269045"
"Downtown Community of Schools","8.32561479461749"
"Eagle Rock/Highland Park Community of Schools","11.694787314345252"
"East Los Angeles Community of Schools","7.2770788188492519"
"Fairfax Community of Schools","11.205458303244603"
"Fremont Community of Schools","22.066530589728028"
"Gardena Community of Schools","9.4419790388065348"
"Glassell Park/Los Feliz Community of Schools","5.2428487542991364"
"H.E.E.T. (C/D) Community of Schools","25.995509866477608"
"H.E.E.T. (W) Community of Schools","8.47816871555744"
"Hamilton Community of Schools","10.697904547946672"
"Harbor City/Lomita Community of Schools","14.337328668922407"
"Historic Central Avenue Community of Schools","11.162299839668785"
"Hollywood Community of Schools","9.820288716488264"
"Huntington Park/Vernon Community of Schools","10.672008143563136"
"Kennedy/NAHS/VAAS Community of Schools","14.309060647823895"
"Kreatwn/PcoUnion Community of Schools","2.0703933747412009"
"LA Mid-City Community of Schools","5.8692334781077591"
"Lincoln Heights/El Sereno Community of Schools","11.283540323611936"
"MacArthur Park Community of Schools","1.5246226558926665"
"Manual Arts/Vermont Square Community of Schools","8.7001914042108925"
"Monroe Community of Schools","10.817730259895969"
"North Hollywood/Valley Village Community of Schools","16.167048152276575"
"Panorama City Community of Schools","9.23446301597562"
"Reseda Community of Schools","7.8622533218020285"
"Rivera Community of Schools","6.4386317907444663"
"San Fernando Valley/Sylmar Community of Schools","7.8503719113693009"
"San Pedro Community of Schools","7.7856607592965661"
"South Gate Community of Schools","11.124321242586683"
"South Mid-City Community of Schools","4.62620281273131"
"Sun Valley Community of Schools","14.820014820014819"
"Sunland/Tujunga Community of Schools","20.411808231061666"
"Taft Community of Schools","15.965089670586982"
"Van Nuys/Valley Glen Community of Schools","16.298590171950128"
"Venice Community of Schools","10.877447425670777"
"West LA Community of Schools","31.415586319559342"
"Westchester Community of Schools","7.9853070350554978"
"Wilmington Community of Schools","16.939103921402559"
"District Wide","11.447289423159591"
