"Community of Schools","Staff and Student Case Rate"
"- Community of Schools",0
"Achievement Network Community of Schools","28.173246684947973"
"Bell/Cudahy/Maywood Community of Schools","56.606053667627059"
"Boyle Heights Community of Schools","56.290886961813484"
"Canoga Park/Chatsworth Community of Schools","38.55366860277713"
"Carson Community of Schools","41.355124727056179"
"Cleveland Community of Schools","52.807604295018486"
"Downtown Community of Schools","63.07837873181689"
"Eagle Rock/Highland Park Community of Schools","56.498604400145041"
"East Los Angeles Community of Schools","61.143577993460852"
"Fairfax Community of Schools","36.97079307347196"
"Fremont Community of Schools","34.583539591371746"
"Gardena Community of Schools","37.7685908232532"
"Glassell Park/Los Feliz Community of Schools","55.5191495558468"
"H.E.E.T. (C/D) Community of Schools","19.077680847742762"
"H.E.E.T. (W) Community of Schools","19.8563125022564"
"Hamilton Community of Schools","48.041228108485825"
"Harbor City/Lomita Community of Schools","44.463686039572679"
"Historic Central Avenue Community of Schools","48.277650130081447"
"Hollywood Community of Schools","28.221841884854886"
"Huntington Park/Vernon Community of Schools","69.963030062009338"
"Kennedy/NAHS/VAAS Community of Schools","55.261399270035476"
"Kreatwn/PcoUnion Community of Schools","35.24508551338873"
"LA Mid-City Community of Schools","38.596999083321272"
"Lincoln Heights/El Sereno Community of Schools","33.794844174085689"
"MacArthur Park Community of Schools","40.1883830455259"
"Manual Arts/Vermont Square Community of Schools","53.477389940812316"
"Monroe Community of Schools","45.68556907086974"
"North Hollywood/Valley Village Community of Schools","54.035798716649779"
"Panorama City Community of Schools","51.006026764741414"
"Reseda Community of Schools","40.016006402561025"
"Rivera Community of Schools","48.557353976073195"
"San Fernando Valley/Sylmar Community of Schools","50.338065874223481"
"San Pedro Community of Schools","45.423574835339544"
"SO Los Angeles Community of Schools","30.436150029928882"
"South Gate Community of Schools","49.85798876234545"
"South Mid-City Community of Schools","32.705389848246988"
"Sun Valley Community of Schools","41.088926186181588"
"Sunland/Tujunga Community of Schools","104.5074518356961"
"Taft Community of Schools","41.35916557883445"
"Van Nuys/Valley Glen Community of Schools","46.287367405978785"
"Venice Community of Schools","41.29361638230381"
"West LA Community of Schools","18.542555164101611"
"Westchester Community of Schools","58.5480093676815"
"Wilmington Community of Schools","43.4184051678492"
"District Wide","45.738575150339855"
