"School name","Cases among staff and students"
"Unassigned",271
"102ND ST EEC",1
"107TH ST EL",2
"109TH ST EL",3
"10TH ST EL",4
"112TH ST EEC",1
"112TH ST EL",0
"116TH ST EL",1
"118TH ST EL",2
"122ND ST EL",1
"135TH ST EL",1
"153RD ST EL",5
"156TH ST EL",2
"15TH ST EL",0
"186TH ST EL",5
"1ST ST EL",4
"20TH ST EL",0
"232ND PL EL",7
"24TH ST EEC",0
"24TH ST EL",1
"28TH ST EEC",1
"28TH ST EL",5
"2ND ST EL",1
"32ND ST USC PA MAG",16
"36TH ST EEC",1
"37TH ST EEC",0
"3RD ST EL",6
"42ND ST EL",1
"49TH ST EL",0
"4TH ST EEC",0
"4TH ST EL",2
"4TH ST PC",1
"52ND ST EL",5
"54TH ST EL",1
"59TH ST EL",4
"61ST ST EL",8
"66TH ST EEC",0
"66TH ST EL",1
"6TH AVE EL",2
"74TH ST EL",3
"75TH ST EEC",0
"75TH ST EL",2
"7TH ST EL AI MAG",0
"92ND ST EL",4
"93RD ST EL",11
"95TH ST EEC",1
"95TH ST EL",5
"96TH ST EL",3
"97TH ST EEC",0
"99TH ST EL",1
"9TH ST EL",2
"ACAD ENRICH SCI MAG",0
"ADAMS MS",4
"ADDAMS HS",0
"AGGELER HS",0
"ALBION ST EEC",0
"ALBION ST EL",1
"ALDAMA EL",4
"ALEXANDER SCS",4
"ALEXANDRIA AVE EEC",0
"ALEXANDRIA AVE EL",4
"ALLESANDRO EL",0
"ALTA CALIFORNIA EL",4
"ALTA LOMA EL",0
"AMANECER PC",1
"AMBLER AVE EL",2
"AMESTOY EL",9
"ANATOLA AVE EL",3
"ANDASOL AVE EL",0
"ANGELES MESA EL",8
"ANGELOU COMMUNITY SH",1
"ANGEL'S GATE HS",0
"ANN ST EL",1
"ANNALEE AVE EL",1
"ANNANDALE EL",2
"ANTON EEC",0
"ANTON EL",7
"APPERSON ST EL",1
"ARAGON AVE EL",2
"ARLETA SH",4
"ARLINGTON HTS EL",5
"ARMINTA ST EEC",0
"ARMINTA ST EL",5
"ARMSTRONG MS",9
"ARROYO SECO MUS/S MAG",2
"ASCOT AVE EL",5
"ATWATER AVE EL",0
"AUDUBON MS",6
"AURORA EL",1
"AVALON GARDENS EL",6
"BACA ARTS ACAD",0
"BAKEWELL PC",0
"BALA",0
"BALBOA EL G/HG/HA MAG",8
"BALDWIN HILLS EL",12
"BANCROFT MS",4
"BANDINI ST EL",2
"BANNEKER CTC",0
"BANNING SH",12
"BARRETT EL",3
"BARTON HILL EL",5
"BASSETT ST EL",0
"BEACHY AVE EL",3
"BECKFORD CES",6
"BEETHOVEN ST EL",3
"BELL SH",13
"BELLINGHAM EL",3
"BELMONT SH",2
"BELVEDERE EL",2
"BELVEDERE MS",2
"BERENDO MS",3
"BERNSTEIN SH",7
"BERNSTEIN SH STEM",8
"BERTRAND AVE EL",2
"BETHUNE MS",4
"BLYTHE ST EL",2
"BONITA ST EL",5
"BOYLE HEIGHTS HS",0
"BOYLE HTS STEM MAG",0
"BRADDOCK DR EL",10
"BRADLEY EEC",0
"BRADLEY GLBL AWR MAG",3
"BRAINARD EL",5
"BRAVO SH MEDICAL MAG",7
"BREED ST EL",0
"BRENTWOOD EL SCI MAG",1
"BRIDGE ST EL",0
"BRIDGES SCHOOL",6
"BRIGHT EL",2
"BROAD AVE EL",6
"BROADACRES AV EL",0
"BROADOUS EEC",1
"BROADOUS EL",1
"BROADWAY EL",5
"BROCKTON AVE EL",4
"BROOKLYN AVE EEC",1
"BROOKLYN AVE EL",7
"BRYSON AVE EL",2
"BUCHANAN ST EL",1
"BUDLONG AVE EL",2
"BURBANK BLVD EL",3
"BURBANK MS A/T/C MAG",7
"BURKE HS",0
"BURROUGHS MS",12
"BURTON ST EL",0
"BUSHNELL WAY EL",2
"BYRD MS",4
"CABRILLO AVE EEC",1
"CABRILLO AVE EL",3
"CAHUENGA EL",8
"CALABASH CA",22
"CALAHAN ST EL",13
"CALVERT CES",6
"CAMELLIA AVE EL",6
"CANFIELD AVE EL",7
"CANOGA PARK EEC",1
"CANOGA PARK EL",1
"CANOGA PRK SH",10
"CANTARA ST EL",2
"CANTERBURY AVE EL",3
"CANYON CEL",12
"CAPISTRANO AVE EL",1
"CARDENAS EL",2
"CARLSON HOSPITAL",0
"CARNEGIE MS",3
"CAROLDALE LC",0
"CARPENTER COMM CHTR",10
"CARSON ACAD ED & EMP",8
"CARSON ACAD MED ARTS",10
"CARSON SH",5
"CARSON ST EL",2
"CARSON-GORE ACADEMY",5
"CARTHAY EL ES MAG",1
"CARVER MS",2
"CASTELAR ST EEC",0
"CASTELAR ST EL",20
"CASTLE HTS EL",3
"CASTLEBAY LN CHTR",0
"CASTRO MS",3
"CATSKILL AVE EL",4
"CDS AGGELER",0
"CDS ALONZO",1
"CDS JOHNSON",0
"CDS JOHNSTON",0
"CDS LONDON",1
"CDS TRI-C",0
"CDS WEST HOLLYWOOD",0
"CENTRAL HS",2
"CENTURY PARK EL",1
"CHANDLER EL",1
"CHAPMAN EL",3
"CHARNOCK ROAD EL",2
"CHASE ST EEC",0
"CHASE ST EL",2
"CHATSWORTH CHS",17
"CHATSWORTH UP/CD MAG",4
"CHAVEZ EL",3
"CHAVEZ LA ARTES MAG",8
"CHAVEZ LA ASE",2
"CHAVEZ LA SJ HUM AC",2
"CHAVEZ LA TECH PREP",1
"CHEREMOYA AVE EL",2
"CHEVIOT HILLS HS",0
"CIENEGA EL",7
"CIMARRON AVE EL",5
"CITY OF ANGELS",6
"CITY TERRACE EL",1
"CLEVELAND CHS",23
"CLEVELAND EEC",0
"CLEVELAND INFANT CTR",0
"CLIFFORD ST M/T MAG",2
"CLINTON MS",4
"CLOVER AVE EL",3
"COCHRAN MS",3
"COEUR D ALENE AVE EL",13
"COHASSET ST EL",1
"COLDWATER CYN EL",2
"COLFAX CEL",9
"COLISEUM ST EL",1
"COLLINS EEC",1
"COLUMBUS AVE EL",0
"COLUMBUS MS",4
"COMMONWLTH AVE EL",2
"COMMUNITY EL MAG CS",13
"COMPTON AVE EL",2
"CONTRERAS LC ALC",2
"CONTRERAS LC BUS TR",5
"CONTRERAS LC GLBL ST",3
"CONTRERAS LC SOC JUS",6
"CORONA AVE EL",1
"CORTINES SCH OF VAPA",15
"COUGHLIN EL",0
"COWAN AVE EL",6
"CRENSHAW ARTS TECH",3
"CRENSHAW MAG STEMM",4
