"Community of Schools","Staff and Student Case Rate"
"- Community of Schools",0
"Achievement Network Community of Schools","13.553808620222282"
"Bell/Cudahy/Maywood Community of Schools","5.916498484718999"
"Boyle Heights Community of Schools","6.2998574657248385"
"Canoga Park/Chatsworth Community of Schools","0.65581941356628037"
"Carson Community of Schools","7.8579286500078576"
"Cleveland Community of Schools","2.6368758295171881"
"Downtown Community of Schools","3.9443686249142096"
"Eagle Rock/Highland Park Community of Schools","13.86541877897656"
"East Los Angeles Community of Schools","8.6948960959916537"
"Fairfax Community of Schools","4.1437894954936292"
"Fremont Community of Schools","3.60914412756159"
"Gardena Community of Schools","4.3613843033778918"
"Glassell Park/Los Feliz Community of Schools","8.5708571809498419"
"H.E.E.T. (C/D) Community of Schools","1.8388099222183403"
"H.E.E.T. (W) Community of Schools","3.8464497269020694"
"Hamilton Community of Schools","1.1418523128218596"
"Harbor City/Lomita Community of Schools","1.2143585758002622"
"Historic Central Avenue Community of Schools","5.5618899301982818"
"Hollywood Community of Schools","1.9047619047619049"
"Huntington Park/Vernon Community of Schools","1.5431503414220131"
"Kennedy/NAHS/VAAS Community of Schools","4.6713691783061622"
"Kreatwn/PcoUnion Community of Schools","2.73620269789586"
"LA Mid-City Community of Schools","3.7839610504275876"
"Lincoln Heights/El Sereno Community of Schools","5.9308143547273975"
"MacArthur Park Community of Schools","10.45423657937379"
"Manual Arts/Vermont Square Community of Schools","2.8930162587513739"
"Monroe Community of Schools","4.25930658488798"
"North Hollywood/Valley Village Community of Schools","4.6982178093776428"
"Panorama City Community of Schools","4.1484021737627392"
"Reseda Community of Schools","4.3161865628479923"
"Rivera Community of Schools","3.6645070505115656"
"San Fernando Valley/Sylmar Community of Schools","8.3146254261245538"
"San Pedro Community of Schools","4.2489186502035228"
"SO Los Angeles Community of Schools","4.2778003550574288"
"South Gate Community of Schools","6.4194965947488516"
"South Mid-City Community of Schools","5.583083257729081"
"Sun Valley Community of Schools","5.0702225827713843"
"Sunland/Tujunga Community of Schools","7.1345335204166576"
"Taft Community of Schools","5.4359643400739293"
"Van Nuys/Valley Glen Community of Schools","3.4581733928139156"
"Venice Community of Schools","0.98406794005058107"
"West LA Community of Schools","4.6130567959552717"
"Westchester Community of Schools","2.4840400427254887"
"Wilmington Community of Schools",0
"District Wide","4.8236515900983514"
