"School name","Cases among staff and students"
"Unassigned",126
"102ND ST EEC",0
"107TH ST EL",0
"109TH ST EL",0
"10TH ST EL",2
"112TH ST EEC",0
"112TH ST EL",1
"116TH ST EL",0
"118TH ST EL",0
"122ND ST EL",3
"135TH ST EL",0
"153RD ST EL",2
"156TH ST EL",0
"15TH ST EL",0
"186TH ST EL",8
"1ST ST EL",0
"20TH ST EL",4
"232ND PL EL",1
"24TH ST EEC",0
"24TH ST EL",3
"28TH ST EEC",0
"28TH ST EL",0
"2ND ST EL",0
"32ND ST USC PA MAG",2
"36TH ST EEC",0
"37TH ST EEC",0
"3RD ST EL",8
"42ND ST EL",1
"49TH ST EL",1
"4TH ST EEC",3
"4TH ST EL",1
"4TH ST PC",0
"52ND ST EL",2
"54TH ST EL",0
"59TH ST EL",1
"61ST ST EL",0
"66TH ST EEC",0
"66TH ST EL",0
"6TH AVE EL",1
"74TH ST EL",2
"75TH ST EEC",0
"75TH ST EL",2
"7TH ST EL AI MAG",0
"92ND ST EL",0
"93RD ST EL",1
"95TH ST EEC",0
"95TH ST EL",2
"96TH ST EL",0
"97TH ST EEC",1
"99TH ST EL",2
"9TH ST EL",0
"ACAD ENRICH SCI MAG",2
"ADAMS MS",1
"ADDAMS HS",0
"AGGELER HS",0
"ALBION ST EEC",0
"ALBION ST EL",0
"ALDAMA EL",0
"ALEXANDER SCS",1
"ALEXANDRIA AVE EEC",0
"ALEXANDRIA AVE EL",2
"ALLESANDRO EL",0
"ALTA CALIFORNIA EL",1
"ALTA LOMA EL",1
"AMANECER PC",0
"AMBLER AVE EL",0
"AMESTOY EL",1
"ANATOLA AVE EL",1
"ANDASOL AVE EL",5
"ANGELES MESA EL",1
"ANGELOU COMMUNITY SH",1
"ANGEL'S GATE HS",1
"ANN ST EL",1
"ANNALEE AVE EL",2
"ANNANDALE EL",3
"ANTON EEC",0
"ANTON EL",1
"APPERSON ST EL",1
"ARAGON AVE EL",0
"ARLETA SH",7
"ARLINGTON HTS EL",0
"ARMINTA ST EEC",0
"ARMINTA ST EL",2
"ARMSTRONG MS",13
"ARROYO SECO MUS/S MAG",2
"ASCOT AVE EL",1
"ATWATER AVE EL",0
"AUDUBON MS",0
"AURORA EL",0
