"School name","Cases among staff and students"
"Unassigned",2946
"102ND ST EEC",11
"107TH ST EL",111
"109TH ST EL",65
"10TH ST EL",73
"112TH ST EEC",4
"112TH ST EL",45
"116TH ST EL",59
"118TH ST EL",65
"122ND ST EL",92
"135TH ST EL",74
"153RD ST EL",63
"156TH ST EL",40
"15TH ST EL",64
"186TH ST EL",89
"1ST ST EL",45
"20TH ST EL",70
"232ND PL EL",58
"24TH ST EEC",7
"24TH ST EL",74
"28TH ST EEC",11
"28TH ST EL",88
"2ND ST EL",21
"32ND ST USC PA MAG",108
"36TH ST EEC",4
"37TH ST EEC",11
"3RD ST EL",36
"42ND ST EL",25
"49TH ST EL",92
"4TH ST EEC",7
"4TH ST EL",40
"4TH ST PC",19
"52ND ST EL",81
"54TH ST EL",38
"59TH ST EL",32
"61ST ST EL",94
"66TH ST EEC",10
"66TH ST EL",128
"6TH AVE EL",57
"74TH ST EL",44
"75TH ST EEC",16
"75TH ST EL",138
"7TH ST EL AI MAG",40
"92ND ST EL",95
"93RD ST EL",140
"95TH ST EEC",12
"95TH ST EL",89
"96TH ST EL",94
"97TH ST EEC",10
"99TH ST EL",60
"9TH ST EL",41
"ACAD ENRICH SCI MAG",26
"ADAMS MS",106
"ADDAMS HS",9
"AGGELER HS",3
"ALBION ST EEC",7
"ALBION ST EL",22
"ALDAMA EL",46
"ALEXANDER SCS",80
"ALEXANDRIA AVE EEC",6
"ALEXANDRIA AVE EL",65
"ALLESANDRO EL",39
"ALTA CALIFORNIA EL",90
"ALTA LOMA EL",39
"AMANECER PC",13
"AMBLER AVE EL",73
"AMESTOY EL",93
"ANATOLA AVE EL",51
"ANDASOL AVE EL",67
"ANGELES MESA EL",29
"ANGELOU COMMUNITY SH",149
"ANGEL'S GATE HS",5
"ANN ST EL",12
"ANNALEE AVE EL",28
"ANNANDALE EL",20
"ANTON EEC",12
"ANTON EL",50
"APPERSON ST EL",51
"ARAGON AVE EL",27
"ARLETA SH",166
"ARLINGTON HTS EL",44
"ARMINTA ST EEC",5
"ARMINTA ST EL",57
"ARROYO SECO MUS/S MAG",48
"ASCOT AVE EL",120
"ATWATER AVE EL",47
"AUDUBON MS",60
"AURORA EL",69
"AVALON GARDENS EL",22
"BACA ARTS ACAD",75
"BAKEWELL PC",24
"BALA",15
"BALBOA EL G/HG/HA MAG",58
"BALDWIN HILLS EL",42
"BANCROFT MS",47
"BANDINI ST EL",42
"BANNEKER CTC",22
"BANNING SH",334
"BARRETT EL",91
"BARTON HILL EL",82
"BASSETT ST EL",80
"BEACHY AVE EL",71
"BECKFORD CES",54
"BEETHOVEN ST EL",38
"BELL SH",358
"BELLINGHAM EL",65
"BELMONT SH",82
"BELVEDERE EL",56
"BELVEDERE MS",63
"BERENDO MS",71
"BERNSTEIN SH",68
"BERNSTEIN SH STEM",73
"BERTRAND AVE EL",67
"BETHUNE MS",126
"BLYTHE ST EL",37
"BONITA ST EL",47
"BOYLE HEIGHTS HS",3
"BOYLE HTS STEM MAG",19
"BRADDOCK DR EL",48
"BRADLEY EEC",9
"BRADLEY GLBL AWR MAG",19
"BRAINARD EL",22
"BRAVO SH MEDICAL MAG",200
"BREED ST EL",43
"BRENTWOOD EL SCI MAG",34
"BRIDGE ST EL",31
"BRIDGES SCHOOL",146
"BRIGHT EL",57
"BROAD AVE EL",77
"BROADACRES AV EL",38
"BROADOUS EEC",6
"BROADOUS EL",42
"BROADWAY EL",36
"BROCKTON AVE EL",28
"BROOKLYN AVE EEC",9
"BROOKLYN AVE EL",59
"BRYSON AVE EL",87
"BUCHANAN ST EL",31
"BUDLONG AVE EL",84
"BURBANK BLVD EL",34
"BURBANK MS A/T/C MAG",113
"BURKE HS",10
"BURROUGHS MS",169
"BURTON ST EL",43
"BUSHNELL WAY EL",33
"BYRD MS",149
"CABRILLO AVE EEC",16
"CABRILLO AVE EL",42
"CAHUENGA EL",40
"CALABASH CA",20
"CALAHAN ST EL",53
"CALVERT CES",33
"CAMELLIA AVE EL",78
"CANFIELD AVE EL",30
"CANOGA PARK EEC",15
"CANOGA PARK EL",65
"CANOGA PRK SH",185
"CANTARA ST EL",75
"CANTERBURY AVE EL",97
"CANYON CEL",28
"CAPISTRANO AVE EL",45
"CARDENAS EL",67
"CARLSON HOSPITAL",16
"CARNEGIE MS",99
"CAROLDALE LC",99
"CARPENTER COMM CHTR",41
"CARSON ACAD ED & EMP",86
"CARSON ACAD MED ARTS",68
"CARSON SH",219
"CARSON ST EL",90
"CARSON-GORE ACADEMY",52
"CARTHAY EL ES MAG",30
"CARVER MS",86
"CASTELAR ST EEC",5
"CASTELAR ST EL",55
"CASTLE HTS EL",47
"CASTLEBAY LN CHTR",55
"CASTRO MS",28
"CATSKILL AVE EL",71
"CDS AGGELER",1
"CDS ALONZO",6
"CDS JOHNSON",3
"CDS JOHNSTON",7
"CDS LONDON",0
"CDS TRI-C",17
"CDS WEST HOLLYWOOD",0
"CENTRAL HS",19
"CENTURY PARK EL",30
"CHANDLER EL",35
"CHAPMAN EL",56
"CHARNOCK ROAD EL",46
"CHASE ST EEC",12
"CHASE ST EL",64
"CHATSWORTH CHS",204
"CHATSWORTH UP/CD MAG",44
"CHAVEZ EL",29
"CHAVEZ LA ARTES MAG",42
"CHAVEZ LA ASE",52
"CHAVEZ LA SJ HUM AC",57
"CHAVEZ LA TECH PREP",52
"CHEREMOYA AVE EL",29
"CHEVIOT HILLS HS",4
"CIENEGA EL",50
"CIMARRON AVE EL",30
"CITY OF ANGELS",280
"CITY TERRACE EL",42
"CLEVELAND CHS",381
"CLEVELAND EEC",14
"CLEVELAND INFANT CTR",2
"CLIFFORD ST M/T MAG",11
"CLINTON MS",93
"CLOVER AVE EL",45
"COCHRAN MS",51
"COEUR D ALENE AVE EL",30
"COHASSET ST EL",75
"COLDWATER CYN EL",88
"COLFAX CEL",52
"COLISEUM ST EL",25
"COLLINS EEC",8
"COLUMBUS AVE EL",57
"COLUMBUS MS",68
"COMMONWLTH AVE EL",78
"COMMUNITY EL MAG CS",32
"COMPTON AVE EL",35
"CONTRERAS LC ALC",68
"CONTRERAS LC BUS TR",55
"CONTRERAS LC GLBL ST",44
"CONTRERAS LC SOC JUS",64
"CORONA AVE EL",73
"CORTINES SCH OF VAPA",79
"COUGHLIN EL",84
"COWAN AVE EL",39
"CRENSHAW ARTS TECH",20
"CRENSHAW MAG STEMM",59
"CRESCENT HTS BL EEC",5
"CRESCENT HTS BL EL MG",29
"CRESTWOOD ST STEAM MG",46
"CRUZ EEC",7
"CURTISS MS",59
"DACOTAH EEC",6
"DAHLIA HTS EL",25
"DANA MS",161
"DANUBE AVE EL",32
"DARBY AVE EL",46
"DAYTON EEC",8
"DAYTON HEIGHTS EL",58
"DBM",90
"DE LA TORRE JR EL",82
"DEARBORN EL CA",64
"DEL AMO EL",46
"DEL OLMO EL",86
"DELEVAN DRIVE EL",53
"DENA EL",50
"DENKER AVE EL",98
