"Community of Schools","Staff and Student Case Rate"
"Achievement Network Community of Schools","39.943280541630884"
"Bell/Cudahy/Maywood Community of Schools","42.217077488764808"
"Boyle Heights Community of Schools","31.395405000724509"
"Canoga Park/Chatsworth Community of Schools","104.56021971587504"
"Carson Community of Schools","65.2439853201033"
"Cleveland Community of Schools","81.7780362367565"
"Downtown Community of Schools","55.358175658927543"
"Eagle Rock/Highland Park Community of Schools","76.934775413077119"
"East Los Angeles Community of Schools","53.3540282291313"
"Fairfax Community of Schools","72.521810663953417"
"Fremont Community of Schools","49.355069207593317"
"Gardena Community of Schools","88.204097582761122"
"Glassell Park/Los Feliz Community of Schools","81.419644696442063"
"H.E.E.T. (C/D) Community of Schools","70.223386285562455"
"H.E.E.T. (W) Community of Schools","39.4796581061608"
"Hamilton Community of Schools","91.468484949276572"
"Harbor City/Lomita Community of Schools","69.841269841269849"
"Historic Central Avenue Community of Schools","28.891157379764632"
"Hollywood Community of Schools","62.962079656570474"
"Huntington Park/Vernon Community of Schools","48.100048100048106"
"Kennedy/NAHS/VAAS Community of Schools",78.555717427943
"Kreatwn/PcoUnion Community of Schools","67.218104076031139"
"LA Mid-City Community of Schools","73.030108904548371"
"Lincoln Heights/El Sereno Community of Schools","38.48818412747287"
"MacArthur Park Community of Schools","48.200932753185171"
"Manual Arts/Vermont Square Community of Schools","65.445665445665455"
"Monroe Community of Schools","68.582401755709483"
"North Hollywood/Valley Village Community of Schools","78.262413064175192"
"Panorama City Community of Schools","40.326645831232987"
"Reseda Community of Schools","96.61661263962003"
"Rivera Community of Schools","32.0907097395304"
"San Fernando Valley/Sylmar Community of Schools","70.552849654352926"
"San Pedro Community of Schools","112.53402191360179"
"South Gate Community of Schools","28.719302426475533"
"South Mid-City Community of Schools","49.091801669121253"
"Sun Valley Community of Schools","64.54954177331102"
"Sunland/Tujunga Community of Schools","107.18647954732408"
"Taft Community of Schools","114.29146479966646"
"Van Nuys/Valley Glen Community of Schools","55.667087130835419"
"Venice Community of Schools","93.05654974946313"
"West LA Community of Schools","142.81747133732694"
"Westchester Community of Schools","126.33281115771388"
"Wilmington Community of Schools","61.331576675828543"
"District Wide","67.204214137593354"
