"School name","Cases among staff and students"
"Unassigned",258
"102ND ST EEC",1
"107TH ST EL",10
"109TH ST EL",5
"10TH ST EL",3
"112TH ST EEC",0
"112TH ST EL",15
"116TH ST EL",6
"118TH ST EL",5
"122ND ST EL",6
"135TH ST EL",6
"153RD ST EL",9
"156TH ST EL",3
"15TH ST EL",6
"186TH ST EL",6
"1ST ST EL",12
"20TH ST EL",6
"232ND PL EL",5
"24TH ST EEC",1
"24TH ST EL",23
"28TH ST EEC",3
"28TH ST EL",2
"2ND ST EL",6
"32ND ST USC PA MAG",13
"36TH ST EEC",1
"37TH ST EEC",0
"3RD ST EL",5
"42ND ST EL",4
"49TH ST EL",10
"4TH ST EEC",2
"4TH ST EL",2
"4TH ST PC",2
"52ND ST EL",14
"54TH ST EL",2
"59TH ST EL",5
"61ST ST EL",17
"66TH ST EEC",2
"66TH ST EL",10
"6TH AVE EL",5
"74TH ST EL",5
"75TH ST EEC",0
"75TH ST EL",15
"7TH ST EL AI MAG",4
"92ND ST EL",20
"93RD ST EL",9
"95TH ST EEC",5
"95TH ST EL",25
"96TH ST EL",3
"97TH ST EEC",3
"99TH ST EL",14
"9TH ST EL",4
"ACAD ENRICH SCI MAG",4
"ADAMS MS",6
"ADDAMS HS",3
"AGGELER HS",1
"ALBION ST EEC",1
"ALBION ST EL",4
"ALDAMA EL",10
"ALEXANDER SCS",13
"ALEXANDRIA AVE EEC",4
"ALEXANDRIA AVE EL",20
"ALLESANDRO EL",3
"ALTA CALIFORNIA EL",10
"ALTA LOMA EL",9
"AMANECER PC",3
"AMBLER AVE EL",6
"AMESTOY EL",12
"ANATOLA AVE EL",4
"ANDASOL AVE EL",6
"ANGELES MESA EL",3
"ANGELOU COMMUNITY SH",16
"ANGEL'S GATE HS",1
"ANN ST EL",1
"ANNALEE AVE EL",0
"ANNANDALE EL",2
"ANTON EEC",2
"ANTON EL",10
"APPERSON ST EL",10
"ARAGON AVE EL",6
"ARLETA SH",19
"ARLINGTON HTS EL",2
"ARMINTA ST EEC",0
"ARMINTA ST EL",9
"ARROYO SECO MUS/S MAG",5
"ASCOT AVE EL",7
"ATWATER AVE EL",4
"AUDUBON MS",8
"AURORA EL",5
"AVALON GARDENS EL",0
"BACA ARTS ACAD",8
"BAKEWELL PC",6
"BALA",0
"BALBOA EL G/HG/HA MAG",3
"BALDWIN HILLS EL",3
"BANCROFT MS",10
"BANDINI ST EL",4
"BANNEKER CTC",4
"BANNING SH",50
"BARRETT EL",15
"BARTON HILL EL",1
"BASSETT ST EL",8
"BEACHY AVE EL",4
"BECKFORD CES",6
"BEETHOVEN ST EL",7
"BELL SH",30
"BELLINGHAM EL",1
"BELMONT SH",10
"BELVEDERE EL",14
"BELVEDERE MS",14
"BERENDO MS",5
"BERNSTEIN SH",9
"BERNSTEIN SH STEM",7
"BERTRAND AVE EL",12
"BETHUNE MS",14
"BLYTHE ST EL",8
"BONITA ST EL",4
"BOYLE HEIGHTS HS",0
"BOYLE HTS STEM MAG",1
"BRADDOCK DR EL",7
"BRADLEY EEC",1
"BRADLEY GLBL AWR MAG",4
"BRAINARD EL",2
"BRAVO SH MEDICAL MAG",25
"BREED ST EL",9
"BRENTWOOD EL SCI MAG",3
"BRIDGE ST EL",3
"BRIDGES SCHOOL",10
"BRIGHT EL",6
"BROAD AVE EL",7
"BROADACRES AV EL",3
"BROADOUS EEC",0
"BROADOUS EL",4
"BROADWAY EL",0
"BROCKTON AVE EL",2
"BROOKLYN AVE EEC",1
"BROOKLYN AVE EL",2
"BRYSON AVE EL",6
"BUCHANAN ST EL",5
"BUDLONG AVE EL",8
"BURBANK BLVD EL",7
"BURBANK MS A/T/C MAG",6
"BURKE HS",2
"BURROUGHS MS",13
"BURTON ST EL",6
"BUSHNELL WAY EL",5
"BYRD MS",15
"CABRILLO AVE EEC",0
"CABRILLO AVE EL",14
"CAHUENGA EL",4
"CALABASH CA",3
"CALAHAN ST EL",10
"CALVERT CES",4
"CAMELLIA AVE EL",12
"CANFIELD AVE EL",4
"CANOGA PARK EEC",0
"CANOGA PARK EL",4
"CANOGA PRK SH",20
"CANTARA ST EL",4
"CANTERBURY AVE EL",12
"CANYON CEL",5
"CAPISTRANO AVE EL",3
"CARDENAS EL",7
"CARLSON HOSPITAL",2
"CARNEGIE MS",11
"CAROLDALE LC",6
"CARPENTER COMM CHTR",26
"CARSON ACAD ED & EMP",7
"CARSON ACAD MED ARTS",6
"CARSON SH",15
"CARSON ST EL",6
"CARSON-GORE ACADEMY",9
"CARTHAY EL ES MAG",6
"CARVER MS",7
"CASTELAR ST EEC",1
"CASTELAR ST EL",15
"CASTLE HTS EL",0
"CASTLEBAY LN CHTR",5
"CASTRO MS",5
"CATSKILL AVE EL",5
"CDS AGGELER",0
"CDS ALONZO",1
"CDS JOHNSON",1
"CDS JOHNSTON",2
"CDS LONDON",0
"CDS TRI-C",4
"CDS WEST HOLLYWOOD",0
"CENTRAL HS",2
"CENTURY PARK EL",2
"CHANDLER EL",1
"CHAPMAN EL",0
"CHARNOCK ROAD EL",10
"CHASE ST EEC",3
"CHASE ST EL",11
"CHATSWORTH CHS",26
"CHATSWORTH UP/CD MAG",6
"CHAVEZ EL",4
"CHAVEZ LA ARTES MAG",3
"CHAVEZ LA ASE",7
"CHAVEZ LA SJ HUM AC",5
"CHAVEZ LA TECH PREP",7
"CHEREMOYA AVE EL",3
"CHEVIOT HILLS HS",0
"CIENEGA EL",6
"CIMARRON AVE EL",2
"CITY OF ANGELS",13
"CITY TERRACE EL",7
"CLEVELAND CHS",28
"CLEVELAND EEC",0
"CLEVELAND INFANT CTR",0
"CLIFFORD ST M/T MAG",1
"CLINTON MS",6
"CLOVER AVE EL",3
"COCHRAN MS",11
"COEUR D ALENE AVE EL",6
"COHASSET ST EL",12
"COLDWATER CYN EL",10
"COLFAX CEL",1
"COLISEUM ST EL",0
"COLLINS EEC",1
"COLUMBUS AVE EL",7
"COLUMBUS MS",4
"COMMONWLTH AVE EL",9
"COMMUNITY EL MAG CS",3
"COMPTON AVE EL",5
"CONTRERAS LC ALC",8
"CONTRERAS LC BUS TR",3
"CONTRERAS LC GLBL ST",5
"CONTRERAS LC SOC JUS",6
"CORONA AVE EL",12
"CORTINES SCH OF VAPA",12
"COUGHLIN EL",2
"COWAN AVE EL",0
"CRENSHAW ARTS TECH",4
"CRENSHAW MAG STEMM",3
"CRESCENT HTS BL EEC",0
"CRESCENT HTS BL EL MG",3
"CRESTWOOD ST STEAM MG",1
"CRUZ EEC",2
"CURTISS MS",5
"DACOTAH EEC",1
"DAHLIA HTS EL",5
"DANA MS",18
"DANUBE AVE EL",2
"DARBY AVE EL",2
"DAYTON EEC",0
"DAYTON HEIGHTS EL",2
"DBM",10
"DE LA TORRE JR EL",15
"DEARBORN EL CA",5
"DEL AMO EL",5
"DEL OLMO EL",15
"DELEVAN DRIVE EL",6
"DENA EL",11
"DENKER AVE EL",13
"DIXIE CYN CC",7
"DODSON MS",18
"DOLORES ST EEC",4
"DOLORES ST EL",5
"DOMINGUEZ EL",4
"DORRIS PLACE EL",3
"DORSEY SH",7
"DREW MS",4
"DREW MS UP PBLC SRVC",4
"DYER ST EL",8
"DYMALLY SH",7
"EAGLE ROCK EL",3
"EAGLE ROCK HS",25
"EAGLE TREE CONTN HS",0
"EARHART HS",0
"EARLY COLLEGE ACAD",9
"EAST VALLEY SH",5
"EAST VALLEY SKLS CTR",0
"EASTMAN AVE EEC",1
"EASTMAN AVE EL",9
"EDISON MS",10
"EINSTEIN HS",1
"EL DORADO AVE EL",2
"EL ORO WAY CES",9
"EL SERENO EEC",2
"EL SERENO EL",3
"EL SERENO MS",19
"ELA OCC CTR",7
"ELEMENTARY CDS",0
"ELIZABETH LC",13
"ELLINGTON HS",1
"ELYSIAN HTS ARTS MAG",1
"EMELITA ST EL",7
"EMERSON CC",2
"ENADIA WAY",4
"ENCINO CEL",6
"ERWIN EL",5
"ESCALANTE EEC",6
"ESCALANTE EL",7
"ESCUTIA PC",3
"ESHELMAN AVE EL",12
"ESPERANZA EL",5
"ESTRELLA EEC",2
"ESTRELLA EL",7
"EUCLID AVE EL",17
"EVANS CAS",7
"EVERGREEN AVE EEC",5
"EVERGREEN AVE EL",19
"EVERGREEN HS",1
"FAIR AVE EEC",2
"FAIR AVE EL",11
"FAIRBURN AVE EL",2
"FAIRFAX SH",16
"FARMDALE EL",7
"FERNANGELES EL",5
"FIGUEROA ST EL",5
"FISHBURN AVE EL",14
"FLEMING MS",16
"FLETCHER DR EL",2
"FLORENCE AVE EL",6
"FLOURNOY EL",7
"FORD BLVD EL",9
"FOSHAY LC",22
"FRANKLIN AVE EL",2
"FRANKLIN HS",13
"FREMONT SH",27
"FRIEDMAN OCC CTR",5
"FRIES AVE EL",3
"FROST MS",14
"FULLBRIGHT AVE EL",4
"FULTON COLLEGE PREP",25
"GAGE MS",19
"GAL KING SCH FOR STEM",2
"GARCETTI LA",21
"GARDEN GROVE EL",4
"GARDENA EEC",2
"GARDENA EL",6
"GARDENA SH",13
"GARDNER ST EL",4
