"Community of Schools","Staff and Student Case Rate"
"Achievement Network Community of Schools","579.53394123606893"
"Bell/Cudahy/Maywood Community of Schools","419.59406713505075"
"Boyle Heights Community of Schools","406.19741194220393"
"Canoga Park/Chatsworth Community of Schools","369.16548797736914"
"Carson Community of Schools","366.86619038424408"
"Cleveland Community of Schools","436.02089189464994"
"Downtown Community of Schools","335.78467807518427"
"Eagle Rock/Highland Park Community of Schools","391.1852914330421"
"East Los Angeles Community of Schools","385.96541293305182"
"Fairfax Community of Schools","330.98607192838261"
"Fremont Community of Schools","507.49208688264525"
"Gardena Community of Schools","527.15654952076682"
"Glassell Park/Los Feliz Community of Schools","381.67176228443537"
"H.E.E.T. (C/D) Community of Schools","282.06168831168833"
"H.E.E.T. (W) Community of Schools","431.2975546242422"
"Hamilton Community of Schools","284.3290926985747"
"Harbor City/Lomita Community of Schools","369.53664788622433"
"Historic Central Avenue Community of Schools","631.99835130864881"
"Hollywood Community of Schools","271.0917604534626"
"Huntington Park/Vernon Community of Schools","578.67988157248931"
"Kennedy/NAHS/VAAS Community of Schools","344.738056773598"
"Kreatwn/PcoUnion Community of Schools","582.87551922819239"
"LA Mid-City Community of Schools","381.74493098210161"
"Lincoln Heights/El Sereno Community of Schools","318.79674663832918"
"MacArthur Park Community of Schools","452.99806051728581"
"Manual Arts/Vermont Square Community of Schools","622.39612370883219"
"Monroe Community of Schools","415.21168846962348"
"North Hollywood/Valley Village Community of Schools","425.14075606112834"
"Panorama City Community of Schools","378.08282922289436"
"Reseda Community of Schools","487.95280366102446"
"Rivera Community of Schools","666.424984766327"
"San Fernando Valley/Sylmar Community of Schools","525.1265479241091"
"San Pedro Community of Schools","368.48601085035915"
"South Gate Community of Schools","508.91551622642947"
"South Mid-City Community of Schools","609.31529484663849"
"Sun Valley Community of Schools","611.05207226354935"
"Sunland/Tujunga Community of Schools","506.15698421092389"
"Taft Community of Schools","297.36217988236064"
"Van Nuys/Valley Glen Community of Schools","394.24178962970075"
"Venice Community of Schools","273.888257837132"
"West LA Community of Schools","231.4372251682951"
"Westchester Community of Schools","371.89022826365732"
"Wilmington Community of Schools","452.53026439712403"
"District Wide","431.33720941792672"
