"Community of Schools","Staff and Student Case Rate"
"Achievement Network Community of Schools","42.7715996578272"
"Bell/Cudahy/Maywood Community of Schools","23.8206897578478"
"Boyle Heights Community of Schools","25.193617616870394"
"Canoga Park/Chatsworth Community of Schools","15.471892728210419"
"Carson Community of Schools","39.771974015643643"
"Cleveland Community of Schools","23.050769319426035"
"Downtown Community of Schools","7.8557680977257558"
"Eagle Rock/Highland Park Community of Schools","25.581466738976946"
"East Los Angeles Community of Schools","23.391083319038781"
"Fairfax Community of Schools","16.819443276427553"
"Fremont Community of Schools","33.278385301788518"
"Gardena Community of Schools","30.377735456659149"
"Glassell Park/Los Feliz Community of Schools","28.943560057887119"
"H.E.E.T. (C/D) Community of Schools","22.486564277843989"
"H.E.E.T. (W) Community of Schools","25.150905432595575"
"Hamilton Community of Schools","19.359085218693135"
"Harbor City/Lomita Community of Schools","50.042397030817774"
"Historic Central Avenue Community of Schools","24.033165768760888"
"Hollywood Community of Schools","20.19539040214071"
"Huntington Park/Vernon Community of Schools","25.172349392209561"
"Kennedy/NAHS/VAAS Community of Schools","32.039102607088836"
"Kreatwn/PcoUnion Community of Schools","27.241633287257976"
"LA Mid-City Community of Schools","14.192046776986176"
"Lincoln Heights/El Sereno Community of Schools","18.653365205256105"
"MacArthur Park Community of Schools","24.898210258062626"
"Manual Arts/Vermont Square Community of Schools","30.831712010546571"
"Monroe Community of Schools","40.048414082802317"
"North Hollywood/Valley Village Community of Schools","27.706645396918685"
"Panorama City Community of Schools","21.159542953872197"
"Reseda Community of Schools","32.760979746006051"
"Rivera Community of Schools","38.75539807330307"
"San Fernando Valley/Sylmar Community of Schools","28.475646850205155"
"San Pedro Community of Schools","27.2843594761403"
"South Gate Community of Schools","22.21728504776716"
"South Mid-City Community of Schools","27.378924312484791"
"Sun Valley Community of Schools","24.763968425940256"
"Sunland/Tujunga Community of Schools","32.968983794476422"
"Taft Community of Schools","28.475511060487978"
"Van Nuys/Valley Glen Community of Schools","29.685886216471953"
"Venice Community of Schools","23.22691534950701"
"West LA Community of Schools","11.372330087050017"
"Westchester Community of Schools","36.72420124862284"
"Wilmington Community of Schools",41.583499667332
"District Wide","26.789812683669485"
