"School name","Cases among staff and students"
"Unassigned",28
"102ND ST EEC",0
"107TH ST EL",1
"109TH ST EL",3
"10TH ST EL",0
"112TH ST EEC",0
"112TH ST EL",0
"116TH ST EL",0
"118TH ST EL",1
"122ND ST EL",3
"135TH ST EL",0
"153RD ST EL",0
"156TH ST EL",2
"15TH ST EL",2
"186TH ST EL",0
"1ST ST EL",0
"20TH ST EL",2
"232ND PL EL",0
"24TH ST EEC",0
"24TH ST EL",0
"28TH ST EEC",0
"28TH ST EL",0
"2ND ST EL",0
"32ND ST USC PA MAG",0
"36TH ST EEC",0
"37TH ST EEC",0
"3RD ST EL",0
"42ND ST EL",0
"49TH ST EL",2
"4TH ST EEC",0
"4TH ST EL",0
"4TH ST PC",0
"52ND ST EL",1
"54TH ST EL",1
"59TH ST EL",0
"61ST ST EL",0
"66TH ST EEC",0
"66TH ST EL",3
"6TH AVE EL",0
"74TH ST EL",0
"75TH ST EEC",0
"75TH ST EL",4
"7TH ST EL AI MAG",0
"92ND ST EL",1
"93RD ST EL",3
"95TH ST EEC",0
"95TH ST EL",1
"96TH ST EL",0
"97TH ST EEC",0
"99TH ST EL",5
"9TH ST EL",0
"ACAD ENRICH SCI MAG",0
"ADAMS MS",0
"ADDAMS HS",0
"AGGELER HS",0
"ALBION ST EEC",0
"ALBION ST EL",0
"ALDAMA EL",2
"ALEXANDER SCS",2
"ALEXANDRIA AVE EEC",0
"ALEXANDRIA AVE EL",0
"ALLESANDRO EL",0
"ALTA CALIFORNIA EL",0
"ALTA LOMA EL",0
"AMANECER PC",0
"AMBLER AVE EL",0
"AMESTOY EL",1
"ANATOLA AVE EL",3
"ANDASOL AVE EL",0
"ANGELES MESA EL",1
"ANGELOU COMMUNITY SH",3
"ANGEL'S GATE HS",0
"ANN ST EL",2
"ANNALEE AVE EL",0
"ANNANDALE EL",0
"ANTON EEC",0
"ANTON EL",1
"APPERSON ST EL",3
"ARAGON AVE EL",3
"ARLETA SH",2
"ARLINGTON HTS EL",1
"ARMINTA ST EEC",0
"ARMINTA ST EL",0
"ARROYO SECO MUS/S MAG",0
"ASCOT AVE EL",0
"ATWATER AVE EL",0
"AUDUBON MS",5
"AURORA EL",0
"AVALON GARDENS EL",0
"BACA ARTS ACAD",2
"BAKEWELL PC",0
"BALA",0
"BALBOA EL G/HG/HA MAG",3
"BALDWIN HILLS EL",1
"BANCROFT MS",2
"BANDINI ST EL",0
"BANNEKER CTC",1
"BANNING SH",2
"BARRETT EL",1
"BARTON HILL EL",0
"BASSETT ST EL",2
"BEACHY AVE EL",7
"BECKFORD CES",1
"BEETHOVEN ST EL",0
"BELL SH",2
"BELLINGHAM EL",1
"BELMONT SH",0
"BELVEDERE EL",0
"BELVEDERE MS",2
"BERENDO MS",0
"BERNSTEIN SH",0
"BERNSTEIN SH STEM",1
"BERTRAND AVE EL",0
"BETHUNE MS",2
"BLYTHE ST EL",2
"BONITA ST EL",1
"BOYLE HEIGHTS HS",0
"BOYLE HTS STEM MAG",2
"BRADDOCK DR EL",1
"BRADLEY EEC",0
"BRADLEY GLBL AWR MAG",1
"BRAINARD EL",1
"BRAVO SH MEDICAL MAG",2
"BREED ST EL",0
"BRENTWOOD EL SCI MAG",0
"BRIDGE ST EL",0
"BRIDGES SCHOOL",2
"BRIGHT EL",0
"BROAD AVE EL",3
"BROADACRES AV EL",1
"BROADOUS EEC",1
"BROADOUS EL",4
