"Community of Schools","Staff and Student Case Rate"
"Achievement Network Community of Schools","322.46288634704308"
"Bell/Cudahy/Maywood Community of Schools","240.85938629028374"
"Boyle Heights Community of Schools","230.38857791839055"
"Canoga Park/Chatsworth Community of Schools","170.35177993073762"
"Carson Community of Schools","181.89629169218395"
"Cleveland Community of Schools","214.51127334996639"
"Downtown Community of Schools","197.61662374992514"
"Eagle Rock/Highland Park Community of Schools","162.05832278740314"
"East Los Angeles Community of Schools","223.09370637220169"
"Fairfax Community of Schools","157.732162025982"
"Fremont Community of Schools","271.02092012722306"
"Gardena Community of Schools","182.78629897480729"
"Glassell Park/Los Feliz Community of Schools","182.6157724448679"
"H.E.E.T. (C/D) Community of Schools","135.10828531690839"
"H.E.E.T. (W) Community of Schools","210.1731907927975"
"Hamilton Community of Schools","188.87218045112783"
"Harbor City/Lomita Community of Schools","198.03762714915834"
"Historic Central Avenue Community of Schools","244.13347265216839"
"Hollywood Community of Schools","160.90424211122257"
"Huntington Park/Vernon Community of Schools","263.821074184911"
"Kennedy/NAHS/VAAS Community of Schools","173.48167689396112"
"Kreatwn/PcoUnion Community of Schools","245.5697882790204"
"LA Mid-City Community of Schools","229.28011255569163"
"Lincoln Heights/El Sereno Community of Schools","163.74772651296666"
"MacArthur Park Community of Schools","255.26910174678909"
"Manual Arts/Vermont Square Community of Schools","249.18111850169802"
"Monroe Community of Schools","244.69538450896638"
"North Hollywood/Valley Village Community of Schools","201.69027885518312"
"Panorama City Community of Schools","236.70005484513467"
"Reseda Community of Schools","194.93354952131972"
"Rivera Community of Schools","262.48935076098888"
"San Fernando Valley/Sylmar Community of Schools","280.93586760897239"
"San Pedro Community of Schools","165.04112860039854"
"South Gate Community of Schools","208.91582693763175"
"South Mid-City Community of Schools","296.54858552196953"
"Sun Valley Community of Schools","249.03301012027765"
"Sunland/Tujunga Community of Schools","289.286343169069"
"Taft Community of Schools","153.47037589434322"
"Van Nuys/Valley Glen Community of Schools","235.01342081717866"
"Venice Community of Schools","171.78890914042697"
"West LA Community of Schools","119.26476778448155"
"Westchester Community of Schools","145.72042131097251"
"Wilmington Community of Schools","241.181446174245"
"District Wide","212.18885726484496"
