"Community of Schools","Staff and Student Case Rate"
"Achievement Network Community of Schools","12.302897332321763"
"Bell/Cudahy/Maywood Community of Schools","8.6148159170471548"
"Boyle Heights Community of Schools","12.09970154069533"
"Canoga Park/Chatsworth Community of Schools","11.324087844724106"
"Carson Community of Schools","7.81601109873576"
"Cleveland Community of Schools","15.802781289506953"
"Downtown Community of Schools","7.6178867982021785"
"Eagle Rock/Highland Park Community of Schools","15.391719255040787"
"East Los Angeles Community of Schools","10.703993412927131"
"Fairfax Community of Schools","7.6510118463166759"
"Fremont Community of Schools","21.905627312260663"
"Gardena Community of Schools","19.31807205640877"
"Glassell Park/Los Feliz Community of Schools","8.5294211721557041"
"H.E.E.T. (C/D) Community of Schools","8.2354233007576578"
"H.E.E.T. (W) Community of Schools","11.22208506340478"
"Hamilton Community of Schools","6.9240569434443033"
"Harbor City/Lomita Community of Schools","18.825573817971183"
"Historic Central Avenue Community of Schools","13.320491013791832"
"Hollywood Community of Schools","5.9424768243403845"
"Huntington Park/Vernon Community of Schools","18.219461697722569"
"Jefferson/South Central (West) Community of Schools","17.918363933917075"
"Kennedy/NAHS/VAAS Community of Schools","13.878608438193931"
"Kreatwn/PcoUnion Community of Schools","16.948793457765724"
"LA Mid-City Community of Schools","16.567512613901648"
"Lincoln Heights/El Sereno Community of Schools","13.250607969071522"
"MacArthur Park Community of Schools","19.0095998479232"
"Manual Arts/Vermont Square Community of Schools","22.733472765299627"
"Monroe Community of Schools","12.867528791095669"
"North Hollywood/Valley Village Community of Schools","12.182493756471951"
"Panorama City Community of Schools","10.850694444444445"
"Reseda Community of Schools","14.029180695847362"
"Rivera Community of Schools","11.410965938266674"
"San Fernando Valley/Sylmar Community of Schools","7.26302722974936"
"San Pedro Community of Schools","10.036331520102772"
"South Gate Community of Schools","21.192277534066587"
"South Mid-City Community of Schools","31.11123681307803"
"Sun Valley Community of Schools","9.3441933625079816"
"Sunland/Tujunga Community of Schools","10.310872815383821"
"Taft Community of Schools","20.801331285202252"
"Van Nuys/Valley Glen Community of Schools","11.508362743593679"
"Venice Community of Schools","9.9344327438903246"
"West LA Community of Schools","5.4671696462741233"
"Westchester Community of Schools","19.402405898331391"
"Wilmington Community of Schools","7.2861514548015744"
"District Wide","13.312867498109213"
