"Community of Schools","Staff and Student Case Rate"
"Achievement Network Community of Schools","1901.7819046264501"
"Bell/Cudahy/Maywood Community of Schools","1305.66069833709"
"Boyle Heights Community of Schools","1406.8616557547991"
"Canoga Park/Chatsworth Community of Schools","1295.1846067882575"
"Carson Community of Schools","1593.8913188523982"
"Cleveland Community of Schools","1512.3619147816937"
"Downtown Community of Schools","1039.0761356134528"
"Eagle Rock/Highland Park Community of Schools","1151.8415066086907"
"East Los Angeles Community of Schools","1249.268149882904"
"Fairfax Community of Schools","1211.3284804367609"
"Fremont Community of Schools","1475.5055464147338"
"Gardena Community of Schools","1498.5418035526968"
"Glassell Park/Los Feliz Community of Schools","1252.9025744573448"
"H.E.E.T. (C/D) Community of Schools","1061.3926312028416"
"H.E.E.T. (W) Community of Schools","1369.4680697707943"
"Hamilton Community of Schools","1172.0535019575393"
"Harbor City/Lomita Community of Schools","1566.468531003577"
"Historic Central Avenue Community of Schools","1668.6284013016686"
"Hollywood Community of Schools","1112.0875782529918"
"Huntington Park/Vernon Community of Schools","1542.2214058094867"
"Kennedy/NAHS/VAAS Community of Schools","1243.156434776261"
"Kreatwn/PcoUnion Community of Schools","1501.2965743141806"
"LA Mid-City Community of Schools","1347.6068826622334"
"Lincoln Heights/El Sereno Community of Schools","987.56512848142734"
"MacArthur Park Community of Schools","1671.2009327633114"
"Manual Arts/Vermont Square Community of Schools","1370.1723235454106"
"Monroe Community of Schools","1540.8482553706185"
"North Hollywood/Valley Village Community of Schools","1223.0919765166341"
"Panorama City Community of Schools","1450.3636952616544"
"Reseda Community of Schools","1264.9731997203451"
"Rivera Community of Schools","1641.8130584299145"
"San Fernando Valley/Sylmar Community of Schools","1459.0776794869346"
"San Pedro Community of Schools","1330.7710352045326"
"South Gate Community of Schools","1270.2420674284683"
"South Mid-City Community of Schools","1574.7092156277961"
"Sun Valley Community of Schools","1654.6834202405839"
"Sunland/Tujunga Community of Schools","1472.7800934697486"
"Taft Community of Schools","941.10237143150084"
"Van Nuys/Valley Glen Community of Schools","1334.3298273756357"
"Venice Community of Schools","931.55872846586647"
"West LA Community of Schools","950.8233358052031"
"Westchester Community of Schools","1142.9603446941355"
"Wilmington Community of Schools","1669.3366766501822"
"District Wide","1345.465076751319"
