"Community of Schools","Staff and Student Case Rate"
"Achievement Network Community of Schools","8.1458099989817736"
"Bell/Cudahy/Maywood Community of Schools","10.955902492467816"
"Boyle Heights Community of Schools","8.0065653836145643"
"Canoga Park/Chatsworth Community of Schools","18.807881254560915"
"Carson Community of Schools","17.514157277132348"
"Cleveland Community of Schools","16.76032731933353"
"Downtown Community of Schools","5.4063405562043156"
"Eagle Rock/Highland Park Community of Schools","6.5535809858770326"
"East Los Angeles Community of Schools","20.512483897700143"
"Fairfax Community of Schools","12.724427082670603"
"Fremont Community of Schools","8.82477998218999"
"Gardena Community of Schools","8.4019492522265171"
"Glassell Park/Los Feliz Community of Schools","10.664960273022983"
"H.E.E.T. (C/D) Community of Schools","14.417878168929473"
"H.E.E.T. (W) Community of Schools","10.958663919694912"
"Hamilton Community of Schools","5.5104008816641405"
"Harbor City/Lomita Community of Schools","5.7766737912310093"
"Historic Central Avenue Community of Schools","21.393425087356487"
"Hollywood Community of Schools","14.773230905599053"
"Huntington Park/Vernon Community of Schools","14.069702963741548"
"Jefferson/South Central (West) Community of Schools","7.112038310179698"
"Kennedy/NAHS/VAAS Community of Schools","9.9530674588287535"
"Kreatwn/PcoUnion Community of Schools","20.994509935651827"
"LA Mid-City Community of Schools","9.02445627650934"
"Lincoln Heights/El Sereno Community of Schools","10.095911155981828"
"MacArthur Park Community of Schools","7.8787305789291233"
"Manual Arts/Vermont Square Community of Schools","17.878093748254091"
"Monroe Community of Schools","13.695003149850724"
"North Hollywood/Valley Village Community of Schools","11.211245741882626"
"Panorama City Community of Schools","12.356548198260816"
"Reseda Community of Schools","9.0061241644318137"
"Rivera Community of Schools","12.163575766913452"
"San Fernando Valley/Sylmar Community of Schools","12.493260214884076"
"San Pedro Community of Schools","21.043771043771045"
"South Gate Community of Schools","16.262691970472609"
"South Mid-City Community of Schools","18.328725695346034"
"Sun Valley Community of Schools","12.461641509727869"
"Sunland/Tujunga Community of Schools","17.972681524083391"
"Taft Community of Schools","21.502636063902649"
"Van Nuys/Valley Glen Community of Schools","17.857940086611009"
"Venice Community of Schools","16.062470655101688"
"West LA Community of Schools","8.6698311550382563"
"Westchester Community of Schools","19.290123456790123"
"Wilmington Community of Schools","18.246399377189569"
"District Wide","13.419219521955824"
