"Community of Schools","Staff and Student Case Rate"
"Achievement Network Community of Schools","69.88120195667365"
"Bell/Cudahy/Maywood Community of Schools","77.602755578548951"
"Boyle Heights Community of Schools","65.165447831438712"
"Canoga Park/Chatsworth Community of Schools","129.69897286781165"
"Carson Community of Schools","118.6099994567481"
"Cleveland Community of Schools","104.32826207259431"
"Downtown Community of Schools","94.012089624858774"
"Eagle Rock/Highland Park Community of Schools","104.6212175405966"
"East Los Angeles Community of Schools","117.65764394028528"
"Fairfax Community of Schools","107.11039944605531"
"Fremont Community of Schools","73.471067093778473"
"Gardena Community of Schools","124.86343062275635"
"Glassell Park/Los Feliz Community of Schools","100.97643229677269"
"H.E.E.T. (C/D) Community of Schools","100.5234807677718"
"H.E.E.T. (W) Community of Schools","41.419301394449811"
"Hamilton Community of Schools","100.90457988081388"
"Harbor City/Lomita Community of Schools","124.33392539964476"
"Historic Central Avenue Community of Schools","56.708413029478763"
"Hollywood Community of Schools","84.863741251406438"
"Huntington Park/Vernon Community of Schools","74.85206867480322"
"Kennedy/NAHS/VAAS Community of Schools","161.98896762361468"
"Kreatwn/PcoUnion Community of Schools","88.586348377471083"
"LA Mid-City Community of Schools","89.661974356675344"
"Lincoln Heights/El Sereno Community of Schools","53.929121725731896"
"MacArthur Park Community of Schools","74.167566653221087"
"Manual Arts/Vermont Square Community of Schools","87.798025519959424"
"Monroe Community of Schools","110.56921718708483"
"North Hollywood/Valley Village Community of Schools","134.3383234255468"
"Panorama City Community of Schools","61.905241790357181"
"Reseda Community of Schools","113.78721790252227"
"Rivera Community of Schools","68.648314683874517"
"San Fernando Valley/Sylmar Community of Schools","102.01431910079016"
"San Pedro Community of Schools","143.82469077691482"
"SO Los Angeles Community of Schools","75.119210921680065"
"South Gate Community of Schools","83.706550495823848"
"South Mid-City Community of Schools","114.05471738973507"
"Sun Valley Community of Schools","93.674357955950569"
"Sunland/Tujunga Community of Schools","116.99400094590895"
"Taft Community of Schools","178.40956505474583"
"Van Nuys/Valley Glen Community of Schools","76.292988733477245"
"Venice Community of Schools","119.60132890365448"
"West LA Community of Schools","135.79011011884114"
"Westchester Community of Schools","217.06208985360928"
"Wilmington Community of Schools","78.368125752447582"
"District Wide","100.17650246268997"
