date,location,region,population,cases,casechange,caserate,deaths,deathrate
2022-05-06,Los Angeles - Wilshire Center,MLA,50170,13179,11,26269,148,295
2022-05-06,Los Angeles - Winnetka,SFV,51785,15476,18,29885,121,234
2022-05-06,Los Angeles - Woodland Hills,SFV,68056,14929,35,21937,115,169
2022-05-06,Unincorporated - Acton,AV,7971,1530,3,19195,17,213
2022-05-06,Unincorporated - Agua Dulce,AV,4158,787,0,18927,6,144
2022-05-06,Unincorporated - Altadena,SGV,43620,8533,14,19562,99,227
2022-05-06,Unincorporated - Anaverde,AV,1508,325,0,21552,1,66
2022-05-06,Unincorporated - Angeles National Forest,AV,1245,74,0,5944,1,80
2022-05-06,Unincorporated - Arcadia,SGV,7981,1470,2,18419,19,238
2022-05-06,Unincorporated - Athens Village,S,4897,2289,-1,46743,36,735
2022-05-06,Unincorporated - Athens-Westmont,S,42442,14347,7,33804,154,363
2022-05-06,Unincorporated - Avocado Heights,SGV,6775,2226,3,32856,21,310
2022-05-06,Unincorporated - Azusa,SGV,15923,4993,4,31357,52,327
2022-05-06,Unincorporated - Bassett,SGV,14817,4819,1,32523,55,371
2022-05-06,Unincorporated - Bouquet Canyon,SFV,1073,149,0,13886,2,186
2022-05-06,Unincorporated - Bradbury,SGV,108,72,0,66667,26,24074
2022-05-06,Unincorporated - Canyon Country,SFV,7728,2656,4,34369,9,116
2022-05-06,Unincorporated - Castaic,SFV,27191,7616,10,28009,30,110
2022-05-06,Unincorporated - Cerritos,E,587,142,2,24191,2,341
2022-05-06,Unincorporated - Charter Oak,SGV,20,2,0,10000,0,0
2022-05-06,Unincorporated - Claremont,SGV,702,101,0,14387,5,712
2022-05-06,Unincorporated - Covina (Charter Oak),SGV,13144,3630,5,27617,26,198
2022-05-06,Unincorporated - Covina,SGV,16819,4844,5,28801,57,339
2022-05-06,Unincorporated - Del Aire,SB,4393,908,2,20669,4,91
2022-05-06,Unincorporated - Del Rey,W,318,96,0,30189,1,314
2022-05-06,Unincorporated - Del Sur,AV,2415,544,1,22526,3,124
2022-05-06,Unincorporated - Desert View Highlands,AV,2493,754,0,30245,13,521
2022-05-06,Unincorporated - Duarte,SGV,4428,1530,1,34553,14,316
2022-05-06,Unincorporated - East Covina,SGV,329,76,0,23100,1,304
2022-05-06,Unincorporated - East La Mirada,E,5292,1218,0,23016,13,246
2022-05-06,Unincorporated - East Lancaster,AV,114,37,0,32456,0,0
2022-05-06,Unincorporated - East Los Angeles,E,125268,48302,24,38559,535,427
2022-05-06,Unincorporated - East Pasadena,SGV,6403,329,0,5138,11,172
2022-05-06,Unincorporated - East Rancho Dominguez,S,15308,5114,1,33407,63,412
2022-05-06,Unincorporated - East Whittier,E,5306,1088,8,20505,10,188
2022-05-06,Unincorporated - El Camino Village,SB,8791,1895,0,21556,16,182
2022-05-06,Unincorporated - El Monte,SGV,145,51,0,35172,0,0
2022-05-06,Unincorporated - Elizabeth Lake,AV,1661,208,0,12523,1,60
2022-05-06,Unincorporated - Florence-Firestone,S,64705,26443,12,40867,259,400
2022-05-06,Unincorporated - Franklin Canyon,MLA,12,1,0,8333,0,0
2022-05-06,Unincorporated - Glendora,SGV,660,168,0,25455,3,455
2022-05-06,Unincorporated - Hacienda Heights,SGV,55925,11903,11,21283,134,240
2022-05-06,Unincorporated - Harbor Gateway,S,1,4,0,400000,0,0
2022-05-06,Unincorporated - Hawthorne,SB,2514,609,1,24224,5,199
2022-05-06,Unincorporated - Hi Vista,AV,1098,134,0,12204,2,182
2022-05-06,Unincorporated - Kagel/Lopez Canyons,SFV,1412,538,1,38102,3,212
2022-05-06,Unincorporated - La Crescenta-Montrose,SFV,19802,2965,8,14974,24,121
2022-05-06,Unincorporated - La Habra Heights,E,676,17,0,2515,1,148
2022-05-06,Unincorporated - La Rambla,SGV,2075,609,0,29349,25,1205
2022-05-06,Unincorporated - La Verne,SGV,2040,505,0,24755,2,98
2022-05-06,Unincorporated - Ladera Heights,W,7071,1313,6,18569,18,255
2022-05-06,Unincorporated - Lake Hughes,AV,668,149,0,22305,1,150
2022-05-06,Unincorporated - Lake Los Angeles,AV,12994,3457,1,26605,27,208
2022-05-06,Unincorporated - Lake Manor,SFV,1643,349,1,21242,2,122
2022-05-06,Unincorporated - Lakewood,E,114,1,0,877,0,0
2022-05-06,Unincorporated - Lennox,SB,22542,6454,8,28631,67,297
2022-05-06,Unincorporated - Leona Valley,AV,1751,260,1,14849,5,286
2022-05-06,Unincorporated - Littlerock,AV,4021,1199,0,29818,9,224
2022-05-06,Unincorporated - Littlerock/Juniper Hills,AV,1297,278,0,21434,4,308
2022-05-06,Unincorporated - Littlerock/Pearblossom,AV,3569,1042,-1,29196,14,392
2022-05-06,Unincorporated - Llano,AV,877,101,0,11517,2,228
2022-05-06,Unincorporated - Marina del Rey,W,9411,1735,5,18436,4,43
2022-05-06,Unincorporated - Miracle Mile,MLA,0,0,0,0,0,0
2022-05-06,Unincorporated - Monrovia,SGV,3881,882,1,22726,4,103
2022-05-06,Unincorporated - Newhall,SFV,220,87,0,39545,1,455
2022-05-06,Unincorporated - North Lancaster,AV,1198,342,0,28548,4,334
2022-05-06,Unincorporated - North Whittier,W,8360,2413,0,28864,33,395
2022-05-06,Unincorporated - Northeast San Gabriel,SGV,24036,4160,1,17307,51,212
2022-05-06,Unincorporated - Padua Hills,SGV,215,26,0,12093,0,0
2022-05-06,Unincorporated - Palmdale,AV,842,217,0,25772,5,594
2022-05-06,Unincorporated - Palos Verdes Peninsula,SB,621,66,0,10628,0,0
2022-05-06,Unincorporated - Pearblossom/Llano,AV,1956,322,0,16462,3,153
2022-05-06,Unincorporated - Pellissier Village,SGV,619,297,0,47981,1,162
2022-05-06,Unincorporated - Placerita Canyon,SGV,460,15,0,3261,0,0
2022-05-06,Unincorporated - Pomona,SGV,1938,141,0,7276,3,155
2022-05-06,Unincorporated - Quartz Hill,AV,12906,3129,5,24245,35,271
2022-05-06,Unincorporated - Rancho Dominguez,S,2661,941,0,35363,6,225
2022-05-06,Unincorporated - Roosevelt,S,931,217,0,23308,2,215
2022-05-06,Unincorporated - Rosewood,S,1286,394,0,30638,6,467
2022-05-06,Unincorporated - Rosewood/East Gardena,S,1193,415,0,34786,6,503
2022-05-06,Unincorporated - Rosewood/West Rancho Dominguez,S,3361,1080,1,32133,18,536
2022-05-06,Unincorporated - Rowland Heights,SGV,51023,8915,14,17473,106,208
2022-05-06,Unincorporated - San Clemente Island,SB,0,0,0,0,0,0
2022-05-06,Unincorporated - San Francisquito Canyon/Bouquet Canyon,SFV,858,35,0,4079,0,0
2022-05-06,Unincorporated - San Jose Hills,SGV,20221,6434,4,31818,97,480
2022-05-06,Unincorporated - San Pasqual,SGV,2035,66,0,3243,1,49
2022-05-06,Unincorporated - Sand Canyon,AV,308,49,0,15909,0,0
2022-05-06,Unincorporated - Santa Catalina Island,SB,267,618,1,231461,5,1873
2022-05-06,Unincorporated - Santa Monica Mountains,W,18621,2891,3,15525,19,102
2022-05-06,Unincorporated - Saugus,SFV,155,322,0,207742,1,645
2022-05-06,Unincorporated - Saugus/Canyon Country,SFV,356,90,0,25281,1,281
2022-05-06,Unincorporated - South Antelope Valley,AV,455,88,0,19341,1,220
2022-05-06,Unincorporated - South El Monte,SGV,1795,625,0,34819,6,334
2022-05-06,Unincorporated - South San Gabriel,SGV,8848,2048,2,23146,56,633
2022-05-06,Unincorporated - South Whittier,SGV,59222,17362,13,29317,189,319
2022-05-06,Unincorporated - Southeast Antelope Valley,AV,781,185,0,23688,1,128
2022-05-06,Unincorporated - Stevenson Ranch,SFV,20966,4175,15,19913,15,72
2022-05-06,Unincorporated - Sun Village,AV,6036,1817,0,30103,19,315
2022-05-06,Unincorporated - Sunrise Village,SGV,1296,422,0,32562,2,154
2022-05-06,Unincorporated - Twin Lakes/Oat Mountain,SFV,1658,314,1,18938,4,241
2022-05-06,Unincorporated - Val Verde,AV,3309,863,1,26080,3,91
2022-05-06,Unincorporated - Valencia,SFV,3072,694,0,22591,2,65
2022-05-06,Unincorporated - Valinda,SGV,23371,7522,1,32185,97,415
2022-05-06,Unincorporated - View Park/Windsor Hills,S,11635,2537,6,21805,21,180
2022-05-06,Unincorporated - Walnut Park,S,16143,6132,3,37986,64,396
2022-05-06,Unincorporated - West Antelope Valley,AV,1511,135,0,8934,2,132
2022-05-06,Unincorporated - West Carson,SB,22086,5630,9,25491,165,747
2022-05-06,Unincorporated - West Chatsworth,SFV,12,4,0,33333,0,0
2022-05-06,Unincorporated - West LA,W,952,584,6,61345,21,2206
2022-05-06,Unincorporated - West Puente Valley,SGV,9835,3241,1,32954,37,376
2022-05-06,Unincorporated - West Rancho Dominguez,S,1359,393,1,28918,9,662
2022-05-06,Unincorporated - West Whittier/Los Nietos,E,26925,8323,12,30912,111,412
2022-05-06,Unincorporated - Westfield/Academy Hills,TBD,1300,173,0,13308,0,0
2022-05-06,Unincorporated - Westhills,SFV,839,133,0,15852,1,119
2022-05-06,Unincorporated - White Fence Farms,AV,3683,731,0,19848,9,244
2022-05-06,Unincorporated - Whittier Narrows,E,12,65,0,541667,1,8333
2022-05-06,Unincorporated - Whittier,SGV,3784,745,0,19688,10,264
2022-05-06,Unincorporated - Willowbrook,S,34913,13803,4,39535,131,375
2022-05-06,Unincorporated - Wiseburn,SB,6027,1438,0,23859,15,249
2022-05-06,age 0 to 4,,0,83949,69
2022-05-06,age 12 to 17,,0,237079,272
2022-05-06,age 18 to 29,,0,609461,748
2022-05-06,age 30 to 49,,0,872247,1041
2022-05-06,age 5 to 11,,0,242844,300
2022-05-06,age 50 to 64,,0,452030,432
2022-05-06,age 65 to 79,,0,176148,208
2022-05-06,age over 80,,0,57206,55
2022-05-09,City of Agoura Hills,SFV,20883,4341,17,20787,22,105
2022-05-09,City of Alhambra,SGV,86725,17430,63,20098,255,294
2022-05-09,City of Arcadia,SGV,57755,8394,47,14534,166,287
2022-05-09,City of Artesia,E,16795,4242,14,25258,88,524
2022-05-09,City of Avalon,SB,3869,64,1,1654,0,0
2022-05-09,City of Azusa,SGV,50039,13855,21,27688,158,316
2022-05-09,City of Baldwin Park,SGV,76768,23086,38,30072,389,507
2022-05-09,City of Bell Gardens,E,43071,14224,3,33025,140,325
2022-05-09,City of Bell,E,36332,13968,17,38445,143,394
2022-05-09,City of Bellflower,E,77734,23536,34,30277,264,340
2022-05-09,City of Beverly Hills,W,34519,8660,30,25087,44,127
2022-05-09,City of Bradbury,SGV,1069,67,0,6268,0,0
2022-05-09,City of Burbank,SFV,107179,23024,101,21482,324,302
2022-05-09,City of Calabasas,SFV,24323,4138,15,17013,38,156
2022-05-09,City of Carson,SB,93847,25975,68,27678,322,343
2022-05-09,City of Cerritos,E,50068,8691,32,17359,85,170
2022-05-09,City of Claremont,SGV,36485,7282,43,19959,81,222
2022-05-09,City of Commerce,E,13069,4547,9,34792,47,360
2022-05-09,City of Compton,S,99905,33285,31,33317,327,327
2022-05-09,City of Covina,SGV,49032,14852,27,30290,206,420
2022-05-09,City of Cudahy,E,24347,10083,6,41414,80,329
2022-05-09,City of Culver City,W,39865,7752,27,19446,134,336
2022-05-09,City of Diamond Bar,SGV,57515,9385,33,16317,108,188
2022-05-09,City of Downey,E,114264,36328,47,31793,379,332
2022-05-09,City of Duarte,SGV,22016,5249,10,23842,120,545
2022-05-09,City of El Monte,SGV,117269,33329,43,28421,528,450
2022-05-09,City of El Segundo,SB,16786,2915,17,17366,14,83
2022-05-09,City of Gardena,E,61310,16501,53,26914,267,435
2022-05-09,City of Glendale,SFV,206496,45291,137,21933,877,425
2022-05-09,City of Glendora,SGV,52764,11980,34,22705,246,466
2022-05-09,City of Hawaiian Gardens,E,14676,4206,7,28659,30,204
2022-05-09,City of Hawthorne,SB,88787,22882,36,25772,277,312
2022-05-09,City of Hermosa Beach,SB,19670,3438,15,17478,12,61
2022-05-09,City of Hidden Hills,SFV,1890,274,1,14497,2,106
2022-05-09,City of Huntington Park,E,59483,22195,28,37313,217,365
2022-05-09,City of Industry,SGV,437,407,1,93135,6,1373
2022-05-09,City of Inglewood,SB,113581,29734,63,26178,387,341
2022-05-09,City of Irwindale,SGV,1459,539,1,36943,8,548
2022-05-09,City of La Canada Flintridge,SGV,20693,3036,25,14672,20,97
2022-05-09,City of La Habra Heights,E,5455,162,0,2970,2,37
2022-05-09,City of La Mirada,E,49599,10632,36,21436,183,369
2022-05-09,City of La Puente,SGV,40696,12805,20,31464,152,373
2022-05-09,City of La Verne,SGV,33281,7158,9,21507,81,243
2022-05-09,City of Lakewood,E,80362,19340,60,24066,170,212
2022-05-09,City of Lancaster,AV,161570,51316,61,31761,427,264
2022-05-09,City of Lawndale,SB,33614,8223,15,24463,72,214
2022-05-09,City of Lomita,SB,20729,4392,8,21188,58,280
2022-05-09,City of Lynwood,S,72047,24937,23,34612,293,407
2022-05-09,City of Malibu,W,12961,2207,8,17028,13,100
2022-05-09,City of Manhattan Beach,SB,36000,5250,53,14584,27,75
2022-05-09,City of Maywood,E,28049,10632,15,37905,105,374
2022-05-09,City of Monrovia,SGV,38801,8436,27,21742,104,268
2022-05-09,City of Montebello,E,64375,19406,23,30145,283,440
2022-05-09,City of Monterey Park,SGV,62262,11861,39,19050,234,376
2022-05-09,City of Norwalk,E,107622,33500,61,31127,469,436
2022-05-09,City of Palmdale,AV,158968,53392,64,33587,446,281
2022-05-09,City of Palos Verdes Estates,SB,13522,1583,9,11707,12,89
2022-05-09,City of Paramount,S,56024,19046,22,33997,211,377
2022-05-09,City of Pico Rivera,E,64284,21145,36,32893,334,520
2022-05-09,City of Pomona,SGV,155933,52423,69,33619,585,375
2022-05-09,City of Rancho Palos Verdes,SB,42747,5098,36,11926,82,192
2022-05-09,City of Redondo Beach,SB,68696,10505,91,15292,70,102
2022-05-09,City of Rolling Hills Estates,SB,8113,1033,4,12733,10,123
2022-05-09,City of Rolling Hills,SB,1940,195,0,10052,3,155
2022-05-09,City of Rosemead,SGV,55350,11001,29,19875,187,338
2022-05-09,City of San Dimas,SGV,34517,8203,31,23766,127,368
2022-05-09,City of San Fernando,SFV,24612,10536,18,42808,80,325
2022-05-09,City of San Gabriel,SGV,40955,7772,25,18977,245,598
2022-05-09,City of San Marino,SGV,13277,1515,17,11411,13,98
2022-05-09,City of Santa Clarita,SFV,220421,55068,172,24983,382,173
2022-05-09,City of Santa Fe Springs,E,18364,6414,9,34927,55,299
2022-05-09,City of Santa Monica,W,92445,18105,129,19584,241,261
2022-05-09,City of Sierra Madre,SGV,10989,1587,11,14442,22,200
2022-05-09,City of Signal Hill,E,11797,2898,10,24566,13,110
2022-05-09,City of South El Monte,SGV,20885,6614,10,31669,88,421
2022-05-09,City of South Gate,E,98155,38649,39,39375,315,321
2022-05-09,City of South Pasadena,SGV,26052,4230,43,16236,61,234
2022-05-09,City of Temple City,SGV,36456,6418,33,17605,150,411
2022-05-09,City of Torrance,SB,149269,23558,104,15782,302,202
2022-05-09,City of Vernon,E,209,311,0,148804,0,0
2022-05-09,City of Walnut,SGV,30532,5008,17,16402,46,151
2022-05-09,City of West Covina,SGV,108235,29713,83,27452,363,335
2022-05-09,City of West Hollywood,W,36951,8355,42,22611,61,165
2022-05-09,City of Westlake Village,SFV,8359,286,1,3421,2,24
2022-05-09,City of Whittier,E,87431,24006,48,27457,337,385
2022-05-09,Los Angeles - Adams-Normandie,S,8202,2638,4,32163,18,219
2022-05-09,Los Angeles - Alsace,W,12445,3590,7,28847,23,185
2022-05-09,Los Angeles - Angeles National Forest,AV,40,6,0,15000,0,0
2022-05-09,Los Angeles - Angelino Heights,MLA,2502,645,0,25779,8,320
2022-05-09,Los Angeles - Arleta,SFV,34370,13750,16,40006,134,390
2022-05-09,Los Angeles - Atwater Village,MLA,14666,3650,22,24887,35,239
2022-05-09,Los Angeles - Baldwin Hills,S,31125,7647,15,24569,108,347
2022-05-09,Los Angeles - Bel Air,W,8429,1567,11,18591,5,59
2022-05-09,Los Angeles - Beverly Crest,W,12525,2481,15,19808,9,72
2022-05-09,Los Angeles - Beverlywood,W,13173,3165,6,24026,4,30
2022-05-09,Los Angeles - Boyle Heights,MLA,86884,33488,31,38543,372,428
2022-05-09,Los Angeles - Brentwood,W,30955,5890,54,19028,26,84
2022-05-09,Los Angeles - Brookside,MLA,581,100,1,17212,2,344
2022-05-09,Los Angeles - Cadillac-Corning,W,7121,1866,6,26204,14,197
2022-05-09,Los Angeles - Canoga Park,SFV,65288,20394,43,31237,208,319
2022-05-09,Los Angeles - Carthay,MLA,14363,3055,19,21270,88,613
2022-05-09,Los Angeles - Central,MLA,38992,14946,6,38331,159,408
2022-05-09,Los Angeles - Century City,W,12792,2491,9,19473,16,125
2022-05-09,Los Angeles - Century Palms/Cove,S,33766,13553,14,40138,132,391
2022-05-09,Los Angeles - Chatsworth,SFV,37061,9532,39,25720,120,324
2022-05-09,Los Angeles - Cheviot Hills,W,9171,1754,10,19126,10,109
2022-05-09,Los Angeles - Chinatown,MLA,8021,2028,5,25284,19,237
2022-05-09,Los Angeles - Cloverdale/Cochran,MLA,14553,4118,8,28297,30,206
2022-05-09,Los Angeles - Country Club Park,MLA,15153,3708,10,24470,89,587
2022-05-09,Los Angeles - Crenshaw District,S,13829,4052,9,29301,47,340
2022-05-09,Los Angeles - Crestview,W,11368,2949,9,25941,52,457
2022-05-09,Los Angeles - Del Rey,W,29936,6180,24,20644,43,144
2022-05-09,Los Angeles - Downtown,MLA,27507,12245,56,44516,68,247
2022-05-09,Los Angeles - Eagle Rock,MLA,39588,9579,69,24196,146,369
2022-05-09,Los Angeles - East Hollywood,MLA,29287,7473,20,25516,154,526
2022-05-09,Los Angeles - Echo Park,MLA,14256,3452,17,24214,26,182
2022-05-09,Los Angeles - El Sereno,MLA,41808,13439,27,32145,140,335
2022-05-09,Los Angeles - Elysian Park,MLA,5712,1407,7,24632,6,105
2022-05-09,Los Angeles - Elysian Valley,MLA,10171,2774,12,27274,33,324
2022-05-09,Los Angeles - Encino,SFV,45172,10730,53,23754,89,197
2022-05-09,Los Angeles - Exposition Park,S,44916,14692,40,32709,105,234
2022-05-09,Los Angeles - Exposition,S,3326,982,2,29525,8,241
2022-05-09,Los Angeles - Faircrest Heights,MLA,3600,919,4,25528,6,167
2022-05-09,Los Angeles - Figueroa Park Square,S,8721,3058,9,35065,38,436
2022-05-09,Los Angeles - Florence-Firestone,S,47446,19602,15,41315,155,327
2022-05-09,Los Angeles - Glassell Park,MLA,31604,8205,34,25962,71,225
2022-05-09,Los Angeles - Gramercy Place,S,10764,3220,2,29915,42,390
2022-05-09,Los Angeles - Granada Hills,SFV,58191,16371,74,28133,251,431
2022-05-09,Los Angeles - Green Meadows,S,21505,8575,7,39874,63,293
2022-05-09,Los Angeles - Hancock Park,MLA,17039,3508,17,20588,11,65
2022-05-09,Los Angeles - Harbor City,SB,29071,7145,18,24579,50,172
2022-05-09,Los Angeles - Harbor Gateway,SB,43600,12309,29,28232,102,234
2022-05-09,Los Angeles - Harbor Pines,SB,2409,462,0,19178,3,125
2022-05-09,Los Angeles - Harvard Heights,MLA,18035,5204,8,28855,80,444
2022-05-09,Los Angeles - Harvard Park,S,37935,15085,18,39765,128,337
2022-05-09,Los Angeles - Highland Park,MLA,48391,13243,29,27367,138,285
2022-05-09,Los Angeles - Historic Filipinotown,MLA,13870,4320,6,31146,91,656
2022-05-09,Los Angeles - Hollywood Hills,MLA,29435,5521,46,18757,30,102
2022-05-09,Los Angeles - Hollywood,MLA,68254,16505,74,24182,114,167
2022-05-09,Los Angeles - Hyde Park,S,28541,9326,8,32676,113,396
2022-05-09,Los Angeles - Jefferson Park,S,8073,2536,10,31413,21,260
2022-05-09,Los Angeles - Koreatown,MLA,51692,13152,28,25443,148,286
2022-05-09,Los Angeles - Lafayette Square,MLA,4559,1259,2,27616,11,241
2022-05-09,Los Angeles - Lake Balboa,SFV,42206,12457,38,29515,90,213
2022-05-09,Los Angeles - Lakeview Terrace,SFV,13133,4648,8,35392,47,358
2022-05-09,Los Angeles - Leimert Park,S,15235,4348,13,28540,32,210
2022-05-09,Los Angeles - Lincoln Heights,MLA,32597,10216,22,31340,213,653
2022-05-09,Los Angeles - Little Armenia,MLA,8025,2460,1,30654,113,1408
2022-05-09,Los Angeles - Little Bangladesh,MLA,28343,6955,9,24539,39,138
2022-05-09,Los Angeles - Little Tokyo,MLA,3133,1114,2,35557,14,447
2022-05-09,Los Angeles - Longwood,MLA,4304,1359,1,31575,14,325
2022-05-09,Los Angeles - Los Feliz,MLA,21608,4036,39,18678,35,162
2022-05-09,Los Angeles - Manchester Square,SB,8536,2425,6,28409,22,258
2022-05-09,Los Angeles - Mandeville Canyon,W,3124,548,4,17542,1,32
2022-05-09,Los Angeles - Mar Vista,W,42471,7613,42,17925,46,108
2022-05-09,Los Angeles - Marina Peninsula,W,4360,704,2,16147,5,115
2022-05-09,Los Angeles - Melrose,MLA,77696,20569,61,26474,258,332
2022-05-09,Los Angeles - Mid-city,MLA,15030,3536,15,23526,53,353
2022-05-09,Los Angeles - Miracle Mile,MLA,17985,3597,16,20000,22,122
2022-05-09,Los Angeles - Mission Hills,SFV,24124,9516,12,39446,152,630
2022-05-09,Los Angeles - Mt. Washington,MLA,24145,6487,23,26867,74,306
2022-05-09,Los Angeles - North Hills,SFV,61576,20245,34,32879,189,307
2022-05-09,Los Angeles - North Hollywood,SFV,151422,46952,111,31008,481,318
2022-05-09,Los Angeles - Northridge,SFV,69796,19517,69,27963,216,309
2022-05-09,Los Angeles - Pacific Palisades,W,21291,3551,37,16678,17,80
2022-05-09,Los Angeles - Pacoima,SFV,76979,32299,39,41958,285,370
2022-05-09,Los Angeles - Palisades Highlands,W,3846,660,10,17161,2,52
2022-05-09,Los Angeles - Palms,W,43877,8336,37,18999,78,178
2022-05-09,Los Angeles - Panorama City,SFV,75251,27344,47,36338,331,440
2022-05-09,Los Angeles - Park La Brea,MLA,13580,2336,9,17202,3,22
2022-05-09,Los Angeles - Pico-Union,MLA,41842,13978,14,33407,284,679
2022-05-09,Los Angeles - Playa Del Rey,W,3196,425,1,13298,4,125
2022-05-09,Los Angeles - Playa Vista,W,10947,2386,12,21796,14,128
2022-05-09,Los Angeles - Porter Ranch,SFV,35589,7478,36,21013,61,171
2022-05-09,Los Angeles - Rancho Park,W,6560,1522,13,23201,2,30
2022-05-09,Los Angeles - Regent Square,W,2780,660,1,23741,4,144
2022-05-09,Los Angeles - Reseda Ranch,SFV,4636,1431,6,30867,6,129
2022-05-09,Los Angeles - Reseda,SFV,76617,24984,62,32609,367,479
2022-05-09,Los Angeles - Reynier Village,W,4228,892,4,21097,3,71
2022-05-09,Los Angeles - San Pedro,SB,78039,19934,59,25544,177,227
2022-05-09,Los Angeles - Shadow Hills,SFV,4442,1000,6,22512,8,180
2022-05-09,Los Angeles - Sherman Oaks,SFV,87253,19549,92,22405,152,174
2022-05-09,Los Angeles - Silverlake,MLA,44083,9975,57,22628,145,329
2022-05-09,Los Angeles - South Carthay,MLA,10595,2374,8,22407,9,85
2022-05-09,Los Angeles - South Park,S,37961,14941,12,39359,127,335
2022-05-09,Los Angeles - St Elmo Village,MLA,4584,1545,1,33704,46,1003
2022-05-09,Los Angeles - Studio City,SFV,22440,4853,27,21627,59,263
2022-05-09,Los Angeles - Sun Valley,SFV,52483,18956,23,36118,193,368
2022-05-09,Los Angeles - Sunland,SFV,20408,5184,14,25402,80,392
2022-05-09,Los Angeles - Sycamore Square,SFV,647,122,2,18856,2,309
2022-05-09,Los Angeles - Sylmar,SFV,82397,33890,71,41130,310,376
2022-05-09,Los Angeles - Tarzana,SFV,30876,7844,25,25405,102,330
2022-05-09,Los Angeles - Temple-Beaudry,MLA,39481,11204,27,28377,134,339
2022-05-09,Los Angeles - Thai Town,MLA,9809,2241,5,22846,39,398
2022-05-09,Los Angeles - Toluca Lake,SFV,8704,1772,12,20358,11,126
2022-05-09,Los Angeles - Toluca Terrace,SFV,1306,365,1,27948,10,766
2022-05-09,Los Angeles - Toluca Woods,SFV,1858,335,3,18030,0,0
2022-05-09,Los Angeles - Tujunga,SFV,27810,6857,21,24657,95,342
2022-05-09,Los Angeles - University Hills,SGV,3429,730,4,21289,4,117
2022-05-09,Los Angeles - University Park,S,27456,9442,53,34390,76,277
2022-05-09,Los Angeles - Valley Glen,SFV,30016,8885,21,29601,98,326
2022-05-09,Los Angeles - Valley Village,SFV,24720,6174,30,24976,95,384
2022-05-09,Los Angeles - Van Nuys,SFV,93193,30820,53,33071,425,456
2022-05-09,Los Angeles - Venice,W,33885,6859,35,20242,29,86
2022-05-09,Los Angeles - Vermont Knolls,S,17200,6219,17,36157,76,442
2022-05-09,Los Angeles - Vermont Square,S,7657,3154,5,41191,36,470
2022-05-09,Los Angeles - Vermont Vista,S,41186,15627,12,37943,128,311
2022-05-09,Los Angeles - Vernon Central,S,51998,21888,8,42094,196,377
2022-05-09,Los Angeles - Victoria Park,MLA,8399,2333,7,27777,18,214
2022-05-09,Los Angeles - View Heights,S,3694,766,0,20736,9,244
2022-05-09,Los Angeles - Watts,S,42674,16376,14,38375,137,321
2022-05-09,Los Angeles - Wellington Square,MLA,4915,1444,5,29379,13,264
2022-05-09,Los Angeles - West Adams,MLA,27630,8846,14,32016,176,637
2022-05-09,Los Angeles - West Hills,SFV,40545,9009,52,22220,141,348
2022-05-09,Los Angeles - West Los Angeles,W,37636,7917,62,21036,70,186
2022-05-09,Los Angeles - West Vernon,S,53643,20549,20,38306,238,444
2022-05-09,Los Angeles - Westchester,W,51603,9209,59,17846,66,128
2022-05-09,Los Angeles - Westlake,MLA,59354,17295,18,29138,359,605
2022-05-09,Los Angeles - Westwood,W,54109,10872,149,20093,40,74
2022-05-09,Los Angeles - Wholesale District,MLA,36129,16451,62,45534,136,376
2022-05-09,Los Angeles - Wilmington,SB,56487,19576,31,34656,133,235
2022-05-09,Los Angeles - Wilshire Center,MLA,50170,13212,33,26334,148,295
2022-05-09,Los Angeles - Winnetka,SFV,51785,15518,42,29966,121,234
2022-05-09,Los Angeles - Woodland Hills,SFV,68056,14999,70,22040,115,169
2022-05-09,Unincorporated - Acton,AV,7971,1533,3,19232,17,213
2022-05-09,Unincorporated - Agua Dulce,AV,4158,788,1,18951,6,144
2022-05-09,Unincorporated - Altadena,SGV,43620,8556,23,19615,99,227
2022-05-09,Unincorporated - Anaverde,AV,1508,325,0,21552,1,66
2022-05-09,Unincorporated - Angeles National Forest,AV,1245,74,0,5944,1,80
2022-05-09,Unincorporated - Arcadia,SGV,7981,1474,4,18469,19,238
2022-05-09,Unincorporated - Athens Village,S,4897,2292,3,46804,37,756
2022-05-09,Unincorporated - Athens-Westmont,S,42442,14372,25,33863,154,363
2022-05-09,Unincorporated - Avocado Heights,SGV,6775,2233,7,32959,21,310
2022-05-09,Unincorporated - Azusa,SGV,15923,4999,6,31395,52,327
2022-05-09,Unincorporated - Bassett,SGV,14817,4830,11,32598,55,371
2022-05-09,Unincorporated - Bouquet Canyon,SFV,1073,149,0,13886,2,186
2022-05-09,Unincorporated - Bradbury,SGV,108,72,0,66667,26,24074
2022-05-09,Unincorporated - Canyon Country,SFV,7728,2667,11,34511,9,116
2022-05-09,Unincorporated - Castaic,SFV,27191,7643,27,28109,30,110
2022-05-09,Unincorporated - Cerritos,E,587,144,2,24532,2,341
2022-05-09,Unincorporated - Charter Oak,SGV,20,2,0,10000,0,0
2022-05-09,Unincorporated - Claremont,SGV,702,101,0,14387,5,712
2022-05-09,Unincorporated - Covina (Charter Oak),SGV,13144,3634,4,27648,26,198
2022-05-09,Unincorporated - Covina,SGV,16819,4855,11,28866,57,339
2022-05-09,Unincorporated - Del Aire,SB,4393,913,5,20783,4,91
2022-05-09,Unincorporated - Del Rey,W,318,96,0,30189,1,314
