date,location,region,population,cases,casechange,caserate,deaths,deathrate
2022-04-29,Los Angeles - Baldwin Hills,S,31125,7572,7572,24328,108,347
2022-04-29,Los Angeles - Bel Air,W,8429,1531,1531,18163,5,59
2022-04-29,Los Angeles - Beverly Crest,W,12525,2431,2431,19409,9,72
2022-04-29,Los Angeles - Beverlywood,W,13173,3111,3111,23616,4,30
2022-04-29,Los Angeles - Boyle Heights,MLA,86884,33382,33382,38421,372,428
2022-04-29,Los Angeles - Brentwood,W,30955,5724,5724,18491,26,84
2022-04-29,Los Angeles - Brookside,MLA,581,99,99,17040,2,344
2022-04-29,Los Angeles - Cadillac-Corning,W,7121,1849,1849,25965,14,197
2022-04-29,Los Angeles - Canoga Park,SFV,65288,20235,20235,30993,208,319
2022-04-29,Los Angeles - Carthay,MLA,14363,2985,2985,20783,88,613
2022-04-29,Los Angeles - Central,MLA,38992,14908,14908,38233,158,405
2022-04-29,Los Angeles - Century City,W,12792,2436,2436,19043,16,125
2022-04-29,Los Angeles - Century Palms/Cove,S,33766,13510,13510,40011,132,391
2022-04-29,Los Angeles - Chatsworth,SFV,37061,9406,9406,25380,120,324
2022-04-29,Los Angeles - Cheviot Hills,W,9171,1704,1704,18580,10,109
2022-04-29,Los Angeles - Chinatown,MLA,8021,2011,2011,25072,19,237
2022-04-29,Los Angeles - Cloverdale/Cochran,MLA,14553,4090,4090,28104,30,206
2022-04-29,Los Angeles - Country Club Park,MLA,15153,3682,3682,24299,89,587
2022-04-29,Los Angeles - Crenshaw District,S,13829,4018,4018,29055,47,340
2022-04-29,Los Angeles - Crestview,W,11368,2904,2904,25545,52,457
2022-04-29,Los Angeles - Del Rey,W,29936,6086,6086,20330,43,144
2022-04-29,Los Angeles - Downtown,MLA,27507,12061,12061,43847,68,247
2022-04-29,Los Angeles - Eagle Rock,MLA,39588,9408,9408,23764,146,369
2022-04-29,Los Angeles - East Hollywood,MLA,29287,7401,7401,25271,154,526
2022-04-29,Los Angeles - Echo Park,MLA,14256,3402,3402,23864,26,182
2022-04-29,Los Angeles - El Sereno,MLA,41808,13354,13354,31941,140,335
2022-04-29,Los Angeles - Elysian Park,MLA,5712,1385,1385,24247,6,105
2022-04-29,Los Angeles - Elysian Valley,MLA,10171,2742,2742,26959,33,324
2022-04-29,Los Angeles - Encino,SFV,45172,10533,10533,23318,89,197
2022-04-29,Los Angeles - Exposition Park,S,44916,14564,14564,32424,105,234
2022-04-29,Los Angeles - Exposition,S,3326,978,978,29405,8,241
2022-04-29,Los Angeles - Faircrest Heights,MLA,3600,912,912,25333,6,167
2022-04-29,Los Angeles - Figueroa Park Square,S,8721,3043,3043,34893,38,436
2022-04-29,Los Angeles - Florence-Firestone,S,47446,19541,19541,41187,154,325
2022-04-29,Los Angeles - Glassell Park,MLA,31604,8101,8101,25633,71,225
2022-04-29,Los Angeles - Gramercy Place,S,10764,3210,3210,29822,42,390
2022-04-29,Los Angeles - Granada Hills,SFV,58191,16164,16164,27777,251,431
2022-04-29,Los Angeles - Green Meadows,S,21505,8551,8551,39763,63,293
