Community of Schools,Staff and Student Case Rate
"Fremont Community of Schools",41.181073178767043
"Achievement Network Community of Schools",29.542097488921712
"MacArthur Park Community of Schools",46.933920277071977
"Gardena Community of Schools",40.514658940234746
"San Pedro Community of Schools",70.56167090036692
"Boyle Heights Community of Schools",33.690314545027618
"Jefferson/South Central (West) Community of Schools",24.098708309234627
"Carson Community of Schools",62.056126318692684
"Manual Arts/Vermont Square Community of Schools",31.264836322792064
"LA Mid-City Community of Schools",41.103397880891485
"Fairfax Community of Schools",37.155669442664951
"H.E.E.T. (C/D) Community of Schools",45.163293533180912
"Historic Central Avenue Community of Schools",40.628808950839137
"East Los Angeles Community of Schools",23.230152738254255
"South Mid-City Community of Schools",50.771730300568649
"Rivera Community of Schools",34.883720930232556
"H.E.E.T. (W) Community of Schools",41.649312786339024
"Reseda Community of Schools",62.568118516126432
"Kennedy/NAHS/VAAS Community of Schools",70.255079982706448
"Canoga Park/Chatsworth Community of Schools",35.978382350689714
"Lincoln Heights/El Sereno Community of Schools",21.996822681168275
"Eagle Rock/Highland Park Community of Schools",27.642636001769127
"Downtown Community of Schools",27.550941691187006
"Glassell Park/Los Feliz Community of Schools",37.503750375037505
"Monroe Community of Schools",64.337463985006579
"Cleveland Community of Schools",40.878998165430332
"Sunland/Tujunga Community of Schools",36.48303538854433
"Sun Valley Community of Schools",32.097450992672385
"Hamilton Community of Schools",36.208673369913377
"Hollywood Community of Schools",48.034344556357794
"Wilmington Community of Schools",45.242782553404822
"Venice Community of Schools",37.442899578143333
"Bell/Cudahy/Maywood Community of Schools",48.142565130576841
"North Hollywood/Valley Village Community of Schools",42.551305349940158
"Kreatwn/PcoUnion Community of Schools",27.795298318384454
" Community of Schools",0
"West LA Community of Schools",42.738789286810153
"San Fernando Valley/Sylmar Community of Schools",41.374984150711718
"South Gate Community of Schools",30.552358215742281
"Panorama City Community of Schools",43.960874821408943
"Taft Community of Schools",60.24677077308656
"Van Nuys/Valley Glen Community of Schools",30.861617791722658
"Harbor City/Lomita Community of Schools",59.876741536933721
"Westchester Community of Schools",42.025046927969072
"Huntington Park/Vernon Community of Schools",28.404344193817877
