Community of Schools,Staff and Student Case Rate
"Fremont Community of Schools",34.376074252320386
"Achievement Network Community of Schools",39.76392783893516
"MacArthur Park Community of Schools",40.264132710581414
"Gardena Community of Schools",34.144259496372172
"San Pedro Community of Schools",61.528530073329911
"Boyle Heights Community of Schools",25.430280343410509
"Jefferson/South Central (West) Community of Schools",27.648218493051882
"Carson Community of Schools",60.890573746341659
"Manual Arts/Vermont Square Community of Schools",34.514893176405614
"LA Mid-City Community of Schools",28.955469535798105
"Fairfax Community of Schools",37.02616089782056
"H.E.E.T. (C/D) Community of Schools",58.788947677836568
"Historic Central Avenue Community of Schools",40.41660189647132
"East Los Angeles Community of Schools",21.550830950308757
"South Mid-City Community of Schools",50.418473328627613
"Rivera Community of Schools",34.708162202811359
"H.E.E.T. (W) Community of Schools",43.484231244564469
"Reseda Community of Schools",49.448996891777334
"Kennedy/NAHS/VAAS Community of Schools",61.666062853134562
"Canoga Park/Chatsworth Community of Schools",38.830220570880378
"Lincoln Heights/El Sereno Community of Schools",21.874569597588934
"Eagle Rock/Highland Park Community of Schools",27.619121270037674
"Downtown Community of Schools",25.317570393853334
"Glassell Park/Los Feliz Community of Schools",26.7082603307551
"Monroe Community of Schools",52.042674993494664
"Cleveland Community of Schools",40.75384676553616
"Sunland/Tujunga Community of Schools",49.404545218160074
"Sun Valley Community of Schools",35.936938485336164
"Hamilton Community of Schools",33.351862145636467
"Hollywood Community of Schools",32.912945259787861
"Wilmington Community of Schools",50.086735566468761
"Venice Community of Schools",28.613727124569238
"Bell/Cudahy/Maywood Community of Schools",32.24056177213
"North Hollywood/Valley Village Community of Schools",43.31147135255538
"Kreatwn/PcoUnion Community of Schools",24.560579202528675
" Community of Schools",0
"West LA Community of Schools",44.95466157911472
"San Fernando Valley/Sylmar Community of Schools",47.235398606888388
"South Gate Community of Schools",35.46954584793496
"Panorama City Community of Schools",39.032006245121
"Taft Community of Schools",50.5987518974532
"Van Nuys/Valley Glen Community of Schools",23.787022571955742
"Harbor City/Lomita Community of Schools",50.818172578514073
"Westchester Community of Schools",44.677761644141633
"Huntington Park/Vernon Community of Schools",24.206001418972498
