Community of Schools,Staff and Student Case Rate
"Fremont Community of Schools",35.230885196473636
"Achievement Network Community of Schools",31.310010854137094
"MacArthur Park Community of Schools",19.27246446639364
"Gardena Community of Schools",15.828371747573998
"San Pedro Community of Schools",37.36543394397205
"Boyle Heights Community of Schools",26.443725717540328
"Jefferson/South Central (West) Community of Schools",26.468394330951178
"Carson Community of Schools",31.438199377130676
"Manual Arts/Vermont Square Community of Schools",19.6279918255187
"LA Mid-City Community of Schools",19.845510334931152
"Fairfax Community of Schools",15.343110304177161
"H.E.E.T. (C/D) Community of Schools",30.644082906173391
"Historic Central Avenue Community of Schools",34.181305933046069
"East Los Angeles Community of Schools",13.26435866825839
"South Mid-City Community of Schools",24.459375854279671
"Rivera Community of Schools",30.570932826571923
"H.E.E.T. (W) Community of Schools",22.934201775107219
"Reseda Community of Schools",26.320051830255913
"Kennedy/NAHS/VAAS Community of Schools",39.439800171679124
"Canoga Park/Chatsworth Community of Schools",31.99488081906895
"Lincoln Heights/El Sereno Community of Schools",16.167625945806119
"Eagle Rock/Highland Park Community of Schools",25.421387123514783
"Downtown Community of Schools",16.50891481399956
"Glassell Park/Los Feliz Community of Schools",19.293431658377639
"Monroe Community of Schools",33.4016830736971
"Cleveland Community of Schools",27.872622116925648
"Sunland/Tujunga Community of Schools",44.204066774143222
"Sun Valley Community of Schools",24.223670433056714
"Hamilton Community of Schools",27.8473962684489
"Hollywood Community of Schools",28.401022436807725
"Wilmington Community of Schools",30.545916621865988
"Venice Community of Schools",24.983760555638835
"Bell/Cudahy/Maywood Community of Schools",25.220283412934855
"North Hollywood/Valley Village Community of Schools",37.949324413771194
"Kreatwn/PcoUnion Community of Schools",22.443330590259595
" Community of Schools",0
"West LA Community of Schools",15.369246138476909
"San Fernando Valley/Sylmar Community of Schools",23.276383781015785
"South Gate Community of Schools",24.140869071286566
"Panorama City Community of Schools",18.784634169249554
"Taft Community of Schools",35.374609070371356
"Van Nuys/Valley Glen Community of Schools",24.469557938117777
"Harbor City/Lomita Community of Schools",32.007914684358312
"Westchester Community of Schools",16.698672455539786
"Huntington Park/Vernon Community of Schools",20.902660490627248
