School name,Cases among students and staff
"Unassigned",62
"102ND ST EEC",0
"107TH ST EL",0
"109TH ST EL",0
"10TH ST EL",3
"112TH ST EEC",0
"112TH ST EL",3
"116TH ST EL",3
"118TH ST EL",1
"122ND ST EL",1
"135TH ST EL",2
"153RD ST EL",2
"156TH ST EL",0
"15TH ST EL",0
"186TH ST EL",7
"1ST ST EL",1
"20TH ST EL",1
"232ND PL EL",0
"24TH ST EEC",0
"24TH ST EL",5
"28TH ST EEC",0
"28TH ST EL",0
"2ND ST EL",2
"32ND ST USC PA MAG",2
"36TH ST EEC",0
"37TH ST EEC",0
"3RD ST EL",3
"42ND ST EL",0
"49TH ST EL",0
"4TH ST EEC",0
"4TH ST EL",1
"4TH ST PC",2
"52ND ST EL",1
"54TH ST EL",2
"59TH ST EL",1
"61ST ST EL",3
"66TH ST EEC",0
"66TH ST EL",1
"6TH AVE EL",3
"74TH ST EL",1
"75TH ST EEC",1
"75TH ST EL",4
"7TH ST EL AI MAG",0
"92ND ST EL",5
"93RD ST EL",0
"95TH ST EEC",0
"95TH ST EL",3
"96TH ST EL",2
"97TH ST EEC",1
"99TH ST EL",0
"9TH ST EL",0
"ACAD ENRICH SCI MAG",0
"ADAMS MS",2
"ADDAMS HS",0
"AGGELER HS",0
"ALBION ST EEC",0
"ALBION ST EL",0
"ALDAMA EL",1
"ALEXANDER SCS",3
"ALEXANDRIA AVE EEC",0
"ALEXANDRIA AVE EL",2
"ALLESANDRO EL",1
"ALTA CALIFORNIA EL",5
"ALTA LOMA EL",0
"AMANECER PC",0
"AMBLER AVE EL",4
"AMESTOY EL",3
"ANATOLA AVE EL",1
"ANDASOL AVE EL",7
"ANGELES MESA EL",2
"ANGELOU COMMUNITY SH",4
"ANGEL'S GATE HS",0
"ANN ST EL",0
"ANNALEE AVE EL",0
"ANNANDALE EL",3
"ANTON EEC",1
"ANTON EL",3
"APPERSON ST EL",3
"ARAGON AVE EL",2
"ARLETA SH",7
"ARLINGTON HTS EL",0
"ARMINTA ST EEC",0
"ARMINTA ST EL",0
"ARROYO SECO MUS/S MAG",1
"ASCOT AVE EL",3
"ATWATER AVE EL",2
"AUDUBON MS",2
"AURORA EL",6
"AVALON GARDENS EL",0
"BACA ARTS ACAD",1
"BAKEWELL PC",2
"BALA",0
"BALBOA EL G/HG/HA MAG",3
"BALDWIN HILLS EL",3
"BANCROFT MS",0
"BANDINI ST EL",0
"BANNEKER CTC",0
"BANNING SH",12
"BARRETT EL",2
"BARTON HILL EL",3
"BASSETT ST EL",2
"BEACHY AVE EL",1
"BECKFORD CES",3
"BEETHOVEN ST EL",0
"BELL SH",5
"BELLINGHAM EL",0
"BELMONT SH",1
"BELVEDERE EL",0
"BELVEDERE MS",1
"BERENDO MS",1
"BERNSTEIN SH",1
"BERNSTEIN SH STEM",3
"BERTRAND AVE EL",1
"BETHUNE MS",4
"BIRMINGHAM CHS",0
"BLYTHE ST EL",0
"BONITA ST EL",1
"BOYLE HEIGHTS HS",0
"BOYLE HTS STEM MAG",0
"BRADDOCK DR EL",3
"BRADLEY EEC",4
"BRADLEY GLBL AWR MAG",0
"BRAINARD EL",0
"BRAVO SH MEDICAL MAG",3
"BREED ST EL",1
"BRENTWOOD EL SCI MAG",2
"BRIDGE ST EL",1
"BRIDGES SCHOOL",5
"BRIGHT EL",0
"BROAD AVE EL",0
"BROADACRES AV EL",1
"BROADOUS EEC",0
"BROADOUS EL",2
"BROADWAY EL",1
"BROCKTON AVE EL",0
"BROOKLYN AVE EEC",0
"BROOKLYN AVE EL",2
"BRYSON AVE EL",4
"BUCHANAN ST EL",1
"BUDLONG AVE EL",0
"BURBANK BLVD EL",0
"BURBANK MS A/T/C MAG",4
"BURKE HS",0
"BURROUGHS MS",4
"BURTON ST EL",3
"BUSHNELL WAY EL",2
"BYRD MS",7
"CABRILLO AVE EEC",0
"CABRILLO AVE EL",4
"CAHUENGA EL",0
"CALABASH CA",2
"CALAHAN ST EL",1
"CALVERT CES",1
"CAMELLIA AVE EL",2
"CANFIELD AVE EL",3
"CANOGA PARK EEC",0
"CANOGA PARK EL",0
"CANOGA PRK SH",11
