Community of Schools,Staff and Student Case Rate
"Fremont Community of Schools",11.412919424788862
"Achievement Network Community of Schools",6.2129809882781757
"MacArthur Park Community of Schools",7.9987202047672374
"Gardena Community of Schools",7.2855321474106
"San Pedro Community of Schools",7.0452303790333941
"Boyle Heights Community of Schools",9.1334395518525664
"Jefferson/South Central (West) Community of Schools",10.811590024506271
"Carson Community of Schools",18.605015520499791
"Manual Arts/Vermont Square Community of Schools",11.476312890194638
"LA Mid-City Community of Schools",10.637166258908627
"Fairfax Community of Schools",2.5496545218122941
"H.E.E.T. (C/D) Community of Schools",5.5651399632700764
"Historic Central Avenue Community of Schools",9.2824654228163
"East Los Angeles Community of Schools",4.1340763646586085
"South Mid-City Community of Schools",7.1629133000974159
"Rivera Community of Schools",8.2362146357534076
"H.E.E.T. (W) Community of Schools",16.005121638924457
"Reseda Community of Schools",11.08591584782061
"Kennedy/NAHS/VAAS Community of Schools",6.9505583615217086
"Canoga Park/Chatsworth Community of Schools",6.0735353289958169
"Lincoln Heights/El Sereno Community of Schools",12.862770319157489
"Eagle Rock/Highland Park Community of Schools",18.738977072310405
"Downtown Community of Schools",7.6751861232634893
"Glassell Park/Los Feliz Community of Schools",8.5536796860799562
"Monroe Community of Schools",7.4057616825890538
"Cleveland Community of Schools",9.931670109645637
"Sunland/Tujunga Community of Schools",10.385833722802099
"Sun Valley Community of Schools",10.13890297069857
"Hamilton Community of Schools",6.9408776045643208
"Hollywood Community of Schools",2.978362198626975
"Wilmington Community of Schools",18.315018315018314
"Venice Community of Schools",7.469654528478058
"Bell/Cudahy/Maywood Community of Schools",3.9324252052725961
"North Hollywood/Valley Village Community of Schools",13.185190394149291
"Kreatwn/PcoUnion Community of Schools",8.5243316391224191
" Community of Schools",0
"West LA Community of Schools",7.6692997929289053
"San Fernando Valley/Sylmar Community of Schools",9.2958401115500813
"South Gate Community of Schools",9.91620804204472
"Panorama City Community of Schools",6.2417102286026367
"Taft Community of Schools",17.651542504112008
"Van Nuys/Valley Glen Community of Schools",15.404463443282692
"Harbor City/Lomita Community of Schools",4.3554006968641117
"Westchester Community of Schools",8.3233915045917382
"Huntington Park/Vernon Community of Schools",11.665208515602217
