School name,Cases among students and staff
"Unassigned",83
"102ND ST EEC",1
"107TH ST EL",3
"109TH ST EL",0
"10TH ST EL",7
"112TH ST EEC",0
"112TH ST EL",1
"116TH ST EL",6
"118TH ST EL",5
"122ND ST EL",3
"135TH ST EL",1
"153RD ST EL",3
"156TH ST EL",4
"15TH ST EL",4
"186TH ST EL",2
"1ST ST EL",1
"20TH ST EL",2
"232ND PL EL",4
"24TH ST EEC",0
"24TH ST EL",10
"28TH ST EEC",0
"28TH ST EL",2
"2ND ST EL",3
"32ND ST USC PA MAG",2
"36TH ST EEC",0
"37TH ST EEC",0
"3RD ST EL",2
"42ND ST EL",6
"49TH ST EL",5
"4TH ST EEC",0
"4TH ST EL",0
"4TH ST PC",1
"52ND ST EL",5
"54TH ST EL",2
"59TH ST EL",4
"61ST ST EL",5
"66TH ST EEC",0
"66TH ST EL",4
"6TH AVE EL",4
"74TH ST EL",5
"75TH ST EEC",0
"75TH ST EL",8
"7TH ST EL AI MAG",1
"92ND ST EL",5
"93RD ST EL",1
"95TH ST EEC",0
"95TH ST EL",2
"96TH ST EL",1
"97TH ST EEC",0
"99TH ST EL",6
"9TH ST EL",1
"ACAD ENRICH SCI MAG",2
"ADAMS MS",4
"ADDAMS HS",1
"AGGELER HS",0
"ALBION ST EEC",0
"ALBION ST EL",1
"ALDAMA EL",2
"ALEXANDER SCS",7
"ALEXANDRIA AVE EEC",0
"ALEXANDRIA AVE EL",1
"ALLESANDRO EL",3
"ALTA CALIFORNIA EL",5
"ALTA LOMA EL",4
"AMANECER PC",1
"AMBLER AVE EL",4
"AMESTOY EL",7
"ANATOLA AVE EL",3
"ANDASOL AVE EL",6
"ANGELES MESA EL",3
"ANGELOU COMMUNITY SH",5
"ANGEL'S GATE HS",0
"ANN ST EL",0
"ANNALEE AVE EL",1
"ANNANDALE EL",1
"ANTON EEC",0
"ANTON EL",3
"APPERSON ST EL",3
"ARAGON AVE EL",1
"ARLETA SH",4
"ARLINGTON HTS EL",5
"ARMINTA ST EEC",1
"ARMINTA ST EL",0
"ARROYO SECO MUS/S MAG",1
"ASCOT AVE EL",2
"ATWATER AVE EL",1
"AUDUBON MS",4
"AURORA EL",5
"AVALON GARDENS EL",0
"BACA ARTS ACAD",4
"BAKEWELL PC",0
"BALA",0
"BALBOA EL G/HG/HA MAG",7
"BALDWIN HILLS EL",7
"BANCROFT MS",2
"BANDINI ST EL",1
"BANNEKER CTC",1
"BANNING SH",35
"BARRETT EL",4
"BARTON HILL EL",8
"BASSETT ST EL",5
"BEACHY AVE EL",6
"BECKFORD CES",1
"BEETHOVEN ST EL",0
"BELL SH",16
"BELLINGHAM EL",3
"BELMONT SH",1
"BELVEDERE EL",2
"BELVEDERE MS",5
"BERENDO MS",2
"BERNSTEIN SH",8
"BERNSTEIN SH STEM",6
"BERTRAND AVE EL",5
"BETHUNE MS",11
"BIRMINGHAM CHS",0
"BLYTHE ST EL",2
"BONITA ST EL",4
"BOYLE HEIGHTS HS",0
"BOYLE HTS STEM MAG",0
"BRADDOCK DR EL",5
"BRADLEY EEC",0
"BRADLEY GLBL AWR MAG",3
"BRAINARD EL",3
"BRAVO SH MEDICAL MAG",5
"BREED ST EL",3
"BRENTWOOD EL SCI MAG",2
"BRIDGE ST EL",1
"BRIDGES SCHOOL",4
"BRIGHT EL",2
"BROAD AVE EL",5
"BROADACRES AV EL",0
"BROADOUS EEC",0
"BROADOUS EL",5
"BROADWAY EL",3
"BROCKTON AVE EL",1
"BROOKLYN AVE EEC",0
"BROOKLYN AVE EL",1
"BRYSON AVE EL",8
"BUCHANAN ST EL",0
"BUDLONG AVE EL",7
"BURBANK BLVD EL",2
"BURBANK MS A/T/C MAG",6
"BURKE HS",1
"BURROUGHS MS",20
"BURTON ST EL",2
"BUSHNELL WAY EL",1
"BYRD MS",7
"CABRILLO AVE EEC",0
"CABRILLO AVE EL",10
"CAHUENGA EL",5
"CALABASH CA",9
"CALAHAN ST EL",2
"CALVERT CES",3
"CAMELLIA AVE EL",2
"CANFIELD AVE EL",4
"CANOGA PARK EEC",0
"CANOGA PARK EL",4
"CANOGA PRK SH",10
"CANTARA ST EL",3
"CANTERBURY AVE EL",10
"CANYON CEL",5
"CAPISTRANO AVE EL",2
"CARDENAS EL",3
"CARLSON HOSPITAL",0
"CARNEGIE MS",6
"CAROLDALE LC",2
"CARPENTER COMM CHTR",7
"CARSON ACAD ED & EMP",3
"CARSON ACAD MED ARTS",4
"CARSON SH",13
"CARSON ST EL",8
"CARSON-GORE ACADEMY",4
"CARTHAY EL ES MAG",1
"CARVER MS",4
"CASTELAR ST EEC",0
"CASTELAR ST EL",0
"CASTLE HTS EL",3
"CASTLEBAY LN CHTR",4
"CASTRO MS",0
"CATSKILL AVE EL",4
"CDS AGGELER",0
"CDS ALONZO",0
"CDS JOHNSON",0
"CDS JOHNSTON",1
"CDS LONDON",1
"CDS TRI-C",0
"CDS WEST HOLLYWOOD",0
"CENTRAL HS",2
"CENTURY PARK EL",1
"CHANDLER EL",1
