School name,Cases among students and staff
"Unassigned",60
"102ND ST EEC",0
"107TH ST EL",0
"109TH ST EL",0
"10TH ST EL",2
"112TH ST EEC",1
"112TH ST EL",3
"116TH ST EL",3
"118TH ST EL",0
"122ND ST EL",1
"135TH ST EL",2
"153RD ST EL",2
"156TH ST EL",0
"15TH ST EL",0
"186TH ST EL",6
"1ST ST EL",1
"20TH ST EL",0
"232ND PL EL",0
"24TH ST EEC",0
"24TH ST EL",3
"28TH ST EEC",0
"28TH ST EL",0
"2ND ST EL",2
"32ND ST USC PA MAG",1
"36TH ST EEC",0
"37TH ST EEC",0
"3RD ST EL",0
"42ND ST EL",1
"49TH ST EL",1
"4TH ST EEC",0
"4TH ST EL",1
"4TH ST PC",2
"52ND ST EL",1
"54TH ST EL",1
"59TH ST EL",1
"61ST ST EL",2
"66TH ST EEC",0
"66TH ST EL",3
"6TH AVE EL",3
"74TH ST EL",1
"75TH ST EEC",1
"75TH ST EL",4
"7TH ST EL AI MAG",0
"92ND ST EL",5
"93RD ST EL",2
"95TH ST EEC",0
"95TH ST EL",3
"96TH ST EL",2
"97TH ST EEC",1
"99TH ST EL",1
"9TH ST EL",0
"ACAD ENRICH SCI MAG",0
"ADAMS MS",6
"ADDAMS HS",0
"AGGELER HS",0
"ALBION ST EEC",0
"ALBION ST EL",0
"ALDAMA EL",4
"ALEXANDER SCS",7
"ALEXANDRIA AVE EEC",0
"ALEXANDRIA AVE EL",1
"ALLESANDRO EL",1
"ALTA CALIFORNIA EL",4
"ALTA LOMA EL",2
"AMANECER PC",0
"AMBLER AVE EL",7
"AMESTOY EL",2
"ANATOLA AVE EL",2
"ANDASOL AVE EL",6
"ANGELES MESA EL",1
"ANGELOU COMMUNITY SH",2
"ANGEL'S GATE HS",0
"ANN ST EL",0
"ANNALEE AVE EL",0
"ANNANDALE EL",1
"ANTON EEC",1
"ANTON EL",3
"APPERSON ST EL",3
"ARAGON AVE EL",3
"ARLETA SH",5
"ARLINGTON HTS EL",0
"ARMINTA ST EEC",0
"ARMINTA ST EL",0
"ARROYO SECO MUS/S MAG",1
"ASCOT AVE EL",4
"ATWATER AVE EL",4
"AUDUBON MS",2
"AURORA EL",6
"AVALON GARDENS EL",0
"BACA ARTS ACAD",1
"BAKEWELL PC",2
"BALA",0
"BALBOA EL G/HG/HA MAG",2
"BALDWIN HILLS EL",4
"BANCROFT MS",0
"BANDINI ST EL",1
"BANNEKER CTC",1
"BANNING SH",13
"BARRETT EL",1
"BARTON HILL EL",3
"BASSETT ST EL",2
"BEACHY AVE EL",1
"BECKFORD CES",2
"BEETHOVEN ST EL",0
"BELL SH",5
"BELLINGHAM EL",4
"BELMONT SH",1
"BELVEDERE EL",0
"BELVEDERE MS",1
"BERENDO MS",1
"BERNSTEIN SH",1
"BERNSTEIN SH STEM",2
"BERTRAND AVE EL",1
"BETHUNE MS",4
"BIRMINGHAM CHS",0
"BLYTHE ST EL",0
"BONITA ST EL",1
"BOYLE HEIGHTS HS",0
"BOYLE HTS STEM MAG",0
"BRADDOCK DR EL",3
"BRADLEY EEC",4
"BRADLEY GLBL AWR MAG",0
"BRAINARD EL",0
"BRAVO SH MEDICAL MAG",3
"BREED ST EL",1
"BRENTWOOD EL SCI MAG",2
"BRIDGE ST EL",1
"BRIDGES SCHOOL",4
"BRIGHT EL",0
"BROAD AVE EL",3
"BROADACRES AV EL",1
"BROADOUS EEC",0
"BROADOUS EL",2
"BROADWAY EL",0
"BROCKTON AVE EL",0
"BROOKLYN AVE EEC",0
"BROOKLYN AVE EL",2
"BRYSON AVE EL",4
"BUCHANAN ST EL",1
"BUDLONG AVE EL",0
"BURBANK BLVD EL",0
"BURBANK MS A/T/C MAG",5
"BURKE HS",0
"BURROUGHS MS",5
"BURTON ST EL",6
"BUSHNELL WAY EL",2
"BYRD MS",7
"CABRILLO AVE EEC",0
"CABRILLO AVE EL",1
"CAHUENGA EL",0
"CALABASH CA",1
"CALAHAN ST EL",1
"CALVERT CES",1
"CAMELLIA AVE EL",2
"CANFIELD AVE EL",3
"CANOGA PARK EEC",0
"CANOGA PARK EL",0
"CANOGA PRK SH",11
"CANTARA ST EL",5
"CANTERBURY AVE EL",1
"CANYON CEL",2
"CAPISTRANO AVE EL",0
"CARDENAS EL",2
"CARLSON HOSPITAL",0
"CARNEGIE MS",2
"CAROLDALE LC",3
"CARPENTER COMM CHTR",1
"CARSON ACAD ED & EMP",1
"CARSON ACAD MED ARTS",1
"CARSON SH",4
"CARSON ST EL",1
"CARSON-GORE ACADEMY",0
"CARTHAY EL ES MAG",0
"CARVER MS",3
"CASTELAR ST EEC",0
"CASTELAR ST EL",0
"CASTLE HTS EL",2
"CASTLEBAY LN CHTR",0
"CASTRO MS",0
"CATSKILL AVE EL",1
"CDS AGGELER",0
"CDS ALONZO",0
"CDS JOHNSON",0
"CDS JOHNSTON",0
"CDS LONDON",0
"CDS TRI-C",0
"CDS WEST HOLLYWOOD",0
"CENTRAL HS",0
"CENTURY PARK EL",1
"CHANDLER EL",1
"CHAPMAN EL",0
"CHARNOCK ROAD EL",1
"CHASE ST EEC",0
"CHASE ST EL",0
"CHATSWORTH CHS",4
"CHATSWORTH UP/CD MAG",1
"CHAVEZ EL",0
"CHAVEZ LA ARTES MAG",0
"CHAVEZ LA ASE",1
"CHAVEZ LA SJ HUM AC",2
"CHAVEZ LA TECH PREP",3
"CHEREMOYA AVE EL",0
"CHEVIOT HILLS HS",1
"CIENEGA EL",0
"CIMARRON AVE EL",2
"CITY OF ANGELS",4
"CITY TERRACE EL",1
"CLEVELAND CHS",5
"CLEVELAND EEC",0
"CLEVELAND INFANT CTR",0
"CLIFFORD ST M/T MAG",0
"CLINTON MS",9
"CLOVER AVE EL",2
"COCHRAN MS",2
"COEUR D ALENE AVE EL",2
"COHASSET ST EL",1
"COLDWATER CYN EL",6
"COLFAX CEL",1
"COLISEUM ST EL",0
"COLLINS EEC",0
"COLUMBUS AVE EL",2
"COLUMBUS MS",0
"COMMONWLTH AVE EL",0
"COMMUNITY EL MAG CS",4
"COMPTON AVE EL",1
"CONTRERAS LC ALC",1
"CONTRERAS LC BUS TR",3
"CONTRERAS LC GLBL ST",0
"CONTRERAS LC SOC JUS",1
"CORONA AVE EL",0
"CORTINES SCH OF VAPA",3
"COUGHLIN EL",5
"COWAN AVE EL",1
"CRENSHAW ARTS TECH",0
"CRENSHAW MAG STEMM",3
"CRESCENT HTS BL EEC",1
"CRESCENT HTS BL EL MG",0
"CRESTWOOD ST STEAM MG",0
"CRUZ EEC",0
"CURTISS MS",3
"DACOTAH EEC",0
"DAHLIA HTS EL",0
"DANA MS",6
"DANUBE AVE EL",1
"DARBY AVE EL",3
"DAYTON EEC",0
"DAYTON HEIGHTS EL",0
"DBM",1
"DE LA TORRE JR EL",0
"DEARBORN EL CA",0
"DEL AMO EL",1
"DEL OLMO EL",2
"DELEVAN DRIVE EL",0
"DENA EL",1
"DENKER AVE EL",1
"DIXIE CYN CC",2
"DODSON MS",0
"DOLORES ST EEC",0
"DOLORES ST EL",2
"DOMINGUEZ EL",4
"DORRIS PLACE EL",2
"DORSEY SH",4
"DREW MS",1
"DREW MS UP PBLC SRVC",2
"DYER ST EL",6
"DYMALLY SH",1
"EAGLE ROCK EL",0
"EAGLE ROCK HS",3
"EAGLE TREE CONTN HS",0
"EARHART HS",0
"EARLY COLLEGE ACAD",0
"EAST VALLEY SH",2
"EASTMAN AVE EEC",0
"EASTMAN AVE EL",1
"EDISON MS",2
"EINSTEIN HS",0
"EL DORADO AVE EL",1
"EL ORO WAY CES",1
"EL SERENO EEC",0
"EL SERENO EL",2
"EL SERENO MS",4
"ELA OCC CTR",0
"ELEMENTARY CDS",0
"ELIZABETH LC",0
"ELLINGTON HS",1
"ELYSIAN HTS ARTS MAG",2
"EMELITA ST EL",2
"EMERSON CC",1
"ENADIA WAY",1
"ENCINO CEL",3
"ERWIN EL",0
"ESCALANTE EEC",0
"ESCALANTE EL",4
"ESCUTIA PC",0
"ESHELMAN AVE EL",0
"ESPERANZA EL",1
"ESTRELLA EEC",0
"ESTRELLA EL",3
"EUCLID AVE EL",4
"EVANS CAS",0
"EVERGREEN AVE EEC",0
"EVERGREEN AVE EL",3
"EVERGREEN HS",0
"FAIR AVE EEC",0
"FAIR AVE EL",2
"FAIRBURN AVE EL",3
"FAIRFAX SH",2
"FARMDALE EL",3
