Community of Schools,Staff and Student Case Rate
"Fremont Community of Schools",45.709061821506111
"Achievement Network Community of Schools",35.438077171624521
"MacArthur Park Community of Schools",36.909843694835835
"Gardena Community of Schools",29.176848170976331
"San Pedro Community of Schools",34.321246870709842
"Boyle Heights Community of Schools",27.433448486080064
"Jefferson/South Central (West) Community of Schools",36.05682555707795
"Carson Community of Schools",42.198647680546422
"Manual Arts/Vermont Square Community of Schools",29.903274408547734
"LA Mid-City Community of Schools",30.3951367781155
"Fairfax Community of Schools",11.485744914367391
"H.E.E.T. (C/D) Community of Schools",36.166365280289334
"Historic Central Avenue Community of Schools",31.049150805725464
"East Los Angeles Community of Schools",23.181686467690525
"South Mid-City Community of Schools",38.85507058671157
"Rivera Community of Schools",33.842623546211691
"H.E.E.T. (W) Community of Schools",25.118743149433687
"Reseda Community of Schools",24.223339187306973
"Kennedy/NAHS/VAAS Community of Schools",43.958416880032082
"Canoga Park/Chatsworth Community of Schools",31.957390146471372
"Lincoln Heights/El Sereno Community of Schools",18.610672816280292
"Eagle Rock/Highland Park Community of Schools",22.074811536296512
"Downtown Community of Schools",12.102807851421529
"Glassell Park/Los Feliz Community of Schools",26.760292008306397
"Monroe Community of Schools",37.132274444640423
"Cleveland Community of Schools",40.7481762706474
"Sunland/Tujunga Community of Schools",41.528239202657808
"Sun Valley Community of Schools",33.571194353793544
"Hamilton Community of Schools",23.642634623943035
"Hollywood Community of Schools",38.832051377791053
"Wilmington Community of Schools",39.05201239901394
"Venice Community of Schools",17.444395987788923
"Bell/Cudahy/Maywood Community of Schools",25.15367322234275
"North Hollywood/Valley Village Community of Schools",45.912060745188064
"Kreatwn/PcoUnion Community of Schools",25.634178905206941
" Community of Schools",0
"West LA Community of Schools",29.581584915582919
"San Fernando Valley/Sylmar Community of Schools",35.181583436776037
"South Gate Community of Schools",32.596371882086167
"Panorama City Community of Schools",26.507000966725919
"Taft Community of Schools",33.732501264968796
"Van Nuys/Valley Glen Community of Schools",27.633185527922368
"Harbor City/Lomita Community of Schools",46.443447845459431
"Westchester Community of Schools",52.910052910052912
"Huntington Park/Vernon Community of Schools",24.194692185114427
