School name,Cases among students and staff
"102ND ST EEC",0
"107TH ST CSPP",0
"107TH ST EL",2
"107TH ST EL STEAM MAG",1
"109TH ST EL",0
"10TH ST EL",2
"112TH ST EEC",0
"112TH ST EL",1
"116TH ST EL",4
"116TH ST EL DTS",0
"118TH ST EL",3
"118TH ST EL DTS",0
"122ND ST EL",3
"122ND ST EL DTS",0
"135TH ST EL",1
"135TH ST EL DTS",0
"153RD ST EL",1
"153RD ST EL DTS",0
"156TH ST EL",5
"15TH ST EL",3
"186TH ST CSPP",0
"186TH ST EL",2
"1ST ST EL",1
"1ST ST SPS",0
"20TH ST EL",1
"20TH ST EL DTS",1
"232ND PL EL",4
"232ND PL STEMM MAG",0
"24TH ST EEC",0
"24TH ST EL",7
"28TH ST EEC",0
"28TH ST EL",1
"28TH ST EL DOS",0
"2ND ST EL",1
"2ND ST EL DTS",1
"32ND ST USC PA MAG",1
"36TH ST EEC",0
"37TH ST EEC",0
"3RD ST EL",0
"3RD ST EL DTK",0
"3RD ST EL GIFTED MAG",0
"42ND ST EL",4
"42ND ST EL DWS",0
"49TH ST EL",5
"4TH ST EEC",0
"4TH ST EL",2
"4TH ST PC",0
"4TH ST PC DTS",0
"52ND ST EL",3
"54TH ST EL",0
"59TH ST EL",2
"61ST ST CSPP",0
"61ST ST EL",0
"61ST ST EL DTS",0
"66TH ST EEC",0
"66TH ST EL",0
"6TH AVE EL",3
"6TH AVE EL DTS",0
"74TH ST EL",2
"74TH ST EL GIFTED MG",0
"75TH ST EEC",0
"75TH ST EL",5
"75TH ST EL DTS",1
"7TH ST EL AI MAG",1
"92ND ST EL",3
"93RD ST EL",0
"93RD ST EL DTS",0
"93RD ST EL STEAM MAG",1
"95TH ST EEC",0
"95TH ST EL",1
"96TH ST EL",1
"96TH ST EL DTS",0
"97TH ST EEC",0
"99TH ST CSPP",0
"99TH ST EL",4
"9TH ST EL",1
"ACAD ENRICH SCI MAG",1
"ADAMS MS",4
"ADAMS MS GIFTED MAG",1
"ADDAMS HS",1
"AGGELER HS",0
"ALBION ST EEC",0
"ALBION ST EL",1
"ALDAMA EL",0
"ALDAMA EL DTS",1
"ALEXANDER SCS",2
"ALEXANDER SCS DTS",1
"ALEXANDRIA AV EL DTS",0
"ALEXANDRIA AVE EEC",0
"ALEXANDRIA AVE EL",3
"ALLESANDRO EL",2
"ALLESANDRO EL CL MAG",1
"ALLESANDRO SPS",0
"ALTA CAL GSTEAM MAG",0
"ALTA CALIFORNIA EL",0
"ALTA LOMA EL",1
"ALTA LOMA EL DTS",1
"AMANECER PC",1
"AMBLER AV GIFTED MAG",1
"AMBLER AVE EL",1
"AMBLER AVE EL DTS",1
"AMESTOY EL",3
"AMESTOY EL DTJ",0
"AMESTOY EL ML/MC MAG",0
"AMESTOY SPS",1
"ANATOLA AVE EL",3
"ANDASOL AVE EL",4
"ANDASOL AVE SPS",0
"ANGELES MESA EL",0
"ANGELES MSA DREAMS MG",3
"ANGELOU COMMUNITY SH",2
"ANGEL'S GATE HS",0
"ANN ST EL",0
"ANNALEE AVE CSPP",0
"ANNALEE AVE EL",2
"ANNALEE AVE STEAM MAG",2
"ANNANDALE EL",0
"ANTON EEC",0
"ANTON EL",3
"ANTON EL DTS",0
"APPERSON ST EL",0
"ARAGON AVE EL",1
"ARLETA SH",2
"ARLINGTON HTS DTS",0
"ARLINGTON HTS EL",2
"ARMINTA ST EEC",0
"ARMINTA ST EL",2
"ARROYO SECO MUS/S MAG",1
"ASCOT AVE EL",0
"ATWATER AVE EL",1
"ATWATER AVE EL DTS",0
"AUDUBON MS",2
"AUDUBON MS GIFTED MG",1
"AURORA EL",3
"AURORA EL DTS",0
"AVALON GARDENS EL",5
"BACA ARTS ACA DTS",1
"BACA ARTS ACAD",1
"BAKEWELL PC",0
"BALA",1
"BALBOA EL G/HG/HA MAG",6
"BALDWIN HILLS EL",1
