Community of Schools,Staff and Student Case Rate
"Fremont Community of Schools",39.246467817896395
"Achievement Network Community of Schools",35.510621853654463
"MacArthur Park Community of Schools",35.340797738188947
"Gardena Community of Schools",31.667539553974883
"San Pedro Community of Schools",40.397919507145382
"Boyle Heights Community of Schools",26.464451117105195
"Jefferson/South Central (West) Community of Schools",26.457253496566572
"Carson Community of Schools",43.239418626362287
"Manual Arts/Vermont Square Community of Schools",31.080925520893288
"LA Mid-City Community of Schools",21.319688732544506
"Fairfax Community of Schools",16.617241026689847
"H.E.E.T. (C/D) Community of Schools",44.747734645933555
"Historic Central Avenue Community of Schools",30.049010973069869
"East Los Angeles Community of Schools",23.201856148491881
"South Mid-City Community of Schools",40.330711837063923
"Rivera Community of Schools",35.559230928261321
"H.E.E.T. (W) Community of Schools",29.761904761904763
"Reseda Community of Schools",25.270137772791138
"Kennedy/NAHS/VAAS Community of Schools",47.061001859295324
"Canoga Park/Chatsworth Community of Schools",28.943119154251594
"Lincoln Heights/El Sereno Community of Schools",16.997167138810198
"Eagle Rock/Highland Park Community of Schools",20.992155562921223
"Downtown Community of Schools",25.317570393853334
"Glassell Park/Los Feliz Community of Schools",26.75828704149675
"Monroe Community of Schools",45.519573416569123
"Cleveland Community of Schools",44.785923286689624
"Sunland/Tujunga Community of Schools",41.603827552134796
"Sun Valley Community of Schools",34.381983840467591
"Hamilton Community of Schools",26.429266935596051
"Hollywood Community of Schools",40.393160091557831
"Wilmington Community of Schools",47.6760959389746
"Venice Community of Schools",17.421602787456447
"Bell/Cudahy/Maywood Community of Schools",29.138446999527485
"North Hollywood/Valley Village Community of Schools",37.114932574539161
"Kreatwn/PcoUnion Community of Schools",16.034549108479069
" Community of Schools",0
"West LA Community of Schools",35.094645873088986
"San Fernando Valley/Sylmar Community of Schools",39.887517201491789
"South Gate Community of Schools",34.04907322678811
"Panorama City Community of Schools",32.776138970829237
"Taft Community of Schools",41.78754249069825
"Van Nuys/Valley Glen Community of Schools",26.365711713449731
"Harbor City/Lomita Community of Schools",53.705692803437167
"Westchester Community of Schools",61.371941864033253
"Huntington Park/Vernon Community of Schools",19.204595743259603
