Community of Schools,Staff and Student Case Rate
"Fremont Community of Schools",51.446210129187151
"Achievement Network Community of Schools",50.022927174955193
"MacArthur Park Community of Schools",40.123902611263581
"Gardena Community of Schools",34.04834865509023
"San Pedro Community of Schools",53.485649699269366
"Boyle Heights Community of Schools",32.527597633617276
"Jefferson/South Central (West) Community of Schools",37.271262654194821
"Carson Community of Schools",52.008713912821619
"Manual Arts/Vermont Square Community of Schools",35.616627220294582
"LA Mid-City Community of Schools",31.942078364565589
"Fairfax Community of Schools",19.144618447754336
"H.E.E.T. (C/D) Community of Schools",44.581905319178581
"Historic Central Avenue Community of Schools",37.275184046221227
"East Los Angeles Community of Schools",28.152453817555539
"South Mid-City Community of Schools",54.679406008978937
"Rivera Community of Schools",42.929793276533914
"H.E.E.T. (W) Community of Schools",34.285714285714285
"Reseda Community of Schools",33.269482810767215
"Kennedy/NAHS/VAAS Community of Schools",54.752265278581071
"Canoga Park/Chatsworth Community of Schools",38.809536492378875
"Lincoln Heights/El Sereno Community of Schools",22.647491790284224
"Eagle Rock/Highland Park Community of Schools",25.39388117871772
"Downtown Community of Schools",25.290288529204787
"Glassell Park/Los Feliz Community of Schools",29.967036260113876
"Monroe Community of Schools",52.920368771411859
"Cleveland Community of Schools",54.662187680136753
"Sunland/Tujunga Community of Schools",46.736251752609441
"Sun Valley Community of Schools",37.483015508597667
"Hamilton Community of Schools",29.188558085230589
"Hollywood Community of Schools",43.326261690620605
"Wilmington Community of Schools",51.273286617672191
"Venice Community of Schools",22.387502798437851
"Bell/Cudahy/Maywood Community of Schools",33.822580898894081
"North Hollywood/Valley Village Community of Schools",47.680856136261291
"Kreatwn/PcoUnion Community of Schools",25.641847495112021
" Community of Schools",0
"West LA Community of Schools",39.454216669406541
"San Fernando Valley/Sylmar Community of Schools",43.159257660768233
"South Gate Community of Schools",43.234201797408787
"Panorama City Community of Schools",34.310667498440424
"Taft Community of Schools",44.981726173741912
"Van Nuys/Valley Glen Community of Schools",34.714632860614323
"Harbor City/Lomita Community of Schools",56.614455557652384
"Westchester Community of Schools",64.073991531089817
"Huntington Park/Vernon Community of Schools",27.512609946225353
