Community of Schools,Staff and Student Case Rate
"Fremont Community of Schools",16.3265306122449
"Achievement Network Community of Schools",29.061319383900031
"MacArthur Park Community of Schools",11.217049915872126
"Gardena Community of Schools",14.587182728775648
"San Pedro Community of Schools",11.083570118694961
"Boyle Heights Community of Schools",13.201186075795118
"Jefferson/South Central (West) Community of Schools",16.827934371055953
"Carson Community of Schools",13.731548232063165
"Manual Arts/Vermont Square Community of Schools",16.0926939169617
"LA Mid-City Community of Schools",12.17618946150802
"Fairfax Community of Schools",8.94134477825465
"H.E.E.T. (C/D) Community of Schools",11.121614858477452
"Historic Central Avenue Community of Schools",15.492026770222258
"East Los Angeles Community of Schools",6.624106780601303
"South Mid-City Community of Schools",7.175145296692258
"Rivera Community of Schools",13.197726691577376
"H.E.E.T. (W) Community of Schools",16.0333493666827
"Reseda Community of Schools",13.108010002419942
"Kennedy/NAHS/VAAS Community of Schools",20.09459919003308
"Canoga Park/Chatsworth Community of Schools",11.404849341940192
"Lincoln Heights/El Sereno Community of Schools",6.4458947707678673
"Eagle Rock/Highland Park Community of Schools",11.028033260548314
"Downtown Community of Schools",8.7804021424181222
"Glassell Park/Los Feliz Community of Schools",10.694500887643573
"Monroe Community of Schools",11.117287381878821
"Cleveland Community of Schools",22.868278714603882
"Sunland/Tujunga Community of Schools",2.5978749383004702
"Sun Valley Community of Schools",17.953741793969105
"Hamilton Community of Schools",9.72951936174353
"Hollywood Community of Schools",14.918248000954767
"Wilmington Community of Schools",13.435606800859878
"Venice Community of Schools",14.953643704516
"Bell/Cudahy/Maywood Community of Schools",11.804424298226976
"North Hollywood/Valley Village Community of Schools",14.96347152539389
"Kreatwn/PcoUnion Community of Schools",13.875843224319016
" Community of Schools",0
"West LA Community of Schools",8.76894915105611
"San Fernando Valley/Sylmar Community of Schools",16.605117032864847
"South Gate Community of Schools",7.089332681114727
"Panorama City Community of Schools",12.491607201411552
"Taft Community of Schools",23.292798509260898
"Van Nuys/Valley Glen Community of Schools",12.856114367993417
"Harbor City/Lomita Community of Schools",13.067530091617906
"Westchester Community of Schools",19.459038723487058
"Huntington Park/Vernon Community of Schools",17.511090357226244
