Community of Schools,Staff and Student Case Rate
"Fremont Community of Schools",45.055008068942357
"Achievement Network Community of Schools",45.9146405092351
"MacArthur Park Community of Schools",36.96382366648988
"Gardena Community of Schools",21.972388032372653
"San Pedro Community of Schools",38.407891811033167
"Boyle Heights Community of Schools",33.601466245799813
"Jefferson/South Central (West) Community of Schools",38.528685810607428
"Carson Community of Schools",36.382945248584015
"Manual Arts/Vermont Square Community of Schools",26.529788338427824
"LA Mid-City Community of Schools",28.992584002197333
"Fairfax Community of Schools",19.182321572438841
"H.E.E.T. (C/D) Community of Schools",36.29358720232279
"Historic Central Avenue Community of Schools",30.049010973069869
"East Los Angeles Community of Schools",22.387502798437851
"South Mid-City Community of Schools",40.330711837063923
"Rivera Community of Schools",38.846827784573676
"H.E.E.T. (W) Community of Schools",16.066838046272494
"Reseda Community of Schools",18.199650162280214
"Kennedy/NAHS/VAAS Community of Schools",46.359611506455572
"Canoga Park/Chatsworth Community of Schools",30.494080336654644
"Lincoln Heights/El Sereno Community of Schools",25.081109070461736
"Eagle Rock/Highland Park Community of Schools",25.4036978948066
"Downtown Community of Schools",20.895194105355767
"Glassell Park/Los Feliz Community of Schools",26.790402606170368
"Monroe Community of Schools",44.6283296917856
"Cleveland Community of Schools",38.836111609009983
"Sunland/Tujunga Community of Schools",39.024897884850532
"Sun Valley Community of Schools",31.278590586708162
"Hamilton Community of Schools",23.6541485202243
"Hollywood Community of Schools",41.858518208455415
"Wilmington Community of Schools",34.231921266581089
"Venice Community of Schools",21.191722762403391
"Bell/Cudahy/Maywood Community of Schools",27.593818984547461
"North Hollywood/Valley Village Community of Schools",37.991571172349204
"Kreatwn/PcoUnion Community of Schools",24.601035382706545
" Community of Schools",0
"West LA Community of Schools",21.962816950902123
"San Fernando Valley/Sylmar Community of Schools",25.278563113254616
"South Gate Community of Schools",28.388323882387173
"Panorama City Community of Schools",25.037948140149915
"Taft Community of Schools",37.775884518317284
"Van Nuys/Valley Glen Community of Schools",31.567080045095828
"Harbor City/Lomita Community of Schools",47.987436016751978
"Westchester Community of Schools",41.746681138849461
"Huntington Park/Vernon Community of Schools",25.896564110703633
