Community of Schools,Staff and Student Case Rate
"Fremont Community of Schools",27.037656081014649
"Achievement Network Community of Schools",33.397344911079571
"MacArthur Park Community of Schools",17.666425760860836
"Gardena Community of Schools",18.263505862585383
"San Pedro Community of Schools",31.306174385490092
"Boyle Heights Community of Schools",21.358393848782573
"Jefferson/South Central (West) Community of Schools",20.452850164825911
"Carson Community of Schools",28.490868185524675
"Manual Arts/Vermont Square Community of Schools",23.091755088845527
"LA Mid-City Community of Schools",10.68604402650139
"Fairfax Community of Schools",15.343110304177161
"H.E.E.T. (C/D) Community of Schools",33.429908624916422
"Historic Central Avenue Community of Schools",35.217103082532319
"East Los Angeles Community of Schools",10.777291417959942
"South Mid-City Community of Schools",15.826654964533905
"Rivera Community of Schools",33.049657109807484
"H.E.E.T. (W) Community of Schools",22.934201775107219
"Reseda Community of Schools",20.246193715581473
"Kennedy/NAHS/VAAS Community of Schools",30.933176605238536
"Canoga Park/Chatsworth Community of Schools",28.185966435846456
"Lincoln Heights/El Sereno Community of Schools",12.125719459354588
"Eagle Rock/Highland Park Community of Schools",22.105554020447638
"Downtown Community of Schools",16.50891481399956
"Glassell Park/Los Feliz Community of Schools",18.221574344023324
"Monroe Community of Schools",29.690384954397423
"Cleveland Community of Schools",27.872622116925648
"Sunland/Tujunga Community of Schools",36.403349108117951
"Sun Valley Community of Schools",31.256348945879633
"Hamilton Community of Schools",27.8473962684489
"Hollywood Community of Schools",22.421859818532415
"Wilmington Community of Schools",28.102243292116707
"Venice Community of Schools",26.232948583420775
"Bell/Cudahy/Maywood Community of Schools",17.33894484639271
"North Hollywood/Valley Village Community of Schools",24.711187990362639
"Kreatwn/PcoUnion Community of Schools",18.168410477829195
" Community of Schools",0
"West LA Community of Schools",13.173639547265921
"San Fernando Valley/Sylmar Community of Schools",28.596700073819388
"South Gate Community of Schools",14.200511218403863
"Panorama City Community of Schools",21.915406530791149
"Taft Community of Schools",35.374609070371356
"Van Nuys/Valley Glen Community of Schools",18.030200585981518
"Harbor City/Lomita Community of Schools",24.733388619731425
"Westchester Community of Schools",19.481784531463084
"Huntington Park/Vernon Community of Schools",22.574873329877427
