School name,Cases among students and staff
"102ND ST EEC",0
"107TH ST EL",3
"109TH ST EL",0
"10TH ST EL",2
"112TH ST EEC",0
"112TH ST EL",1
"116TH ST EL",5
"118TH ST EL",3
"122ND ST EL",3
"135TH ST EL",1
"153RD ST EL",1
"156TH ST EL",5
"15TH ST EL",3
"186TH ST EL",3
"1ST ST EL",1
"20TH ST EL",2
"232ND PL EL",4
"24TH ST EEC",0
"24TH ST EL",7
"28TH ST EEC",0
"28TH ST EL",2
"2ND ST EL",2
"32ND ST USC PA MAG",3
"36TH ST EEC",0
"37TH ST EEC",0
"3RD ST EL",0
"42ND ST EL",4
"49TH ST EL",5
"4TH ST EEC",0
"4TH ST EL",1
"4TH ST PC",0
"52ND ST EL",3
"54TH ST EL",0
"59TH ST EL",2
"61ST ST EL",1
"66TH ST EEC",0
"66TH ST EL",0
"6TH AVE EL",3
"74TH ST EL",2
"75TH ST EEC",0
"75TH ST EL",6
"7TH ST EL AI MAG",1
"92ND ST EL",3
"93RD ST EL",1
"95TH ST EEC",0
"95TH ST EL",1
"96TH ST EL",1
"97TH ST EEC",0
"99TH ST EL",4
"9TH ST EL",1
"ACAD ENRICH SCI MAG",1
"ADAMS MS",5
"ADDAMS HS",1
"AGGELER HS",0
"ALBION ST EEC",0
"ALBION ST EL",1
"ALDAMA EL",1
"ALEXANDER SCS",3
"ALEXANDRIA AVE EEC",0
"ALEXANDRIA AVE EL",3
"ALLESANDRO EL",3
"ALTA CALIFORNIA EL",0
"ALTA LOMA EL",2
"AMANECER PC",1
"AMBLER AVE EL",5
"AMESTOY EL",4
"ANATOLA AVE EL",3
"ANDASOL AVE EL",4
"ANGELES MESA EL",3
"ANGELOU COMMUNITY SH",2
"ANGEL'S GATE HS",0
"ANN ST EL",0
"ANNALEE AVE EL",4
"ANNANDALE EL",0
"ANTON EEC",0
"ANTON EL",3
"APPERSON ST EL",0
"ARAGON AVE EL",1
"ARLETA SH",2
"ARLINGTON HTS EL",2
"ARMINTA ST EEC",0
"ARMINTA ST EL",1
"ARROYO SECO MUS/S MAG",1
"ASCOT AVE EL",0
"ATWATER AVE EL",1
"AUDUBON MS",3
"AURORA EL",3
"AVALON GARDENS EL",0
"BACA ARTS ACAD",2
"BAKEWELL PC",0
"BALA",1
"BALBOA EL G/HG/HA MAG",5
"BALDWIN HILLS EL",4
"BANCROFT MS",2
"BANDINI ST EL",2
"BANNEKER CTC",0
"BANNING SH",14
"BARRETT EL",0
"BARTON HILL EL",8
"BASSETT ST EL",6
"BEACHY AVE EL",5
"BECKFORD CES",2
"BEETHOVEN ST EL",0
"BELL SH",8
"BELLINGHAM EL",2
"BELMONT SH",0
"BELVEDERE EL",1
"BELVEDERE MS",4
"BERENDO MS",3
"BERNSTEIN SH",3
"BERNSTEIN SH STEM",2
"BERTRAND AVE EL",3
"BETHUNE MS",4
"BIRMINGHAM CHS",0
"BLYTHE ST EL",1
"BONITA ST EL",3
"BOYLE HEIGHTS HS",0
"BOYLE HTS STEM MAG",0
"BRADDOCK DR EL",2
"BRADLEY EEC",0
"BRADLEY GLBL AWR MAG",2
"BRAINARD EL",1
"BRAVO SH MEDICAL MAG",1
"BREED ST EL",1
"BRENTWOOD EL SCI MAG",2
"BRIDGE ST EL",0
"BRIDGES SCHOOL",9
"BRIGHT EL",2
"BROAD AVE EL",6
"BROADACRES AV EL",5
"BROADOUS EEC",0
"BROADOUS EL",5
"BROADWAY EL",1
"BROCKTON AVE EL",1
"BROOKLYN AVE EEC",0
"BROOKLYN AVE EL",1
"BRYSON AVE EL",7
"BUCHANAN ST EL",1
"BUDLONG AVE EL",3
"BURBANK BLVD EL",2
"BURBANK MS A/T/C MAG",6
"BURKE HS",1
"BURROUGHS MS",19
"BURTON ST EL",0
"BUSHNELL WAY EL",0
"BYRD MS",4
"CABRILLO AVE EEC",0
"CABRILLO AVE EL",9
"CAHUENGA EL",2
"CALABASH CA",6
"CALAHAN ST EL",1
"CALVERT CES",2
"CAMELLIA AVE EL",1
"CANFIELD AVE EL",3
"CANOGA PARK EEC",0
"CANOGA PARK EL",3
"CANOGA PRK SH",4
"CANTARA ST EL",2
"CANTERBURY AVE EL",3
"CANYON CEL",4
"CAPISTRANO AVE EL",2
"CARDENAS EL",3
"CARLSON HOSPITAL",0
"CARNEGIE MS",1
"CAROLDALE LC",2
"CARPENTER COMM CHTR",4
"CARSON ACAD ED & EMP",4
"CARSON ACAD MED ARTS",1
"CARSON SH",10
"CARSON ST EL",9
"CARSON-GORE ACADEMY",2
"CARTHAY EL ES MAG",2
"CARVER MS",2
"CASTELAR ST EEC",0
"CASTELAR ST EL",0
"CASTLE HTS EL",0
"CASTLEBAY LN CHTR",3
"CASTRO MS",0
"CATSKILL AVE EL",1
"CDS AGGELER",0
"CDS ALONZO",0
"CDS JOHNSON",0
"CDS JOHNSTON",2
"CDS LONDON",1
"CDS TRI-C",0
"CDS WEST HOLLYWOOD",0
"CENTRAL HS",0
"CENTURY PARK EL",3
"CHANDLER EL",1
"CHAPMAN EL",1
"CHARNOCK ROAD EL",1
"CHASE ST EEC",1
"CHASE ST EL",2
"CHATSWORTH CHS",4
"CHATSWORTH UP/CD MAG",2
"CHAVEZ EL",0
"CHAVEZ LA ARTES MAG",2
"CHAVEZ LA ASE",2
"CHAVEZ LA SJ HUM AC",2
"CHAVEZ LA TECH PREP",3
"CHEREMOYA AVE EL",0
"CHEVIOT HILLS HS",0
"CIENEGA EL",6
"CIMARRON AVE EL",4
"CITY OF ANGELS",3
"CITY TERRACE EL",1
"CLEVELAND CHS",11
"CLEVELAND EEC",0
"CLEVELAND INFANT CTR",0
"CLIFFORD ST M/T MAG",1
"CLINTON MS",0
"CLOVER AVE EL",1
"COCHRAN MS",1
"COEUR D ALENE AVE EL",1
"COHASSET ST EL",1
"COLDWATER CYN EL",3
"COLFAX CEL",0
"COLISEUM ST EL",1
"COLLINS EEC",0
"COLUMBUS AVE EL",5
"COLUMBUS MS",1
"COMMONWLTH AVE EL",2
"COMMUNITY EL MAG CS",1
"COMPTON AVE EL",2
"CONTRERAS LC ALC",1
"CONTRERAS LC BUS TR",2
"CONTRERAS LC GLBL ST",1
"CONTRERAS LC SOC JUS",2
"CORONA AVE EL",2
"CORTINES SCH OF VAPA",2
"COUGHLIN EL",6
"COWAN AVE EL",0
"CRENSHAW ARTS TECH",1
"CRENSHAW MAG STEMM",5
"CRESCENT HTS BL EEC",0
"CRESCENT HTS BL EL MG",2
"CRESTWOOD ST STEAM MG",5
"CRUZ EEC",0
"CURTISS MS",3
"DACOTAH EEC",1
"DAHLIA HTS EL",1
"DANA MS",11
"DANUBE AVE EL",1
"DARBY AVE EL",4
"DAYTON EEC",3
"DAYTON HEIGHTS EL",2
"DBM",4
"DE LA TORRE JR EL",2
"DEARBORN EL CA",6
"DEL AMO EL",0
"DEL OLMO EL",2
"DELEVAN DRIVE EL",0
"DENA EL",0
"DENKER AVE EL",5
"DIXIE CYN CC",3
"DODSON MS",8
"DOLORES ST EEC",1
"DOLORES ST EL",4
"DOMINGUEZ EL",3
"DORRIS PLACE EL",2
"DORSEY SH",5
"DREW MS",4
"DREW MS UP PBLC SRVC",1
"DYER ST EL",8
"DYMALLY SH",3
"EAGLE ROCK EL",3
"EAGLE ROCK HS",3
"EAGLE TREE CONTN HS",0
"EARHART HS",1
"EARLY COLLEGE ACAD",0
"EAST VALLEY SH",3
"EASTMAN AVE EEC",0
"EASTMAN AVE EL",0
"EDISON MS",4
"EINSTEIN HS",1
"EL DORADO AVE EL",3
"EL ORO WAY CES",6
"EL SERENO EEC",0
"EL SERENO EL",1
"EL SERENO MS",0
"ELA OCC CTR",1
"ELEMENTARY CDS",0
"ELIZABETH LC",3
"ELLINGTON HS",0
"ELYSIAN HTS ARTS MAG",1
"EMELITA ST EL",2
"EMERSON CC",0
"ENADIA WAY",0
"ENCINO CEL",0
"ERWIN EL",2
"ESCALANTE EEC",1
"ESCALANTE EL",3
"ESCUTIA PC",0
"ESHELMAN AVE EL",2
"ESPERANZA EL",7
"ESTRELLA EEC",0
"ESTRELLA EL",0
"EUCLID AVE EL",5
"EVANS CAS",1
"EVERGREEN AVE EEC",1
"EVERGREEN AVE EL",4
"EVERGREEN HS",1
"FAIR AVE EEC",0
"FAIR AVE EL",3
"FAIRBURN AVE EL",3
"FAIRFAX SH",4
"FARMDALE EL",0
"FERNANGELES EL",1
"FIGUEROA ST EL",5
"FISHBURN AVE EL",0
"FLEMING MS",7
"FLETCHER DR EL",0
"FLORENCE AVE EL",4
"FLOURNOY EL",0
"FORD BLVD EL",3
"FOSHAY LC",2
"FRANKLIN AVE EL",0
"FRANKLIN HS",5
"FREMONT SH",2
"FRIEDMAN OCC CTR",1
"FRIES AVE EL",0
"FROST MS",8
"FULLBRIGHT AVE EL",1
"FULTON COLLEGE PREP",3
"GAGE MS",4
"GAL KING SCH FOR STEM",0
"GARCETTI LA",1
"GARDEN GROVE EL",4
"GARDENA EEC",1
"GARDENA EL",0
"GARDENA SH",4
"GARDNER ST EL",3
"GARFIELD SH",5
"GARVANZA EL T/L MAG",0
"GARZA PC",0
"GATES ST EEC",0
"GATES ST EL",0
"GAULT ST EL",3
"GERMAIN ACAD AA",2
"GLASSELL PARK EEC",0
"GLASSELL PK STEAM MAG",1
"GLEDHILL ST EEC",0
"GLEDHILL ST EL",3
"GLEN ALTA EL",1
"GLENFELIZ BLVD EEC",0
"GLENFELIZ BLVD EL",1
"GLENWOOD EL",1
"GOMPERS MS",2
"GOMPERS MS UP MED MAG",1
"GRAHAM EEC",0
"GRAHAM EL",6
"GRANADA EL",4
"GRANADA HILLS CHT",0
"GRAND VW BL EL",3
"GRANT EEC",0
"GRANT EL",11
"GRANT SH",9
"GRAPE ST EL",5
"GRATTS EEC",0
"GRATTS LA FOR YS",7
"GREY HS",0
"GRIDLEY ST EL",2
"GRIFFIN AVE EL",0
"GRIFFITH JOYNER EL",0
"GRIFFITH MS STEAM MG",2
"GULF AVE EL",1
"HADDON AVE EEC",0
