School name,Cases among students and staff
"Unassigned",83
"102ND ST EEC",1
"107TH ST EL",3
"109TH ST EL",0
"10TH ST EL",6
"112TH ST EEC",0
"112TH ST EL",1
"116TH ST EL",3
"118TH ST EL",5
"122ND ST EL",5
"135TH ST EL",1
"153RD ST EL",2
"156TH ST EL",4
"15TH ST EL",3
"186TH ST EL",3
"1ST ST EL",2
"20TH ST EL",3
"232ND PL EL",4
"24TH ST EEC",0
"24TH ST EL",7
"28TH ST EEC",0
"28TH ST EL",2
"2ND ST EL",3
"32ND ST USC PA MAG",3
"36TH ST EEC",0
"37TH ST EEC",0
"3RD ST EL",2
"42ND ST EL",6
"49TH ST EL",5
"4TH ST EEC",0
"4TH ST EL",1
"4TH ST PC",1
"52ND ST EL",4
"54TH ST EL",1
"59TH ST EL",3
"61ST ST EL",5
"66TH ST EEC",0
"66TH ST EL",4
"6TH AVE EL",5
"74TH ST EL",4
"75TH ST EEC",0
"75TH ST EL",5
"7TH ST EL AI MAG",1
"92ND ST EL",6
"93RD ST EL",1
"95TH ST EEC",0
"95TH ST EL",2
"96TH ST EL",1
"97TH ST EEC",0
"99TH ST EL",6
"9TH ST EL",1
"ACAD ENRICH SCI MAG",2
"ADAMS MS",4
"ADDAMS HS",1
"AGGELER HS",0
"ALBION ST EEC",0
"ALBION ST EL",2
"ALDAMA EL",1
"ALEXANDER SCS",5
"ALEXANDRIA AVE EEC",0
"ALEXANDRIA AVE EL",4
"ALLESANDRO EL",3
"ALTA CALIFORNIA EL",5
"ALTA LOMA EL",4
"AMANECER PC",2
"AMBLER AVE EL",5
"AMESTOY EL",5
"ANATOLA AVE EL",3
"ANDASOL AVE EL",5
"ANGELES MESA EL",2
"ANGELOU COMMUNITY SH",4
"ANGEL'S GATE HS",0
"ANN ST EL",0
"ANNALEE AVE EL",3
"ANNANDALE EL",0
"ANTON EEC",0
"ANTON EL",3
"APPERSON ST EL",3
"ARAGON AVE EL",1
"ARLETA SH",4
"ARLINGTON HTS EL",2
"ARMINTA ST EEC",0
"ARMINTA ST EL",0
"ARROYO SECO MUS/S MAG",2
"ASCOT AVE EL",2
"ATWATER AVE EL",1
"AUDUBON MS",3
"AURORA EL",5
"AVALON GARDENS EL",0
"BACA ARTS ACAD",5
"BAKEWELL PC",0
"BALA",1
"BALBOA EL G/HG/HA MAG",7
"BALDWIN HILLS EL",3
"BANCROFT MS",2
"BANDINI ST EL",2
"BANNEKER CTC",0
"BANNING SH",33
"BARRETT EL",3
"BARTON HILL EL",8
"BASSETT ST EL",7
"BEACHY AVE EL",6
"BECKFORD CES",0
"BEETHOVEN ST EL",0
"BELL SH",19
"BELLINGHAM EL",2
"BELMONT SH",1
"BELVEDERE EL",1
"BELVEDERE MS",5
"BERENDO MS",2
"BERNSTEIN SH",7
"BERNSTEIN SH STEM",4
"BERTRAND AVE EL",6
"BETHUNE MS",12
"BIRMINGHAM CHS",0
"BLYTHE ST EL",2
"BONITA ST EL",4
"BOYLE HEIGHTS HS",0
"BOYLE HTS STEM MAG",0
"BRADDOCK DR EL",1
"BRADLEY EEC",0
"BRADLEY GLBL AWR MAG",4
"BRAINARD EL",2
"BRAVO SH MEDICAL MAG",5
"BREED ST EL",2
"BRENTWOOD EL SCI MAG",2
"BRIDGE ST EL",0
"BRIDGES SCHOOL",4
"BRIGHT EL",2
"BROAD AVE EL",6
"BROADACRES AV EL",5
"BROADOUS EEC",0
"BROADOUS EL",5
"BROADWAY EL",2
"BROCKTON AVE EL",1
"BROOKLYN AVE EEC",0
"BROOKLYN AVE EL",1
"BRYSON AVE EL",6
"BUCHANAN ST EL",0
"BUDLONG AVE EL",5
"BURBANK BLVD EL",2
"BURBANK MS A/T/C MAG",6
"BURKE HS",1
"BURROUGHS MS",18
"BURTON ST EL",2
"BUSHNELL WAY EL",0
"BYRD MS",6
"CABRILLO AVE EEC",0
"CABRILLO AVE EL",10
"CAHUENGA EL",3
"CALABASH CA",9
"CALAHAN ST EL",2
"CALVERT CES",3
"CAMELLIA AVE EL",2
"CANFIELD AVE EL",4
"CANOGA PARK EEC",0
"CANOGA PARK EL",3
"CANOGA PRK SH",6
"CANTARA ST EL",2
"CANTERBURY AVE EL",9
"CANYON CEL",6
"CAPISTRANO AVE EL",3
"CARDENAS EL",4
"CARLSON HOSPITAL",0
"CARNEGIE MS",7
"CAROLDALE LC",2
"CARPENTER COMM CHTR",5
"CARSON ACAD ED & EMP",3
"CARSON ACAD MED ARTS",3
"CARSON SH",13
"CARSON ST EL",8
"CARSON-GORE ACADEMY",4
"CARTHAY EL ES MAG",2
"CARVER MS",2
"CASTELAR ST EEC",0
"CASTELAR ST EL",0
"CASTLE HTS EL",1
"CASTLEBAY LN CHTR",4
"CASTRO MS",0
"CATSKILL AVE EL",3
"CDS AGGELER",0
"CDS ALONZO",0
"CDS JOHNSON",0
"CDS JOHNSTON",2
"CDS LONDON",1
"CDS TRI-C",0
"CDS WEST HOLLYWOOD",0
"CENTRAL HS",2
"CENTURY PARK EL",4
"CHANDLER EL",1
