Community of Schools,Staff and Student Case Rate
"Fremont Community of Schools",51.422694549194375
"Achievement Network Community of Schools",47.945633820433173
"MacArthur Park Community of Schools",40.114889042216909
"Gardena Community of Schools",32.823954192348374
"San Pedro Community of Schools",50.465289973556189
"Boyle Heights Community of Schools",32.511404391071558
"Jefferson/South Central (West) Community of Schools",36.05682555707795
"Carson Community of Schools",50.046120934979292
"Manual Arts/Vermont Square Community of Schools",35.61949190518321
"LA Mid-City Community of Schools",31.914893617021278
"Fairfax Community of Schools",19.142908190612321
"H.E.E.T. (C/D) Community of Schools",44.512449575740717
"Historic Central Avenue Community of Schools",37.25898096687056
"East Los Angeles Community of Schools",27.318106937971343
"South Mid-City Community of Schools",54.684914159075539
"Rivera Community of Schools",42.922351814707504
"H.E.E.T. (W) Community of Schools",34.252831567409572
"Reseda Community of Schools",33.264787710172975
"Kennedy/NAHS/VAAS Community of Schools",52.435958729816015
"Canoga Park/Chatsworth Community of Schools",37.283621837549937
"Lincoln Heights/El Sereno Community of Schools",21.834943997412154
"Eagle Rock/Highland Park Community of Schools",25.3840720466184
"Downtown Community of Schools",25.276669633927884
"Glassell Park/Los Feliz Community of Schools",28.888128049302402
"Monroe Community of Schools",52.9134910836126
"Cleveland Community of Schools",54.662187680136753
"Sunland/Tujunga Community of Schools",46.719269102990033
"Sun Valley Community of Schools",36.694096154146436
"Hamilton Community of Schools",29.191398267977036
"Hollywood Community of Schools",43.308144918013205
"Wilmington Community of Schools",47.598706291572583
"Venice Community of Schools",22.389452080353259
"Bell/Cudahy/Maywood Community of Schools",32.228143816126654
"North Hollywood/Valley Village Community of Schools",45.912060745188064
"Kreatwn/PcoUnion Community of Schools",24.566088117489986
" Community of Schools",0
"West LA Community of Schools",38.355323718932191
"San Fernando Valley/Sylmar Community of Schools",40.492011125346
"South Gate Community of Schools",40.389153032375091
"Panorama City Community of Schools",32.740368874822657
"Taft Community of Schools",44.173513561268656
"Van Nuys/Valley Glen Community of Schools",33.416875522138682
"Harbor City/Lomita Community of Schools",53.6947814477274
"Westchester Community of Schools",61.264271790587586
"Huntington Park/Vernon Community of Schools",27.514215678100353
