School name,Cases among students and staff
"Unassigned",72
"102ND ST EEC",0
"107TH ST EL",1
"109TH ST EL",2
"10TH ST EL",6
"112TH ST EEC",1
"112TH ST EL",3
"116TH ST EL",3
"118TH ST EL",2
"122ND ST EL",1
"135TH ST EL",2
"153RD ST EL",3
"156TH ST EL",1
"15TH ST EL",1
"186TH ST EL",4
"1ST ST EL",2
"20TH ST EL",2
"232ND PL EL",1
"24TH ST EEC",0
"24TH ST EL",4
"28TH ST EEC",0
"28TH ST EL",2
"2ND ST EL",3
"32ND ST USC PA MAG",5
"36TH ST EEC",0
"37TH ST EEC",0
"3RD ST EL",5
"42ND ST EL",2
"49TH ST EL",1
"4TH ST EEC",0
"4TH ST EL",1
"4TH ST PC",3
"52ND ST EL",4
"54TH ST EL",3
"59TH ST EL",2
"61ST ST EL",5
"66TH ST EEC",0
"66TH ST EL",3
"6TH AVE EL",3
"74TH ST EL",3
"75TH ST EEC",1
"75TH ST EL",5
"7TH ST EL AI MAG",1
"92ND ST EL",7
"93RD ST EL",2
"95TH ST EEC",0
"95TH ST EL",2
"96TH ST EL",0
"97TH ST EEC",0
"99TH ST EL",3
"9TH ST EL",0
"ACAD ENRICH SCI MAG",1
"ADAMS MS",0
"ADDAMS HS",0
"AGGELER HS",0
"ALBION ST EEC",0
"ALBION ST EL",1
"ALDAMA EL",5
"ALEXANDER SCS",3
"ALEXANDRIA AVE EEC",0
"ALEXANDRIA AVE EL",3
"ALLESANDRO EL",1
"ALTA CALIFORNIA EL",7
"ALTA LOMA EL",2
"AMANECER PC",0
"AMBLER AVE EL",3
"AMESTOY EL",2
"ANATOLA AVE EL",1
"ANDASOL AVE EL",7
"ANGELES MESA EL",3
"ANGELOU COMMUNITY SH",8
"ANGEL'S GATE HS",0
"ANN ST EL",0
"ANNALEE AVE EL",0
"ANNANDALE EL",1
"ANTON EEC",2
"ANTON EL",2
"APPERSON ST EL",3
"ARAGON AVE EL",0
"ARLETA SH",4
"ARLINGTON HTS EL",3
"ARMINTA ST EEC",1
"ARMINTA ST EL",0
"ARROYO SECO MUS/S MAG",1
"ASCOT AVE EL",5
