School name,Cases among students and staff
"Unassigned",67
"102ND ST EEC",1
"107TH ST EL",2
"109TH ST EL",3
"10TH ST EL",5
"112TH ST EEC",1
"112TH ST EL",4
"116TH ST EL",3
"118TH ST EL",2
"122ND ST EL",1
"135TH ST EL",0
"153RD ST EL",2
"156TH ST EL",2
"15TH ST EL",1
"186TH ST EL",3
"1ST ST EL",1
"20TH ST EL",1
"232ND PL EL",0
"24TH ST EEC",0
"24TH ST EL",5
"28TH ST EEC",0
"28TH ST EL",1
"2ND ST EL",1
"32ND ST USC PA MAG",2
"36TH ST EEC",0
"37TH ST EEC",0
"3RD ST EL",3
"42ND ST EL",4
"49TH ST EL",3
"4TH ST EEC",0
"4TH ST EL",0
"4TH ST PC",1
"52ND ST EL",9
"54TH ST EL",2
"59TH ST EL",3
"61ST ST EL",7
"66TH ST EEC",0
"66TH ST EL",3
"6TH AVE EL",2
"74TH ST EL",3
"75TH ST EEC",0
"75TH ST EL",3
"7TH ST EL AI MAG",2
"92ND ST EL",5
"93RD ST EL",3
"95TH ST EEC",0
"95TH ST EL",1
"96TH ST EL",1
"97TH ST EEC",0
"99TH ST EL",3
"9TH ST EL",0
"ACAD ENRICH SCI MAG",1
"ADAMS MS",4
"ADDAMS HS",0
"AGGELER HS",0
"ALBION ST EEC",0
"ALBION ST EL",1
"ALDAMA EL",6
"ALEXANDER SCS",7
"ALEXANDRIA AVE EEC",0
"ALEXANDRIA AVE EL",1
"ALLESANDRO EL",1
"ALTA CALIFORNIA EL",5
"ALTA LOMA EL",4
"AMANECER PC",1
"AMBLER AVE EL",5
"AMESTOY EL",5
"ANATOLA AVE EL",1
"ANDASOL AVE EL",9
"ANGELES MESA EL",2
"ANGELOU COMMUNITY SH",3
"ANGEL'S GATE HS",0
"ANN ST EL",0
"ANNALEE AVE EL",1
"ANNANDALE EL",1
"ANTON EEC",0
"ANTON EL",5
"APPERSON ST EL",3
"ARAGON AVE EL",0
"ARLETA SH",2
"ARLINGTON HTS EL",3
"ARMINTA ST EEC",1
"ARMINTA ST EL",0
"ARROYO SECO MUS/S MAG",1
"ASCOT AVE EL",2
"ATWATER AVE EL",2
"AUDUBON MS",3
"AURORA EL",1
"AVALON GARDENS EL",0
"BACA ARTS ACAD",5
"BAKEWELL PC",0
"BALA",0
"BALBOA EL G/HG/HA MAG",4
"BALDWIN HILLS EL",4
"BANCROFT MS",3
"BANDINI ST EL",0
"BANNEKER CTC",1
"BANNING SH",24
"BARRETT EL",5
"BARTON HILL EL",10
"BASSETT ST EL",3
"BEACHY AVE EL",0
"BECKFORD CES",1
"BEETHOVEN ST EL",0
"BELL SH",15
"BELLINGHAM EL",5
"BELMONT SH",1
"BELVEDERE EL",2
"BELVEDERE MS",2
"BERENDO MS",0
"BERNSTEIN SH",6
"BERNSTEIN SH STEM",4
"BERTRAND AVE EL",3
"BETHUNE MS",9
"BIRMINGHAM CHS",0
"BLYTHE ST EL",1
"BONITA ST EL",3
"BOYLE HEIGHTS HS",0
"BOYLE HTS STEM MAG",1
"BRADDOCK DR EL",5
"BRADLEY EEC",0
"BRADLEY GLBL AWR MAG",2
"BRAINARD EL",3
"BRAVO SH MEDICAL MAG",5
"BREED ST EL",1
"BRENTWOOD EL SCI MAG",3
"BRIDGE ST EL",2
"BRIDGES SCHOOL",3
"BRIGHT EL",0
"BROAD AVE EL",2
"BROADACRES AV EL",0
"BROADOUS EEC",1
"BROADOUS EL",2
"BROADWAY EL",2
"BROCKTON AVE EL",1
"BROOKLYN AVE EEC",0
"BROOKLYN AVE EL",1
"BRYSON AVE EL",5
"BUCHANAN ST EL",0
"BUDLONG AVE EL",7
"BURBANK BLVD EL",2
"BURBANK MS A/T/C MAG",4
"BURKE HS",0
"BURROUGHS MS",4
"BURTON ST EL",2
"BUSHNELL WAY EL",2
"BYRD MS",2
"CABRILLO AVE EEC",0
"CABRILLO AVE EL",3
"CAHUENGA EL",2
"CALABASH CA",5
"CALAHAN ST EL",0
"CALVERT CES",2
"CAMELLIA AVE EL",1
"CANFIELD AVE EL",2
"CANOGA PARK EEC",0
"CANOGA PARK EL",0
"CANOGA PRK SH",13
"CANTARA ST EL",6
"CANTERBURY AVE EL",7
"CANYON CEL",1
"CAPISTRANO AVE EL",2
"CARDENAS EL",1
"CARLSON HOSPITAL",0
"CARNEGIE MS",6
"CAROLDALE LC",1
"CARPENTER COMM CHTR",4
"CARSON ACAD ED & EMP",5
"CARSON ACAD MED ARTS",3
"CARSON SH",8
"CARSON ST EL",8
"CARSON-GORE ACADEMY",3
"CARTHAY EL ES MAG",0
"CARVER MS",3
"CASTELAR ST EEC",0
"CASTELAR ST EL",1
"CASTLE HTS EL",2
"CASTLEBAY LN CHTR",1
"CASTRO MS",0
"CATSKILL AVE EL",4
"CDS AGGELER",0
"CDS ALONZO",0
"CDS JOHNSON",0
"CDS JOHNSTON",0
"CDS LONDON",0
"CDS TRI-C",0
"CDS WEST HOLLYWOOD",0
"CENTRAL HS",2
"CENTURY PARK EL",1
"CHANDLER EL",0
"CHAPMAN EL",0
"CHARNOCK ROAD EL",0
"CHASE ST EEC",1
"CHASE ST EL",0
"CHATSWORTH CHS",9
"CHATSWORTH UP/CD MAG",0
"CHAVEZ EL",0
"CHAVEZ LA ARTES MAG",0
"CHAVEZ LA ASE",2
"CHAVEZ LA SJ HUM AC",2
"CHAVEZ LA TECH PREP",3
"CHEREMOYA AVE EL",0
"CHEVIOT HILLS HS",1
"CIENEGA EL",7
"CIMARRON AVE EL",0
"CITY OF ANGELS",6
"CITY TERRACE EL",0
"CLEVELAND CHS",13
"CLEVELAND EEC",0
"CLEVELAND INFANT CTR",0
"CLIFFORD ST M/T MAG",0
"CLINTON MS",3
"CLOVER AVE EL",1
"COCHRAN MS",0
"COEUR D ALENE AVE EL",1
"COHASSET ST EL",3
"COLDWATER CYN EL",1
"COLFAX CEL",2
"COLISEUM ST EL",1
"COLLINS EEC",1
"COLUMBUS AVE EL",2
"COLUMBUS MS",2
"COMMONWLTH AVE EL",5
"COMMUNITY EL MAG CS",6
"COMPTON AVE EL",0
"CONTRERAS LC ALC",2
"CONTRERAS LC BUS TR",3
"CONTRERAS LC GLBL ST",0
"CONTRERAS LC SOC JUS",7
"CORONA AVE EL",4
"CORTINES SCH OF VAPA",4
"COUGHLIN EL",2
"COWAN AVE EL",0
"CRENSHAW ARTS TECH",1
"CRENSHAW MAG STEMM",7
"CRESCENT HTS BL EEC",0
"CRESCENT HTS BL EL MG",1
"CRESTWOOD ST STEAM MG",4
"CRUZ EEC",0
"CURTISS MS",2
"DACOTAH EEC",0
"DAHLIA HTS EL",0
"DANA MS",7
"DANUBE AVE EL",0
"DARBY AVE EL",2
"DAYTON EEC",0
"DAYTON HEIGHTS EL",0
"DBM",1
"DE LA TORRE JR EL",4
"DEARBORN EL CA",7
"DEL AMO EL",1
"DEL OLMO EL",2
"DELEVAN DRIVE EL",0
"DENA EL",1
"DENKER AVE EL",2
"DIXIE CYN CC",1
"DODSON MS",10
"DOLORES ST EEC",1
"DOLORES ST EL",5
"DOMINGUEZ EL",4
"DORRIS PLACE EL",1
"DORSEY SH",2
"DREW MS",2
"DREW MS UP PBLC SRVC",5
"DYER ST EL",5
"DYMALLY SH",2
"EAGLE ROCK EL",4
"EAGLE ROCK HS",2
"EAGLE TREE CONTN HS",0
"EARHART HS",0
"EARLY COLLEGE ACAD",0
"EAST VALLEY SH",3
"EASTMAN AVE EEC",1
"EASTMAN AVE EL",1
"EDISON MS",4
"EINSTEIN HS",0
"EL DORADO AVE EL",4
"EL ORO WAY CES",6
