School name,Cases among students and staff
"Unassigned",56
"102ND ST EEC",0
"107TH ST EL",0
"109TH ST EL",2
"10TH ST EL",4
"112TH ST EEC",0
"112TH ST EL",3
"116TH ST EL",3
"118TH ST EL",2
"122ND ST EL",1
"135TH ST EL",2
"153RD ST EL",2
"156TH ST EL",2
"15TH ST EL",0
"186TH ST EL",5
"1ST ST EL",1
"20TH ST EL",1
"232ND PL EL",0
"24TH ST EEC",0
"24TH ST EL",5
"28TH ST EEC",0
"28TH ST EL",2
"2ND ST EL",2
"32ND ST USC PA MAG",3
"36TH ST EEC",0
"37TH ST EEC",0
"3RD ST EL",3
"42ND ST EL",0
"49TH ST EL",0
"4TH ST EEC",0
"4TH ST EL",1
"4TH ST PC",2
"52ND ST EL",1
"54TH ST EL",4
"59TH ST EL",1
"61ST ST EL",4
"66TH ST EEC",0
"66TH ST EL",1
"6TH AVE EL",4
"74TH ST EL",1
"75TH ST EEC",1
"75TH ST EL",4
"7TH ST EL AI MAG",0
"92ND ST EL",2
"93RD ST EL",2
"95TH ST EEC",0
"95TH ST EL",4
"96TH ST EL",2
"97TH ST EEC",1
"99TH ST EL",0
"9TH ST EL",0
"ACAD ENRICH SCI MAG",0
"ADAMS MS",0
"ADDAMS HS",0
"AGGELER HS",0
"ALBION ST EEC",0
"ALBION ST EL",0
"ALDAMA EL",4
"ALEXANDER SCS",1
"ALEXANDRIA AVE EEC",0
"ALEXANDRIA AVE EL",2
"ALLESANDRO EL",1
"ALTA CALIFORNIA EL",6
"ALTA LOMA EL",1
"AMANECER PC",0
"AMBLER AVE EL",3
"AMESTOY EL",3
"ANATOLA AVE EL",1
"ANDASOL AVE EL",5
"ANGELES MESA EL",4
"ANGELOU COMMUNITY SH",5
"ANGEL'S GATE HS",0
"ANN ST EL",0
"ANNALEE AVE EL",0
"ANNANDALE EL",3
"ANTON EEC",1
"ANTON EL",2
"APPERSON ST EL",1
"ARAGON AVE EL",1
"ARLETA SH",5
"ARLINGTON HTS EL",1
"ARMINTA ST EEC",0
"ARMINTA ST EL",1
"ARROYO SECO MUS/S MAG",1
"ASCOT AVE EL",3
"ATWATER AVE EL",2
"AUDUBON MS",2
"AURORA EL",6
"AVALON GARDENS EL",0
"BACA ARTS ACAD",1
"BAKEWELL PC",2
"BALA",0
"BALBOA EL G/HG/HA MAG",5
"BALDWIN HILLS EL",4
"BANCROFT MS",0
"BANDINI ST EL",0
"BANNEKER CTC",0
"BANNING SH",12
