Community of Schools,Staff and Student Case Rate
"Fremont Community of Schools",31.938939299636388
"Achievement Network Community of Schools",47.980640854472632
"MacArthur Park Community of Schools",17.670398869094473
"Gardena Community of Schools",19.48605529168189
"San Pedro Community of Schools",35.348179568752208
"Boyle Heights Community of Schools",22.370682204122307
"Jefferson/South Central (West) Community of Schools",27.673833788547846
"Carson Community of Schools",32.413955681282417
"Manual Arts/Vermont Square Community of Schools",27.660923183311244
"LA Mid-City Community of Schools",15.255995606273265
"Fairfax Community of Schools",19.182321572438841
"H.E.E.T. (C/D) Community of Schools",39.009167154281258
"Historic Central Avenue Community of Schools",38.299502106472616
"East Los Angeles Community of Schools",10.779168014062668
"South Mid-City Community of Schools",17.255014738658424
"Rivera Community of Schools",33.051568710079906
"H.E.E.T. (W) Community of Schools",25.235724609419808
"Reseda Community of Schools",26.264218033416167
"Kennedy/NAHS/VAAS Community of Schools",37.103743613131634
"Canoga Park/Chatsworth Community of Schools",31.979533098816756
"Lincoln Heights/El Sereno Community of Schools",12.912910489318602
"Eagle Rock/Highland Park Community of Schools",23.200061866831646
"Downtown Community of Schools",19.793923265557474
"Glassell Park/Los Feliz Community of Schools",22.485384500074954
"Monroe Community of Schools",30.628155628155628
"Cleveland Community of Schools",28.874108885260263
"Sunland/Tujunga Community of Schools",36.396724294813467
"Sun Valley Community of Schools",35.167239762425758
"Hamilton Community of Schools",32.008906826247305
"Hollywood Community of Schools",29.877055914910148
"Wilmington Community of Schools",33.012177825597888
"Venice Community of Schools",28.686173264486516
"Bell/Cudahy/Maywood Community of Schools",24.437542371545241
"North Hollywood/Valley Village Community of Schools",27.348678000194088
"Kreatwn/PcoUnion Community of Schools",20.29979593363035
" Community of Schools",0
"West LA Community of Schools",14.260484198286548
"San Fernando Valley/Sylmar Community of Schools",32.588454376163874
"South Gate Community of Schools",14.194161941193586
"Panorama City Community of Schools",23.460227094998281
"Taft Community of Schools",35.354712220677683
"Van Nuys/Valley Glen Community of Schools",24.461839530332679
"Harbor City/Lomita Community of Schools",26.169637405135063
"Westchester Community of Schools",27.814864263462393
"Huntington Park/Vernon Community of Schools",25.881429656778845
