School name,Cases among students and staff
"Unassigned",65
"102ND ST EEC",0
"107TH ST EL",1
"109TH ST EL",2
"10TH ST EL",6
"112TH ST EEC",1
"112TH ST EL",3
"116TH ST EL",3
"118TH ST EL",2
"122ND ST EL",0
"135TH ST EL",2
"153RD ST EL",3
"156TH ST EL",1
"15TH ST EL",1
"186TH ST EL",3
"1ST ST EL",1
"20TH ST EL",2
"232ND PL EL",1
"24TH ST EEC",0
"24TH ST EL",4
"28TH ST EEC",0
"28TH ST EL",1
"2ND ST EL",3
"32ND ST USC PA MAG",4
"36TH ST EEC",0
"37TH ST EEC",0
"3RD ST EL",5
"42ND ST EL",1
"49TH ST EL",1
"4TH ST EEC",0
"4TH ST EL",1
"4TH ST PC",3
"52ND ST EL",4
"54TH ST EL",3
"59TH ST EL",2
"61ST ST EL",5
"66TH ST EEC",0
"66TH ST EL",1
"6TH AVE EL",3
"74TH ST EL",3
"75TH ST EEC",1
"75TH ST EL",5
"7TH ST EL AI MAG",1
"92ND ST EL",4
"93RD ST EL",2
"95TH ST EEC",0
"95TH ST EL",2
"96TH ST EL",0
"97TH ST EEC",0
"99TH ST EL",2
"9TH ST EL",0
"ACAD ENRICH SCI MAG",1
"ADAMS MS",0
"ADDAMS HS",0
"AGGELER HS",0
"ALBION ST EEC",0
"ALBION ST EL",0
"ALDAMA EL",5
"ALEXANDER SCS",3
"ALEXANDRIA AVE EEC",0
"ALEXANDRIA AVE EL",2
"ALLESANDRO EL",1
"ALTA CALIFORNIA EL",7
"ALTA LOMA EL",2
"AMANECER PC",0
"AMBLER AVE EL",3
"AMESTOY EL",2
"ANATOLA AVE EL",1
"ANDASOL AVE EL",6
"ANGELES MESA EL",3
"ANGELOU COMMUNITY SH",7
"ANGEL'S GATE HS",0
"ANN ST EL",0
"ANNALEE AVE EL",0
"ANNANDALE EL",1
"ANTON EEC",1
"ANTON EL",2
"APPERSON ST EL",3
"ARAGON AVE EL",1
"ARLETA SH",4
"ARLINGTON HTS EL",3
"ARMINTA ST EEC",1
"ARMINTA ST EL",0
"ARROYO SECO MUS/S MAG",1
"ASCOT AVE EL",5
"ATWATER AVE EL",2
"AUDUBON MS",4
"AURORA EL",7
"AVALON GARDENS EL",0
"BACA ARTS ACAD",2
"BAKEWELL PC",2
"BALA",0
"BALBOA EL G/HG/HA MAG",5
"BALDWIN HILLS EL",4
"BANCROFT MS",2
"BANDINI ST EL",0
"BANNEKER CTC",1
"BANNING SH",27
"BARRETT EL",4
"BARTON HILL EL",4
"BASSETT ST EL",3
"BEACHY AVE EL",1
"BECKFORD CES",3
"BEETHOVEN ST EL",0
"BELL SH",6
"BELLINGHAM EL",2
"BELMONT SH",1
"BELVEDERE EL",0
"BELVEDERE MS",1
"BERENDO MS",0
"BERNSTEIN SH",5
"BERNSTEIN SH STEM",4
"BERTRAND AVE EL",4
"BETHUNE MS",5
"BIRMINGHAM CHS",0
"BLYTHE ST EL",0
"BONITA ST EL",2
"BOYLE HEIGHTS HS",0
"BOYLE HTS STEM MAG",1
"BRADDOCK DR EL",2
"BRADLEY EEC",2
"BRADLEY GLBL AWR MAG",0
"BRAINARD EL",1
"BRAVO SH MEDICAL MAG",8
"BREED ST EL",1
"BRENTWOOD EL SCI MAG",1
"BRIDGE ST EL",1
"BRIDGES SCHOOL",3
"BRIGHT EL",0
"BROAD AVE EL",0
"BROADACRES AV EL",2
"BROADOUS EEC",1
"BROADOUS EL",1
"BROADWAY EL",2
"BROCKTON AVE EL",0
"BROOKLYN AVE EEC",0
"BROOKLYN AVE EL",3
"BRYSON AVE EL",1
"BUCHANAN ST EL",0
"BUDLONG AVE EL",3
"BURBANK BLVD EL",0
"BURBANK MS A/T/C MAG",2
"BURKE HS",0
"BURROUGHS MS",2
"BURTON ST EL",4
"BUSHNELL WAY EL",3
"BYRD MS",3
"CABRILLO AVE EEC",0
"CABRILLO AVE EL",4
"CAHUENGA EL",0
"CALABASH CA",3
"CALAHAN ST EL",2
"CALVERT CES",1
"CAMELLIA AVE EL",3
"CANFIELD AVE EL",1
"CANOGA PARK EEC",0
"CANOGA PARK EL",0
"CANOGA PRK SH",17
"CANTARA ST EL",5
"CANTERBURY AVE EL",7
"CANYON CEL",1
"CAPISTRANO AVE EL",2
"CARDENAS EL",3
"CARLSON HOSPITAL",1
"CARNEGIE MS",4
"CAROLDALE LC",0
"CARPENTER COMM CHTR",2
"CARSON ACAD ED & EMP",1
"CARSON ACAD MED ARTS",2
"CARSON SH",5
"CARSON ST EL",1
"CARSON-GORE ACADEMY",2
"CARTHAY EL ES MAG",0
"CARVER MS",3
"CASTELAR ST EEC",0
"CASTELAR ST EL",2
"CASTLE HTS EL",2
"CASTLEBAY LN CHTR",1
"CASTRO MS",0
"CATSKILL AVE EL",4
"CDS AGGELER",0
"CDS ALONZO",0
"CDS JOHNSON",0
"CDS JOHNSTON",0
"CDS LONDON",1
"CDS TRI-C",0
"CDS WEST HOLLYWOOD",0
"CENTRAL HS",2
"CENTURY PARK EL",0
"CHANDLER EL",1
"CHAPMAN EL",0
"CHARNOCK ROAD EL",1
"CHASE ST EEC",0
"CHASE ST EL",0
"CHATSWORTH CHS",4
"CHATSWORTH UP/CD MAG",1
"CHAVEZ EL",0
"CHAVEZ LA ARTES MAG",0
"CHAVEZ LA ASE",3
"CHAVEZ LA SJ HUM AC",3
"CHAVEZ LA TECH PREP",2
"CHEREMOYA AVE EL",0
"CHEVIOT HILLS HS",1
"CIENEGA EL",3
"CIMARRON AVE EL",0
"CITY OF ANGELS",8
"CITY TERRACE EL",0
"CLEVELAND CHS",12
"CLEVELAND EEC",0
"CLEVELAND INFANT CTR",0
"CLIFFORD ST M/T MAG",0
"CLINTON MS",5
"CLOVER AVE EL",0
"COCHRAN MS",2
"COEUR D ALENE AVE EL",2
"COHASSET ST EL",1
"COLDWATER CYN EL",1
"COLFAX CEL",3
"COLISEUM ST EL",1
"COLLINS EEC",1
"COLUMBUS AVE EL",1
"COLUMBUS MS",2
"COMMONWLTH AVE EL",1
"COMMUNITY EL MAG CS",9
"COMPTON AVE EL",1
"CONTRERAS LC ALC",3
"CONTRERAS LC BUS TR",1
"CONTRERAS LC GLBL ST",0
"CONTRERAS LC SOC JUS",5
"CORONA AVE EL",3
"CORTINES SCH OF VAPA",4
"COUGHLIN EL",2
"COWAN AVE EL",1
"CRENSHAW ARTS TECH",0
"CRENSHAW MAG STEMM",4
"CRESCENT HTS BL EEC",1
"CRESCENT HTS BL EL MG",0
"CRESTWOOD ST STEAM MG",3
"CRUZ EEC",0
"CURTISS MS",2
"DACOTAH EEC",0
"DAHLIA HTS EL",0
"DANA MS",3
"DANUBE AVE EL",0
"DARBY AVE EL",1
"DAYTON EEC",0
"DAYTON HEIGHTS EL",0
"DBM",0
"DE LA TORRE JR EL",4
"DEARBORN EL CA",3
"DEL AMO EL",0
"DEL OLMO EL",3
"DELEVAN DRIVE EL",0
"DENA EL",1
"DENKER AVE EL",3
"DIXIE CYN CC",4
"DODSON MS",4
"DOLORES ST EEC",1
"DOLORES ST EL",3
"DOMINGUEZ EL",4
"DORRIS PLACE EL",0
"DORSEY SH",5
"DREW MS",1
"DREW MS UP PBLC SRVC",2
"DYER ST EL",2
"DYMALLY SH",1
"EAGLE ROCK EL",3
"EAGLE ROCK HS",3
"EAGLE TREE CONTN HS",0
"EARHART HS",0
"EARLY COLLEGE ACAD",0
"EAST VALLEY SH",2
"EASTMAN AVE EEC",1
"EASTMAN AVE EL",0
"EDISON MS",3
"EINSTEIN HS",0
"EL DORADO AVE EL",4
"EL ORO WAY CES",3
"EL SERENO EEC",0
"EL SERENO EL",2
"EL SERENO MS",2
"ELA OCC CTR",1
"ELEMENTARY CDS",0
"ELIZABETH LC",2
"ELLINGTON HS",1
"ELYSIAN HTS ARTS MAG",1
"EMELITA ST EL",3
"EMERSON CC",0
"ENADIA WAY",2
"ENCINO CEL",3
"ERWIN EL",4
"ESCALANTE EEC",2
