Community of Schools,Staff and Student Case Rate
"Fremont Community of Schools",10.611638518615264
"Achievement Network Community of Schools",20.758085274214306
"MacArthur Park Community of Schools",1.6024357022674465
"Gardena Community of Schools",9.7247884858504339
"San Pedro Community of Schools",13.098764685730407
"Boyle Heights Community of Schools",12.183978068839476
"Jefferson/South Central (West) Community of Schools",10.817957809964541
"Carson Community of Schools",16.672878131068437
"Manual Arts/Vermont Square Community of Schools",13.793737643110029
"LA Mid-City Community of Schools",6.0867977357112428
"Fairfax Community of Schools",2.5548983789169784
"H.E.E.T. (C/D) Community of Schools",2.780403714619363
"Historic Central Avenue Community of Schools",9.2952160621333544
"East Los Angeles Community of Schools",3.3120533903006515
"South Mid-City Community of Schools",7.175145296692258
"Rivera Community of Schools",7.424149934832462
"H.E.E.T. (W) Community of Schools",4.5809569619093429
"Reseda Community of Schools",12.100555617178756
"Kennedy/NAHS/VAAS Community of Schools",12.364569326594644
"Canoga Park/Chatsworth Community of Schools",10.644526052477513
"Lincoln Heights/El Sereno Community of Schools",8.056459669362896
"Eagle Rock/Highland Park Community of Schools",8.8217456029111752
"Downtown Community of Schools",7.6822616578320657
"Glassell Park/Los Feliz Community of Schools",11.764831709430046
"Monroe Community of Schools",5.5582832315858708
"Cleveland Community of Schools",15.908367801463569
"Sunland/Tujunga Community of Schools",5.1957498766009405
"Sun Valley Community of Schools",15.61194938606009
"Hamilton Community of Schools",11.119450699135461
"Hollywood Community of Schools",5.9666761139038469
"Wilmington Community of Schools",4.8856752003126829
"Venice Community of Schools",9.9682262787365268
"Bell/Cudahy/Maywood Community of Schools",4.7217697192907906
"North Hollywood/Valley Village Community of Schools",11.444064931863798
"Kreatwn/PcoUnion Community of Schools",3.2021176671505422
" Community of Schools",0
"West LA Community of Schools",9.865067794938124
"San Fernando Valley/Sylmar Community of Schools",13.947001394700139
"South Gate Community of Schools",9.9240807820175654
"Panorama City Community of Schools",7.8055481836489378
"Taft Community of Schools",18.473598817689673
"Van Nuys/Valley Glen Community of Schools",7.7133215490920781
"Harbor City/Lomita Community of Schools",7.2597389397877254
"Westchester Community of Schools",13.899313373919329
"Huntington Park/Vernon Community of Schools",15.009506020479638
