Community of Schools,Staff and Student Case Rate
"Fremont Community of Schools",37.699664800806445
"Achievement Network Community of Schools",27.1989287806511
"MacArthur Park Community of Schools",35.424449310833445
"Gardena Community of Schools",29.27900451384653
"San Pedro Community of Schools",46.5036343601201
"Boyle Heights Community of Schools",23.4325651527192
"Jefferson/South Central (West) Community of Schools",31.299281320348143
"Carson Community of Schools",56.049402139710516
"Manual Arts/Vermont Square Community of Schools",31.146179401993354
"LA Mid-City Community of Schools",27.472527472527474
"Fairfax Community of Schools",12.793940789642026
"H.E.E.T. (C/D) Community of Schools",44.853106077595875
"Historic Central Avenue Community of Schools",30.101410614380171
"East Los Angeles Community of Schools",19.916186050371355
"South Mid-City Community of Schools",49.081880124725721
"Rivera Community of Schools",33.120533903006518
"H.E.E.T. (W) Community of Schools",36.747818098300414
"Reseda Community of Schools",42.459840067935751
"Kennedy/NAHS/VAAS Community of Schools",60.221894519035523
"Canoga Park/Chatsworth Community of Schools",30.49245311785333
"Lincoln Heights/El Sereno Community of Schools",17.020310904345852
"Eagle Rock/Highland Park Community of Schools",26.547204247552681
"Downtown Community of Schools",20.925801513265856
"Glassell Park/Los Feliz Community of Schools",21.409837820478511
"Monroe Community of Schools",45.593695043314014
"Cleveland Community of Schools",31.872192508042751
"Sunland/Tujunga Community of Schools",49.458558933777589
"Sun Valley Community of Schools",30.503304524656837
"Hamilton Community of Schools",26.442140421682556
"Hollywood Community of Schools",40.45246834968912
"Wilmington Community of Schools",55.076862821893663
"Venice Community of Schools",23.660091651723452
"Bell/Cudahy/Maywood Community of Schools",26.015593589127061
"North Hollywood/Valley Village Community of Schools",30.975096022797668
"Kreatwn/PcoUnion Community of Schools",23.534949399858789
" Community of Schools",0
"West LA Community of Schools",42.801172093635792
"San Fernando Valley/Sylmar Community of Schools",40.607109572626818
"South Gate Community of Schools",31.970217965841595
"Panorama City Community of Schools",35.936938485336164
"Taft Community of Schools",41.813415673598044
"Van Nuys/Valley Glen Community of Schools",25.106703489831784
"Harbor City/Lomita Community of Schools",66.871156725639281
"Westchester Community of Schools",41.934582051998881
"Huntington Park/Vernon Community of Schools",23.417832679585505
