Community of Schools,Staff and Student Case Rate
"Fremont Community of Schools",33.77237419790611
"Achievement Network Community of Schools",31.656923369140831
"MacArthur Park Community of Schools",53.401514661143111
"Gardena Community of Schools",55.24726219122919
"San Pedro Community of Schools",63.505503810330232
"Boyle Heights Community of Schools",37.773989035334
"Jefferson/South Central (West) Community of Schools",28.916011036277546
"Carson Community of Schools",64.030577063262214
"Manual Arts/Vermont Square Community of Schools",34.738707025324516
"LA Mid-City Community of Schools",45.68017784815909
"Fairfax Community of Schools",35.874439461883405
"H.E.E.T. (C/D) Community of Schools",50.808705224828522
"Historic Central Avenue Community of Schools",43.75729288214702
"East Los Angeles Community of Schools",23.231501916598909
"South Mid-City Community of Schools",40.617384240454911
"Rivera Community of Schools",33.228387011023514
"H.E.E.T. (W) Community of Schools",34.70776065528252
"Reseda Community of Schools",75.676548342179089
"Kennedy/NAHS/VAAS Community of Schools",61.769384004818008
"Canoga Park/Chatsworth Community of Schools",34.445541598732405
"Lincoln Heights/El Sereno Community of Schools",16.293942726791315
"Eagle Rock/Highland Park Community of Schools",35.382574082264483
"Downtown Community of Schools",26.448904023539523
"Glassell Park/Los Feliz Community of Schools",43.94285285574955
"Monroe Community of Schools",56.878047870802909
"Cleveland Community of Schools",37.887851958203719
"Sunland/Tujunga Community of Schools",36.48303538854433
"Sun Valley Community of Schools",39.143232917893158
"Hamilton Community of Schools",40.386597220288
"Hollywood Community of Schools",46.538161292259652
"Wilmington Community of Schools",52.5794499944975
"Venice Community of Schools",39.939092883352885
"Bell/Cudahy/Maywood Community of Schools",44.196453234627924
"North Hollywood/Valley Village Community of Schools",39.889373470907351
"Kreatwn/PcoUnion Community of Schools",36.347697800964283
" Community of Schools",0
"West LA Community of Schools",37.259457326962696
"San Fernando Valley/Sylmar Community of Schools",44.050511252903327
"South Gate Community of Schools",26.999758423214107
"Panorama City Community of Schools",45.5309060650307
"Taft Community of Schools",56.233481414834394
"Van Nuys/Valley Glen Community of Schools",27.649354741221327
"Harbor City/Lomita Community of Schools",70.099599848117535
"Westchester Community of Schools",50.430056313562886
"Huntington Park/Vernon Community of Schools",30.912417601697676
