Community of Schools,Staff and Student Case Rate
"Fremont Community of Schools",21.302395700193362
"Achievement Network Community of Schools",22.9606746263672
"MacArthur Park Community of Schools",11.242270938729623
"Gardena Community of Schools",9.7405364600455364
"San Pedro Community of Schools",27.26666801316879
"Boyle Heights Community of Schools",20.341327475031022
"Jefferson/South Central (West) Community of Schools",15.640414831925696
"Carson Community of Schools",25.543536993918675
"Manual Arts/Vermont Square Community of Schools",15.009640807749593
"LA Mid-City Community of Schools",9.1594663084297618
"Fairfax Community of Schools",14.064517778829066
"H.E.E.T. (C/D) Community of Schools",30.644082906173391
"Historic Central Avenue Community of Schools",27.966523036128603
"East Los Angeles Community of Schools",10.777291417959942
"South Mid-City Community of Schools",10.071507704703395
"Rivera Community of Schools",23.961001404610425
"H.E.E.T. (W) Community of Schools",18.347361420085775
"Reseda Community of Schools",18.221574344023324
"Kennedy/NAHS/VAAS Community of Schools",27.839858944714681
"Canoga Park/Chatsworth Community of Schools",24.377052052623959
"Lincoln Heights/El Sereno Community of Schools",8.8921942701933645
"Eagle Rock/Highland Park Community of Schools",18.789720917380492
"Downtown Community of Schools",13.207131851199648
"Glassell Park/Los Feliz Community of Schools",16.0778597153147
"Monroe Community of Schools",25.979086835097746
"Cleveland Community of Schools",17.918114218023632
"Sunland/Tujunga Community of Schools",36.403349108117951
"Sun Valley Community of Schools",20.316626814821763
"Hamilton Community of Schools",26.455026455026456
"Hollywood Community of Schools",20.927069163963587
"Wilmington Community of Schools",26.880406627242071
"Venice Community of Schools",23.734572527856894
"Bell/Cudahy/Maywood Community of Schools",14.974543276430069
"North Hollywood/Valley Village Community of Schools",20.298475849226453
"Kreatwn/PcoUnion Community of Schools",13.893490365398796
" Community of Schools",0
"West LA Community of Schools",9.88022966044944
"San Fernando Valley/Sylmar Community of Schools",19.286146561413073
"South Gate Community of Schools",13.490485657483671
"Panorama City Community of Schools",14.088475626937166
"Taft Community of Schools",29.746830354630454
"Van Nuys/Valley Glen Community of Schools",16.098393380340642
"Harbor City/Lomita Community of Schools",24.733388619731425
"Westchester Community of Schools",13.915560379616489
"Huntington Park/Vernon Community of Schools",15.049915553251619
