School name,Cases among students and staff
"Unassigned",67
"102ND ST EEC",1
"107TH ST EL",1
"109TH ST EL",2
"10TH ST EL",5
"112TH ST EEC",1
"112TH ST EL",3
"116TH ST EL",3
"118TH ST EL",2
"122ND ST EL",1
"135TH ST EL",0
"153RD ST EL",2
"156TH ST EL",1
"15TH ST EL",1
"186TH ST EL",4
"1ST ST EL",2
"20TH ST EL",2
"232ND PL EL",0
"24TH ST EEC",0
"24TH ST EL",4
"28TH ST EEC",0
"28TH ST EL",1
"2ND ST EL",1
"32ND ST USC PA MAG",5
"36TH ST EEC",0
"37TH ST EEC",0
"3RD ST EL",5
"42ND ST EL",2
"49TH ST EL",1
"4TH ST EEC",0
"4TH ST EL",0
"4TH ST PC",1
"52ND ST EL",4
"54TH ST EL",3
"59TH ST EL",2
"61ST ST EL",7
"66TH ST EEC",0
"66TH ST EL",3
"6TH AVE EL",2
"74TH ST EL",4
"75TH ST EEC",0
"75TH ST EL",4
"7TH ST EL AI MAG",1
"92ND ST EL",7
"93RD ST EL",2
"95TH ST EEC",0
"95TH ST EL",1
"96TH ST EL",0
"97TH ST EEC",0
"99TH ST EL",3
"9TH ST EL",0
"ACAD ENRICH SCI MAG",1
"ADAMS MS",0
"ADDAMS HS",0
"AGGELER HS",0
"ALBION ST EEC",0
"ALBION ST EL",1
"ALDAMA EL",5
"ALEXANDER SCS",3
"ALEXANDRIA AVE EEC",0
"ALEXANDRIA AVE EL",3
"ALLESANDRO EL",0
"ALTA CALIFORNIA EL",7
"ALTA LOMA EL",2
"AMANECER PC",0
"AMBLER AVE EL",3
"AMESTOY EL",4
"ANATOLA AVE EL",0
"ANDASOL AVE EL",7
"ANGELES MESA EL",3
"ANGELOU COMMUNITY SH",9
"ANGEL'S GATE HS",0
"ANN ST EL",0
"ANNALEE AVE EL",0
"ANNANDALE EL",0
"ANTON EEC",2
"ANTON EL",2
"APPERSON ST EL",3
"ARAGON AVE EL",0
"ARLETA SH",5
"ARLINGTON HTS EL",3
"ARMINTA ST EEC",1
"ARMINTA ST EL",0
"ARROYO SECO MUS/S MAG",0
"ASCOT AVE EL",2
"ATWATER AVE EL",2
"AUDUBON MS",4
"AURORA EL",6
"AVALON GARDENS EL",0
"BACA ARTS ACAD",3
"BAKEWELL PC",2
"BALA",0
"BALBOA EL G/HG/HA MAG",4
"BALDWIN HILLS EL",3
"BANCROFT MS",2
"BANDINI ST EL",0
"BANNEKER CTC",1
"BANNING SH",25
"BARRETT EL",4
"BARTON HILL EL",3
"BASSETT ST EL",3
"BEACHY AVE EL",1
"BECKFORD CES",2
"BEETHOVEN ST EL",0
"BELL SH",17
"BELLINGHAM EL",2
"BELMONT SH",2
"BELVEDERE EL",0
"BELVEDERE MS",1
"BERENDO MS",0
"BERNSTEIN SH",6
"BERNSTEIN SH STEM",5
"BERTRAND AVE EL",4
"BETHUNE MS",10
"BIRMINGHAM CHS",0
"BLYTHE ST EL",0
"BONITA ST EL",2
"BOYLE HEIGHTS HS",0
"BOYLE HTS STEM MAG",1
"BRADDOCK DR EL",4
"BRADLEY EEC",2
"BRADLEY GLBL AWR MAG",2
"BRAINARD EL",3
"BRAVO SH MEDICAL MAG",10
"BREED ST EL",0
"BRENTWOOD EL SCI MAG",1
"BRIDGE ST EL",2
"BRIDGES SCHOOL",3
"BRIGHT EL",0
"BROAD AVE EL",0
"BROADACRES AV EL",1
"BROADOUS EEC",1
"BROADOUS EL",0
"BROADWAY EL",2
"BROCKTON AVE EL",0
"BROOKLYN AVE EEC",0
"BROOKLYN AVE EL",4
"BRYSON AVE EL",5
"BUCHANAN ST EL",0
"BUDLONG AVE EL",5
"BURBANK BLVD EL",0
"BURBANK MS A/T/C MAG",2
"BURKE HS",0
"BURROUGHS MS",2
"BURTON ST EL",2
"BUSHNELL WAY EL",5
"BYRD MS",3
"CABRILLO AVE EEC",0
"CABRILLO AVE EL",4
"CAHUENGA EL",1
"CALABASH CA",3
"CALAHAN ST EL",2
"CALVERT CES",1
"CAMELLIA AVE EL",2
"CANFIELD AVE EL",0
"CANOGA PARK EEC",0
"CANOGA PARK EL",0
"CANOGA PRK SH",18
"CANTARA ST EL",5
"CANTERBURY AVE EL",7
"CANYON CEL",0
"CAPISTRANO AVE EL",2
"CARDENAS EL",1
"CARLSON HOSPITAL",0
"CARNEGIE MS",7
"CAROLDALE LC",1
"CARPENTER COMM CHTR",2
"CARSON ACAD ED & EMP",0
"CARSON ACAD MED ARTS",3
"CARSON SH",4
"CARSON ST EL",1
"CARSON-GORE ACADEMY",1
"CARTHAY EL ES MAG",0
"CARVER MS",3
"CASTELAR ST EEC",0
"CASTELAR ST EL",2
"CASTLE HTS EL",2
"CASTLEBAY LN CHTR",1
"CASTRO MS",0
"CATSKILL AVE EL",4
"CDS AGGELER",0
"CDS ALONZO",0
"CDS JOHNSON",0
"CDS JOHNSTON",0
"CDS LONDON",1
"CDS TRI-C",0
"CDS WEST HOLLYWOOD",0
"CENTRAL HS",2
"CENTURY PARK EL",1
"CHANDLER EL",1
"CHAPMAN EL",0
"CHARNOCK ROAD EL",1
"CHASE ST EEC",0
"CHASE ST EL",0
"CHATSWORTH CHS",7
"CHATSWORTH UP/CD MAG",1
"CHAVEZ EL",0
"CHAVEZ LA ARTES MAG",0
"CHAVEZ LA ASE",3
"CHAVEZ LA SJ HUM AC",2
"CHAVEZ LA TECH PREP",2
"CHEREMOYA AVE EL",0
"CHEVIOT HILLS HS",2
"CIENEGA EL",4
"CIMARRON AVE EL",0
"CITY OF ANGELS",10
"CITY TERRACE EL",0
"CLEVELAND CHS",13
"CLEVELAND EEC",0
"CLEVELAND INFANT CTR",0
"CLIFFORD ST M/T MAG",0
"CLINTON MS",4
"CLOVER AVE EL",0
"COCHRAN MS",2
"COEUR D ALENE AVE EL",1
"COHASSET ST EL",3
"COLDWATER CYN EL",1
"COLFAX CEL",3
"COLISEUM ST EL",1
"COLLINS EEC",1
"COLUMBUS AVE EL",2
"COLUMBUS MS",2
"COMMONWLTH AVE EL",1
"COMMUNITY EL MAG CS",7
"COMPTON AVE EL",1
"CONTRERAS LC ALC",2
"CONTRERAS LC BUS TR",3
"CONTRERAS LC GLBL ST",0
"CONTRERAS LC SOC JUS",8
"CORONA AVE EL",3
"CORTINES SCH OF VAPA",3
"COUGHLIN EL",2
"COWAN AVE EL",1
"CRENSHAW ARTS TECH",0
"CRENSHAW MAG STEMM",6
"CRESCENT HTS BL EEC",1
"CRESCENT HTS BL EL MG",0
"CRESTWOOD ST STEAM MG",4
"CRUZ EEC",0
"CURTISS MS",2
"DACOTAH EEC",0
"DAHLIA HTS EL",0
"DANA MS",4
"DANUBE AVE EL",0
"DARBY AVE EL",0
"DAYTON EEC",0
"DAYTON HEIGHTS EL",0
"DBM",1
"DE LA TORRE JR EL",4
"DEARBORN EL CA",3
"DEL AMO EL",1
"DEL OLMO EL",5
"DELEVAN DRIVE EL",0
"DENA EL",1
"DENKER AVE EL",2
"DIXIE CYN CC",4
"DODSON MS",9
"DOLORES ST EEC",1
"DOLORES ST EL",5
"DOMINGUEZ EL",4
"DORRIS PLACE EL",0
"DORSEY SH",4
"DREW MS",1
"DREW MS UP PBLC SRVC",2
"DYER ST EL",3
"DYMALLY SH",3
"EAGLE ROCK EL",3
"EAGLE ROCK HS",3
"EAGLE TREE CONTN HS",0
"EARHART HS",0
"EARLY COLLEGE ACAD",0
"EAST VALLEY SH",1
"EASTMAN AVE EEC",1
"EASTMAN AVE EL",0
"EDISON MS",3
"EINSTEIN HS",0
"EL DORADO AVE EL",4
"EL ORO WAY CES",3
