date,region,caserate
2021-08-24,"MacArthur Park Community of Schools",46.933920277071977
2021-08-24,"Gardena Community of Schools",40.514658940234746
2021-08-24,"San Pedro Community of Schools",70.56167090036692
2021-08-24,"Boyle Heights Community of Schools",33.690314545027618
2021-08-24,"Jefferson/South Central (West) Community of Schools",24.098708309234627
2021-08-24,"Carson Community of Schools",62.056126318692684
2021-08-24,"Manual Arts/Vermont Square Community of Schools",31.264836322792064
2021-08-24,"LA Mid-City Community of Schools",41.103397880891485
2021-08-24,"Fairfax Community of Schools",37.155669442664951
2021-08-24,"H.E.E.T. (C/D) Community of Schools",45.163293533180912
2021-08-24,"Historic Central Avenue Community of Schools",40.628808950839137
2021-08-24,"East Los Angeles Community of Schools",23.230152738254255
2021-08-24,"South Mid-City Community of Schools",50.771730300568649
2021-08-24,"Rivera Community of Schools",34.883720930232556
2021-08-24,"H.E.E.T. (W) Community of Schools",41.649312786339024
2021-08-24,"Reseda Community of Schools",62.568118516126432
2021-08-24,"Kennedy/NAHS/VAAS Community of Schools",70.255079982706448
2021-08-24,"Canoga Park/Chatsworth Community of Schools",35.978382350689714
2021-08-24,"Lincoln Heights/El Sereno Community of Schools",21.996822681168275
2021-08-24,"Eagle Rock/Highland Park Community of Schools",27.642636001769127
2021-08-24,"Downtown Community of Schools",27.550941691187006
2021-08-24,"Glassell Park/Los Feliz Community of Schools",37.503750375037505
2021-08-24,"Monroe Community of Schools",64.337463985006579
2021-08-24,"Cleveland Community of Schools",40.878998165430332
2021-08-24,"Sunland/Tujunga Community of Schools",36.48303538854433
2021-08-24,"Sun Valley Community of Schools",32.097450992672385
2021-08-24,"Hamilton Community of Schools",36.208673369913377
2021-08-24,"Hollywood Community of Schools",48.034344556357794
2021-08-24,"Wilmington Community of Schools",45.242782553404822
2021-08-24,"Venice Community of Schools",37.442899578143333
2021-08-24,"Bell/Cudahy/Maywood Community of Schools",48.142565130576841
2021-08-24,"North Hollywood/Valley Village Community of Schools",42.551305349940158
2021-08-24,"Kreatwn/PcoUnion Community of Schools",27.795298318384454
2021-08-24,"West LA Community of Schools",42.738789286810153
2021-08-24,"San Fernando Valley/Sylmar Community of Schools",41.374984150711718
2021-08-24,"South Gate Community of Schools",30.552358215742281
2021-08-24,"Panorama City Community of Schools",43.960874821408943
2021-08-24,"Taft Community of Schools",60.24677077308656
2021-08-24,"Van Nuys/Valley Glen Community of Schools",30.861617791722658
2021-08-24,"Harbor City/Lomita Community of Schools",59.876741536933721
2021-08-24,"Westchester Community of Schools",42.025046927969072
2021-08-24,"Huntington Park/Vernon Community of Schools",28.404344193817877
2021-08-25,"Fremont Community of Schools",34.376074252320386
2021-08-25,"Achievement Network Community of Schools",39.76392783893516
2021-08-25,"MacArthur Park Community of Schools",40.264132710581414
2021-08-25,"Gardena Community of Schools",34.144259496372172
2021-08-25,"San Pedro Community of Schools",61.528530073329911
2021-08-25,"Boyle Heights Community of Schools",25.430280343410509
2021-08-25,"Jefferson/South Central (West) Community of Schools",27.648218493051882
2021-08-25,"Carson Community of Schools",60.890573746341659
2021-08-25,"Manual Arts/Vermont Square Community of Schools",34.514893176405614
2021-08-25,"LA Mid-City Community of Schools",28.955469535798105
2021-08-25,"Fairfax Community of Schools",37.02616089782056
2021-08-25,"H.E.E.T. (C/D) Community of Schools",58.788947677836568
2021-08-25,"Historic Central Avenue Community of Schools",40.41660189647132
2021-08-25,"East Los Angeles Community of Schools",21.550830950308757
2021-08-25,"South Mid-City Community of Schools",50.418473328627613
2021-08-25,"Rivera Community of Schools",34.708162202811359
2021-08-25,"H.E.E.T. (W) Community of Schools",43.484231244564469
2021-08-25,"Reseda Community of Schools",49.448996891777334
2021-08-25,"Kennedy/NAHS/VAAS Community of Schools",61.666062853134562
2021-08-25,"Canoga Park/Chatsworth Community of Schools",38.830220570880378
2021-08-25,"Lincoln Heights/El Sereno Community of Schools",21.874569597588934
2021-08-25,"Eagle Rock/Highland Park Community of Schools",27.619121270037674
2021-08-25,"Downtown Community of Schools",25.317570393853334
2021-08-25,"Glassell Park/Los Feliz Community of Schools",26.7082603307551
2021-08-25,"Monroe Community of Schools",52.042674993494664
2021-08-25,"Cleveland Community of Schools",40.75384676553616
2021-08-25,"Sunland/Tujunga Community of Schools",49.404545218160074
2021-08-25,"Sun Valley Community of Schools",35.936938485336164
2021-08-25,"Hamilton Community of Schools",33.351862145636467
2021-08-25,"Hollywood Community of Schools",32.912945259787861
2021-08-25,"Wilmington Community of Schools",50.086735566468761
2021-08-25,"Venice Community of Schools",28.613727124569238
2021-08-25,"Bell/Cudahy/Maywood Community of Schools",32.24056177213
2021-08-25,"North Hollywood/Valley Village Community of Schools",43.31147135255538
2021-08-25,"Kreatwn/PcoUnion Community of Schools",24.560579202528675
2021-08-25,"West LA Community of Schools",44.95466157911472
2021-08-25,"San Fernando Valley/Sylmar Community of Schools",47.235398606888388
2021-08-25,"South Gate Community of Schools",35.46954584793496
2021-08-25,"Panorama City Community of Schools",39.032006245121
2021-08-25,"Taft Community of Schools",50.5987518974532
2021-08-25,"Van Nuys/Valley Glen Community of Schools",23.787022571955742
2021-08-25,"Harbor City/Lomita Community of Schools",50.818172578514073
2021-08-25,"Westchester Community of Schools",44.677761644141633
2021-08-25,"Huntington Park/Vernon Community of Schools",24.206001418972498
2021-08-26,"Fremont Community of Schools",37.699664800806445
2021-08-26,"Achievement Network Community of Schools",27.1989287806511
2021-08-26,"MacArthur Park Community of Schools",35.424449310833445
2021-08-26,"Gardena Community of Schools",29.27900451384653
2021-08-26,"San Pedro Community of Schools",46.5036343601201
2021-08-26,"Boyle Heights Community of Schools",23.4325651527192
2021-08-26,"Jefferson/South Central (West) Community of Schools",31.299281320348143
2021-08-26,"Carson Community of Schools",56.049402139710516
2021-08-26,"Manual Arts/Vermont Square Community of Schools",31.146179401993354
2021-08-26,"LA Mid-City Community of Schools",27.472527472527474
2021-08-26,"Fairfax Community of Schools",12.793940789642026
2021-08-26,"H.E.E.T. (C/D) Community of Schools",44.853106077595875
2021-08-26,"Historic Central Avenue Community of Schools",30.101410614380171
2021-08-26,"East Los Angeles Community of Schools",19.916186050371355
2021-08-26,"South Mid-City Community of Schools",49.081880124725721
2021-08-26,"Rivera Community of Schools",33.120533903006518
2021-08-26,"H.E.E.T. (W) Community of Schools",36.747818098300414
2021-08-26,"Reseda Community of Schools",42.459840067935751
2021-08-26,"Kennedy/NAHS/VAAS Community of Schools",60.221894519035523
2021-08-26,"Canoga Park/Chatsworth Community of Schools",30.49245311785333
2021-08-26,"Lincoln Heights/El Sereno Community of Schools",17.020310904345852
2021-08-26,"Eagle Rock/Highland Park Community of Schools",26.547204247552681
2021-08-26,"Downtown Community of Schools",20.925801513265856
2021-08-26,"Glassell Park/Los Feliz Community of Schools",21.409837820478511
2021-08-26,"Monroe Community of Schools",45.593695043314014
2021-08-26,"Cleveland Community of Schools",31.872192508042751
2021-08-26,"Sunland/Tujunga Community of Schools",49.458558933777589
2021-08-26,"Sun Valley Community of Schools",30.503304524656837
2021-08-26,"Hamilton Community of Schools",26.442140421682556
2021-08-26,"Hollywood Community of Schools",40.45246834968912
2021-08-26,"Wilmington Community of Schools",55.076862821893663
2021-08-26,"Venice Community of Schools",23.660091651723452
2021-08-26,"Bell/Cudahy/Maywood Community of Schools",26.015593589127061
2021-08-26,"North Hollywood/Valley Village Community of Schools",30.975096022797668
2021-08-26,"Kreatwn/PcoUnion Community of Schools",23.534949399858789
2021-08-26,"West LA Community of Schools",42.801172093635792
2021-08-26,"San Fernando Valley/Sylmar Community of Schools",40.607109572626818
2021-08-26,"South Gate Community of Schools",31.970217965841595
2021-08-26,"Panorama City Community of Schools",35.936938485336164
2021-08-26,"Taft Community of Schools",41.813415673598044
2021-08-26,"Van Nuys/Valley Glen Community of Schools",25.106703489831784
2021-08-26,"Harbor City/Lomita Community of Schools",66.871156725639281
2021-08-26,"Westchester Community of Schools",41.934582051998881
2021-08-26,"Huntington Park/Vernon Community of Schools",23.417832679585505
2021-08-27,"Fremont Community of Schools",39.246467817896395
2021-08-27,"Achievement Network Community of Schools",35.510621853654463
2021-08-27,"MacArthur Park Community of Schools",35.340797738188947
2021-08-27,"Gardena Community of Schools",31.667539553974883
2021-08-27,"San Pedro Community of Schools",40.397919507145382
2021-08-27,"Boyle Heights Community of Schools",26.464451117105195
2021-08-27,"Jefferson/South Central (West) Community of Schools",26.457253496566572
2021-08-27,"Carson Community of Schools",43.239418626362287
2021-08-27,"Manual Arts/Vermont Square Community of Schools",31.080925520893288
2021-08-27,"LA Mid-City Community of Schools",21.319688732544506
2021-08-27,"Fairfax Community of Schools",16.617241026689847
2021-08-27,"H.E.E.T. (C/D) Community of Schools",44.747734645933555
2021-08-27,"Historic Central Avenue Community of Schools",30.049010973069869
2021-08-27,"East Los Angeles Community of Schools",23.201856148491881
2021-08-27,"South Mid-City Community of Schools",40.330711837063923
2021-08-27,"Rivera Community of Schools",35.559230928261321
2021-08-27,"H.E.E.T. (W) Community of Schools",29.761904761904763
2021-08-27,"Reseda Community of Schools",25.270137772791138
2021-08-27,"Kennedy/NAHS/VAAS Community of Schools",47.061001859295324
2021-08-27,"Canoga Park/Chatsworth Community of Schools",28.943119154251594
2021-08-27,"Lincoln Heights/El Sereno Community of Schools",16.997167138810198
2021-08-27,"Eagle Rock/Highland Park Community of Schools",20.992155562921223
2021-08-27,"Downtown Community of Schools",25.317570393853334
2021-08-27,"Glassell Park/Los Feliz Community of Schools",26.75828704149675
2021-08-27,"Monroe Community of Schools",45.519573416569123
2021-08-27,"Cleveland Community of Schools",44.785923286689624
2021-08-27,"Sunland/Tujunga Community of Schools",41.603827552134796
2021-08-27,"Sun Valley Community of Schools",34.381983840467591
2021-08-27,"Hamilton Community of Schools",26.429266935596051
2021-08-27,"Hollywood Community of Schools",40.393160091557831
2021-08-27,"Wilmington Community of Schools",47.6760959389746
2021-08-27,"Venice Community of Schools",17.421602787456447
2021-08-27,"Bell/Cudahy/Maywood Community of Schools",29.138446999527485
2021-08-27,"North Hollywood/Valley Village Community of Schools",37.114932574539161
2021-08-27,"Kreatwn/PcoUnion Community of Schools",16.034549108479069
2021-08-27,"West LA Community of Schools",35.094645873088986
2021-08-27,"San Fernando Valley/Sylmar Community of Schools",39.887517201491789
2021-08-27,"South Gate Community of Schools",34.04907322678811
2021-08-27,"Panorama City Community of Schools",32.776138970829237
2021-08-27,"Taft Community of Schools",41.78754249069825
2021-08-27,"Van Nuys/Valley Glen Community of Schools",26.365711713449731
2021-08-27,"Harbor City/Lomita Community of Schools",53.705692803437167
2021-08-27,"Westchester Community of Schools",61.371941864033253
2021-08-27,"Huntington Park/Vernon Community of Schools",19.204595743259603
2021-08-28,"Fremont Community of Schools",51.446210129187151
2021-08-28,"Achievement Network Community of Schools",50.022927174955193
2021-08-28,"MacArthur Park Community of Schools",40.123902611263581
2021-08-28,"Gardena Community of Schools",34.04834865509023
2021-08-28,"San Pedro Community of Schools",53.485649699269366
2021-08-28,"Boyle Heights Community of Schools",32.527597633617276
2021-08-28,"Jefferson/South Central (West) Community of Schools",37.271262654194821
2021-08-28,"Carson Community of Schools",52.008713912821619
2021-08-28,"Manual Arts/Vermont Square Community of Schools",35.616627220294582
2021-08-28,"LA Mid-City Community of Schools",31.942078364565589
2021-08-28,"Fairfax Community of Schools",19.144618447754336
2021-08-28,"H.E.E.T. (C/D) Community of Schools",44.581905319178581
2021-08-28,"Historic Central Avenue Community of Schools",37.275184046221227
2021-08-28,"East Los Angeles Community of Schools",28.152453817555539
2021-08-28,"South Mid-City Community of Schools",54.679406008978937
2021-08-28,"Rivera Community of Schools",42.929793276533914
2021-08-28,"H.E.E.T. (W) Community of Schools",34.285714285714285
2021-08-28,"Reseda Community of Schools",33.269482810767215
2021-08-28,"Kennedy/NAHS/VAAS Community of Schools",54.752265278581071
2021-08-28,"Canoga Park/Chatsworth Community of Schools",38.809536492378875
2021-08-28,"Lincoln Heights/El Sereno Community of Schools",22.647491790284224
2021-08-28,"Eagle Rock/Highland Park Community of Schools",25.39388117871772
2021-08-28,"Downtown Community of Schools",25.290288529204787
2021-08-28,"Glassell Park/Los Feliz Community of Schools",29.967036260113876
2021-08-28,"Monroe Community of Schools",52.920368771411859
2021-08-28,"Cleveland Community of Schools",54.662187680136753
2021-08-28,"Sunland/Tujunga Community of Schools",46.736251752609441
2021-08-28,"Sun Valley Community of Schools",37.483015508597667
2021-08-28,"Hamilton Community of Schools",29.188558085230589
2021-08-28,"Hollywood Community of Schools",43.326261690620605
2021-08-28,"Wilmington Community of Schools",51.273286617672191
2021-08-28,"Venice Community of Schools",22.387502798437851
2021-08-28,"Bell/Cudahy/Maywood Community of Schools",33.822580898894081
2021-08-28,"North Hollywood/Valley Village Community of Schools",47.680856136261291
2021-08-28,"Kreatwn/PcoUnion Community of Schools",25.641847495112021
2021-08-28,"West LA Community of Schools",39.454216669406541
2021-08-28,"San Fernando Valley/Sylmar Community of Schools",43.159257660768233
2021-08-28,"South Gate Community of Schools",43.234201797408787
2021-08-28,"Panorama City Community of Schools",34.310667498440424
2021-08-28,"Taft Community of Schools",44.981726173741912
2021-08-28,"Van Nuys/Valley Glen Community of Schools",34.714632860614323
2021-08-28,"Harbor City/Lomita Community of Schools",56.614455557652384
2021-08-28,"Westchester Community of Schools",64.073991531089817
2021-08-28,"Huntington Park/Vernon Community of Schools",27.512609946225353
2021-08-29,"Fremont Community of Schools",51.422694549194375
2021-08-29,"Achievement Network Community of Schools",47.945633820433173
2021-08-29,"MacArthur Park Community of Schools",40.114889042216909
2021-08-29,"Gardena Community of Schools",32.823954192348374
2021-08-29,"San Pedro Community of Schools",50.465289973556189
2021-08-29,"Boyle Heights Community of Schools",32.511404391071558
2021-08-29,"Jefferson/South Central (West) Community of Schools",36.05682555707795
2021-08-29,"Carson Community of Schools",50.046120934979292
2021-08-29,"Manual Arts/Vermont Square Community of Schools",35.61949190518321
2021-08-29,"LA Mid-City Community of Schools",31.914893617021278
2021-08-29,"Fairfax Community of Schools",19.142908190612321
2021-08-29,"H.E.E.T. (C/D) Community of Schools",44.512449575740717
2021-08-29,"Historic Central Avenue Community of Schools",37.25898096687056
2021-08-29,"East Los Angeles Community of Schools",27.318106937971343
2021-08-29,"South Mid-City Community of Schools",54.684914159075539
2021-08-29,"Rivera Community of Schools",42.922351814707504
2021-08-29,"H.E.E.T. (W) Community of Schools",34.252831567409572
2021-08-29,"Reseda Community of Schools",33.264787710172975
2021-08-29,"Kennedy/NAHS/VAAS Community of Schools",52.435958729816015
2021-08-29,"Canoga Park/Chatsworth Community of Schools",37.283621837549937
2021-08-29,"Lincoln Heights/El Sereno Community of Schools",21.834943997412154
2021-08-29,"Eagle Rock/Highland Park Community of Schools",25.3840720466184
2021-08-29,"Downtown Community of Schools",25.276669633927884
2021-08-29,"Glassell Park/Los Feliz Community of Schools",28.888128049302402
